Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
nf/Auto.Env.Lazy.Bind/,6.1293655043637655e-3,6.0982662147625035e-3,6.175107316493426e-3,1.0847559471642267e-4,8.580776056134238e-5,1.6414448187887919e-4
nf/Auto.Env.Strict.Bind/,4.498592575400494e-3,4.486245966247424e-3,4.513222851153381e-3,4.057333840853389e-5,2.9209342032071357e-5,6.127771226964694e-5
nf/Auto.Env.Lazy.Env/,1.5144582913242496e-6,1.5086437540893704e-6,1.5227805729763578e-6,2.304382065175401e-8,1.754349834786748e-8,3.651800950177486e-8
nf/Auto.Env.Strict.Env/,8.429649607205075e-5,8.411243473945473e-5,8.455795979118927e-5,7.32387503219855e-7,5.219875324174679e-7,1.1735146120410645e-6
nf/Auto.Env.Lazy.BindV/,1.4105940662468431e-3,1.4076181588673312e-3,1.4132151004388122e-3,9.062284296491578e-6,7.283817876094098e-6,1.1480829760630717e-5
nf/Auto.Env.Strict.BindV/,1.219875582614985e-3,1.2145110689953363e-3,1.2301232860225137e-3,2.3860514530729426e-5,1.4398148348705036e-5,3.939939370902484e-5
nf/Auto.Env.Lazy.EnvV/,2.194044328258688e-6,2.189082153835866e-6,2.1990032494471325e-6,1.7036405928557868e-8,1.409186835360161e-8,2.1887413548734326e-8
nf/Auto.Env.Strict.EnvV/,8.43817609588325e-5,8.39055220202743e-5,8.528997523721842e-5,2.1456129187540744e-6,1.288344263383731e-6,3.2968499345913095e-6
nf/NBE.Lazy.KovacsScoped/,2.8236288757837406e-4,2.8079305729873774e-4,2.840008124799107e-4,5.426866641065156e-6,4.7944841791452745e-6,6.311927122853858e-6
nf/NBE.KovacsScoped/,3.203592947665829e-4,3.193861660825921e-4,3.211147274849545e-4,2.873939114473837e-6,2.2434017310725005e-6,3.84061712004729e-6
nf/Named.Lazy.Foil/,0.9808583187079876,0.9466586068749621,1.0256338058325127,4.62420330034067e-2,1.619089417632173e-2,6.278995715569789e-2
nf/Named.Foil/,0.17625720772061465,0.17593347123896647,0.17663851980952522,5.443358941172829e-4,3.5896624972896326e-4,7.786617665544434e-4
nf/DeBruijn.Lazy.Nested/,6.3431802143743425,6.169903921749665,6.5321145757491195,0.2262731041023132,9.062052249964836e-2,0.29552489064559934
nf/DeBruijn.Nested/,5.694842833437558,5.5463820208747165,5.922958531500323,0.21532468258767543,1.0723775924696088e-2,0.2687672073281823
nf/DeBruijn.Lazy.Bound/,7.2676463471456e-3,7.247983486260528e-3,7.316884095557414e-3,9.015390474185392e-5,3.929733179205516e-5,1.6389485130879227e-4
nf/DeBruijn.Bound/,4.104315972534322e-3,4.0909278836173514e-3,4.116974190981906e-3,4.052365888063597e-5,3.4184152985818787e-5,4.937982482455258e-5
nf/Unbound.Lazy.UnboundGenerics/,1.2907211588753853,1.277900877625143,1.2989873125006852,1.3131807767821657e-2,6.46845461164751e-3,1.8411339241059147e-2
nf/Unbound.UnboundGenerics/,1.1287942394784143,1.0532785416665622,1.1557319373112023,5.0616604297736095e-2,4.310312373945635e-3,6.220994838043565e-2
nf/Unbound.Lazy.NonUnboundGenerics/,1.289980145958225,1.275203307750644,1.298634296832688,1.459967251451738e-2,5.473679563646009e-3,1.9985905347915587e-2
nf/Unbound.NonUnboundGenerics/,1.121448571292376,1.0704624792494997,1.1496690315013893,4.830892633025012e-2,4.1991288410348285e-3,6.097323235228087e-2
