Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/DeBruijn.Bound/adjust/1,3.4698001523562176e-8,3.464663120268935e-8,3.477246909474455e-8,2.0400501532630667e-10,1.439433163430444e-10,2.9918281664550147e-10
adjust/DeBruijn.Bound/adjust/2,1.7968560180799602e-7,1.7929605955854027e-7,1.8015536288421833e-7,1.406917044795465e-9,1.0915480131467254e-9,1.8057771740223648e-9
adjust/DeBruijn.Bound/adjust/3,5.721023899808378e-7,5.70954890621152e-7,5.736023681716422e-7,4.546356179241053e-9,3.095243496222776e-9,7.2296838425629285e-9
adjust/DeBruijn.Bound/adjust/4,1.3867215677072585e-6,1.3853280230105566e-6,1.3882716766327409e-6,4.806168984757532e-9,4.070602664957323e-9,5.867614405016034e-9
adjust/DeBruijn.Bound/adjust/5,2.807063525372372e-6,2.801145284980094e-6,2.8137448112346763e-6,2.098247877329307e-8,1.7637580542412507e-8,2.5545817392970858e-8
adjust/DeBruijn.Bound/adjust/6,5.1286296838230015e-6,5.115521635003266e-6,5.157334543362328e-6,6.25331663409998e-8,3.4594844510471926e-8,1.1442948797020372e-7
adjust/DeBruijn.Bound/adjust/7,8.379367286682027e-6,8.374630501604254e-6,8.385258127921204e-6,1.920985330723472e-8,1.4237074435555951e-8,2.992645770418771e-8
adjust/DeBruijn.Bound/adjust/8,1.316303357265304e-5,1.31373127392585e-5,1.320330568428956e-5,1.1336863231953573e-7,8.232938423614787e-8,1.7285467059160838e-7
adjust/DeBruijn.Bound/adjust/9,1.969363873922713e-5,1.9667313151456118e-5,1.9723146206886595e-5,9.571692375936789e-8,7.437514905015915e-8,1.2590726333228895e-7
adjust/DeBruijn.Bound/adjust/10,2.823307023833893e-5,2.8198843729583592e-5,2.833658298378221e-5,1.7991706038827428e-7,1.0169966799096544e-7,3.543457886093503e-7
