Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
con/DeBruijn.Bound/con/1,2.89071968166157e-8,2.88632380497581e-8,2.8998926915940338e-8,2.0319288261133946e-10,1.3138398039829877e-10,3.5903430756527743e-10
con/DeBruijn.Bound/con/2,6.096115618234374e-8,6.084851941765418e-8,6.111138418216975e-8,4.2779683534693167e-10,3.3822085454921395e-10,5.830502150167629e-10
con/DeBruijn.Bound/con/3,1.0642376240616748e-7,1.0629881946657067e-7,1.0658670022054943e-7,4.8121211895058e-10,3.7410766259326833e-10,6.330845545464779e-10
con/DeBruijn.Bound/con/4,1.6392357946324186e-7,1.6362992633874546e-7,1.642964279423985e-7,1.1099122631795171e-9,9.036583409287653e-10,1.5099881725045834e-9
con/DeBruijn.Bound/con/5,2.4490997520720284e-7,2.445786520858169e-7,2.4537155386811777e-7,1.2580145008711598e-9,9.361054587489266e-10,1.959093892761569e-9
con/DeBruijn.Bound/con/6,3.4652487980465496e-7,3.4617533675879384e-7,3.468450174868615e-7,1.1081102016492946e-9,7.987504483587105e-10,1.5855294837978339e-9
con/DeBruijn.Bound/con/7,4.6687708539374313e-7,4.660888405500418e-7,4.6813592987018285e-7,3.3330106546088908e-9,2.304792295787226e-9,4.924266941551515e-9
con/DeBruijn.Bound/con/8,6.021202459934982e-7,6.006446599519705e-7,6.041168035441717e-7,5.721523026808144e-9,4.2774664465848275e-9,8.397268464263009e-9
con/DeBruijn.Bound/con/9,7.806582921586768e-7,7.794103224237825e-7,7.823138691022288e-7,5.093537427202242e-9,3.80322497448958e-9,6.876615135856529e-9
con/DeBruijn.Bound/con/10,9.202529909653734e-7,9.190401153062793e-7,9.2261472488911e-7,5.773172530061313e-9,4.155675745002795e-9,9.282390281155142e-9
con/DeBruijn.Bound/con/11,1.1082050920002737e-6,1.105653227359343e-6,1.1113317037680484e-6,9.107919999705253e-9,7.53605512887081e-9,1.0818558922096462e-8
con/DeBruijn.Bound/con/12,1.2817203771818676e-6,1.2806551979436697e-6,1.2830165940966383e-6,3.8590779527211645e-9,3.063926298325259e-9,4.9557071654263964e-9
con/DeBruijn.Bound/con/13,1.4826479295638308e-6,1.4798116189912458e-6,1.4868325655357233e-6,1.1340896861126289e-8,8.590466800392075e-9,1.6685485856033184e-8
con/DeBruijn.Bound/con/14,1.7148164962610257e-6,1.7119337971997636e-6,1.7185644338241184e-6,1.1362986360057393e-8,9.425412737664977e-9,1.5557173187881785e-8
con/DeBruijn.Bound/con/15,1.9356239346943967e-6,1.931799901238518e-6,1.941124237562497e-6,1.5982990903642748e-8,1.0955082658420777e-8,2.5843195342070187e-8
con/DeBruijn.Bound/con/16,2.2294000685298954e-6,2.2238899212069727e-6,2.2412454334081765e-6,2.506909362099523e-8,1.3536627264270125e-8,4.5088060447411325e-8
con/DeBruijn.Bound/con/17,2.4944688035733134e-6,2.48929998588348e-6,2.501337631968519e-6,2.0588762548508232e-8,1.6432011998518094e-8,2.786528153320398e-8
con/DeBruijn.Bound/con/18,2.776056632301285e-6,2.772825485585464e-6,2.7798679033867933e-6,1.1888711642315528e-8,9.868432880475768e-9,1.5106521455834235e-8
con/DeBruijn.Bound/con/19,3.0491772099168693e-6,3.044758935171755e-6,3.054215917294845e-6,1.5691894832222733e-8,1.2618084342872708e-8,2.1257778597501703e-8
con/DeBruijn.Bound/con/20,3.411899099112303e-6,3.404301634147432e-6,3.4206149417571757e-6,2.684576155988418e-8,2.1183796686569157e-8,3.3983081962154356e-8
