Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/DeBruijn.Bound/ids/1,2.897126947299901e-8,2.890453034326829e-8,2.9054227932781027e-8,2.5526438163284354e-10,2.0350479403091154e-10,3.408191833306864e-10
ids/DeBruijn.Bound/ids/2,3.616689619296059e-8,3.608399090183238e-8,3.6324904737098035e-8,3.729448604103315e-10,2.400695690147207e-10,6.730478023053478e-10
ids/DeBruijn.Bound/ids/3,4.263084998025944e-8,4.255887973222855e-8,4.275437955757261e-8,3.013188584426399e-10,1.9574728079261625e-10,5.205244398731602e-10
ids/DeBruijn.Bound/ids/4,4.9376080718717134e-8,4.927053416199079e-8,4.952208212416475e-8,4.228709817149986e-10,2.9152711508585075e-10,6.107884634750247e-10
ids/DeBruijn.Bound/ids/5,6.435872553615717e-8,6.427318736311249e-8,6.44626411714379e-8,3.1580372630002485e-10,2.490957339497495e-10,4.1532345044610826e-10
ids/DeBruijn.Bound/ids/6,6.838152860838e-8,6.825463174563585e-8,6.853316524651699e-8,4.843188311710954e-10,3.6985804217859155e-10,6.402446241177871e-10
ids/DeBruijn.Bound/ids/7,7.498765194686076e-8,7.481491753236184e-8,7.521885096379765e-8,6.554758136040045e-10,4.788776458135957e-10,9.607923355224664e-10
ids/DeBruijn.Bound/ids/8,8.06791745841986e-8,8.040645579571781e-8,8.121437878147937e-8,1.2103900308522985e-9,7.037048942019851e-10,2.1056901455172523e-9
ids/DeBruijn.Bound/ids/9,8.544334925285221e-8,8.535853389436944e-8,8.5567798592468e-8,3.612029622072806e-10,2.7972060007142775e-10,4.5956875280192653e-10
ids/DeBruijn.Bound/ids/10,9.258268545326853e-8,9.243317660090796e-8,9.283236585905414e-8,6.311408289553317e-10,4.692399929350535e-10,9.418013021808044e-10
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/DeBruijn.Bound/ids/1,2.9647561854909974e-8,2.9619902664667156e-8,2.967838544232379e-8,9.720148971024216e-11,8.273248490451671e-11,1.180929374730504e-10
ids/DeBruijn.Bound/ids/2,3.711704242453283e-8,3.7056551340234975e-8,3.7239894871783906e-8,2.867949182439801e-10,1.6723172013270245e-10,4.549805289338883e-10
ids/DeBruijn.Bound/ids/3,4.3861550226428604e-8,4.3792231340880545e-8,4.401496998996193e-8,3.2452995768415903e-10,1.9385029064658341e-10,5.509456122374395e-10
ids/DeBruijn.Bound/ids/4,5.008673604331951e-8,4.994530151812556e-8,5.040359195412996e-8,6.663110911563868e-10,1.9917812055512197e-10,1.1291359857537974e-9
ids/DeBruijn.Bound/ids/5,6.40718482518211e-8,6.378607001824788e-8,6.436816296162094e-8,1.0199992061369172e-9,8.12954376531574e-10,1.3159569247330863e-9
ids/DeBruijn.Bound/ids/6,7.074076154823419e-8,7.062466611981383e-8,7.089706239854117e-8,4.4564306520818417e-10,3.4203310367249644e-10,6.571810950267233e-10
ids/DeBruijn.Bound/ids/7,7.731428045870668e-8,7.713562769487828e-8,7.751857206001664e-8,6.454977214535021e-10,5.165695451459016e-10,9.10017041733586e-10
ids/DeBruijn.Bound/ids/8,8.500066464238512e-8,8.445079401093586e-8,8.556087452555968e-8,1.98435506732194e-9,1.7144108327958598e-9,2.3179840733736996e-9
ids/DeBruijn.Bound/ids/9,8.78926994080058e-8,8.770593552389511e-8,8.857653091093215e-8,1.0288806425271609e-9,3.966935220546494e-10,2.180079676042465e-9
ids/DeBruijn.Bound/ids/10,9.360271953979309e-8,9.357620646352186e-8,9.364605920252999e-8,1.1174782070639212e-10,8.575413548402977e-11,1.6970243838891113e-10
