Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjustb/DeBruijn.CPDT/adjustb/1,4.054560064677256e-8,4.048823335181384e-8,4.0652726390293544e-8,2.551392995788408e-10,1.5439978804026184e-10,4.693299028247587e-10
adjustb/DeBruijn.CPDT/adjustb/2,1.6177205468820817e-7,1.606386300689519e-7,1.6347797693615238e-7,4.702478467893033e-9,3.3978385089396174e-9,6.4577525274847215e-9
adjustb/DeBruijn.CPDT/adjustb/3,4.1322707575063327e-7,4.0842928645382603e-7,4.180935866404336e-7,1.7022439678206667e-8,1.4298714980144705e-8,2.0671546778203942e-8
adjustb/DeBruijn.CPDT/adjustb/4,7.940659893591182e-7,7.756394718395331e-7,8.104571040535953e-7,5.534895233424305e-8,4.495873545352947e-8,6.557739577061481e-8
adjustb/DeBruijn.CPDT/adjustb/5,1.2599181949422466e-6,1.2427409700705379e-6,1.2744454483062597e-6,5.4299128498927516e-8,4.6938089131734625e-8,6.637545947192031e-8
adjustb/DeBruijn.CPDT/adjustb/6,1.8127042833739274e-6,1.784173077021709e-6,1.845773952828455e-6,9.88421918746058e-8,8.124546312457844e-8,1.2362205813517282e-7
adjustb/DeBruijn.CPDT/adjustb/7,2.6515178098880557e-6,2.617167169120368e-6,2.6847162426535856e-6,1.1704631336616265e-7,9.549297181396238e-8,1.4723771533289068e-7
adjustb/DeBruijn.CPDT/adjustb/8,3.4214853597643207e-6,3.3735377770754335e-6,3.474826490797061e-6,1.706741380489061e-7,1.4518100379547137e-7,2.065911104839989e-7
adjustb/DeBruijn.CPDT/adjustb/9,4.5701569749789175e-6,4.510511855480706e-6,4.638133776658553e-6,2.215569834370432e-7,1.8742987280439028e-7,2.773506327414526e-7
adjustb/DeBruijn.CPDT/adjustb/10,6.105885453747456e-6,6.05371706864966e-6,6.15641039995275e-6,1.7558800205804932e-7,1.465036542749978e-7,2.13299966734855e-7
adjustb/DeBruijn.CPDT/adjustb/11,6.932833265823221e-6,6.87579153632176e-6,6.99102340025755e-6,1.8999013413171024e-7,1.6403954768262425e-7,2.23190956159056e-7
adjustb/DeBruijn.CPDT/adjustb/12,9.168937387305064e-6,9.094264730054118e-6,9.261103954048154e-6,2.716551345697623e-7,2.0896097375584622e-7,3.556206218383596e-7
adjustb/DeBruijn.CPDT/adjustb/13,1.0825807046914458e-5,1.0728650294942118e-5,1.0925000638394485e-5,3.1608390922466077e-7,2.7390379501789636e-7,3.8511203859130197e-7
adjustb/DeBruijn.CPDT/adjustb/14,1.3031774476033662e-5,1.288605331128487e-5,1.3172034843495541e-5,5.025831892653836e-7,4.352305113592753e-7,6.054606552344451e-7
adjustb/DeBruijn.CPDT/adjustb/15,1.6033445992803415e-5,1.5880857556149183e-5,1.6187697272425822e-5,5.182775942660177e-7,4.559167768542115e-7,6.224615980001313e-7
adjustb/DeBruijn.CPDT/adjustb/16,1.9515032313837717e-5,1.9388603788737816e-5,1.9620443353510695e-5,4.198764135804353e-7,3.539538086329259e-7,5.459708580953816e-7
adjustb/DeBruijn.CPDT/adjustb/17,2.2158663548404e-5,2.1980935364662596e-5,2.233183236008437e-5,5.747411343452428e-7,4.85437475982988e-7,6.771960370327484e-7
adjustb/DeBruijn.CPDT/adjustb/18,2.5767683970095265e-5,2.55479166402677e-5,2.5938281551690946e-5,6.474907515282096e-7,5.165711250161528e-7,8.395467970913935e-7
adjustb/DeBruijn.CPDT/adjustb/19,2.991341413229228e-5,2.975624046507929e-5,3.0076323363387585e-5,5.416301386305391e-7,4.471845810117895e-7,6.434627130453967e-7
adjustb/DeBruijn.CPDT/adjustb/20,3.454260923416906e-5,3.4351786833045716e-5,3.474229367378725e-5,6.523999651542098e-7,5.303317377613361e-7,8.403516554536675e-7
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjustb/DeBruijn.CPDT/adjustb/1,4.0987473271582186e-8,4.0902296759701785e-8,4.111345838297795e-8,3.46848297858946e-10,2.384746451337275e-10,5.76945833827233e-10
adjustb/DeBruijn.CPDT/adjustb/2,1.6059492290287367e-7,1.6028892790289642e-7,1.6114196611643012e-7,1.299149051758318e-9,8.348360622484575e-10,2.153560133450237e-9
adjustb/DeBruijn.CPDT/adjustb/3,3.677293895919096e-7,3.665678817971843e-7,3.711259951548598e-7,6.110451060022958e-9,2.8678294840404003e-9,1.2422968921216986e-8
adjustb/DeBruijn.CPDT/adjustb/4,6.130022347175054e-7,6.108237291459828e-7,6.179371845094653e-7,9.808005379772019e-9,4.689820988113731e-9,1.7752844689134088e-8
adjustb/DeBruijn.CPDT/adjustb/5,1.0777148549597978e-6,1.0746356927217063e-6,1.0822526189621933e-6,1.2553555157576467e-8,9.271025075897652e-9,1.7739780024204388e-8
adjustb/DeBruijn.CPDT/adjustb/6,1.5826724864041294e-6,1.5808898600064561e-6,1.5853117148361179e-6,7.113767809360515e-9,4.140494540498031e-9,1.089255604981157e-8
adjustb/DeBruijn.CPDT/adjustb/7,2.3068356911406965e-6,2.30161995893082e-6,2.3201812733816573e-6,2.7395471905726976e-8,1.3203770038287376e-8,5.291968436222964e-8
adjustb/DeBruijn.CPDT/adjustb/8,3.0145971797495153e-6,3.0089390410336303e-6,3.022786578261749e-6,2.3139076994747606e-8,1.5292773259255673e-8,3.6383775819573146e-8
adjustb/DeBruijn.CPDT/adjustb/9,3.938828784197642e-6,3.9370938469416456e-6,3.941411413657941e-6,7.269425470851674e-9,5.261166223906336e-9,1.0483838089993596e-8
adjustb/DeBruijn.CPDT/adjustb/10,5.1153934069568256e-6,5.1066637895920265e-6,5.131468722032935e-6,3.9821315296713875e-8,2.470329273658547e-8,6.839044019376358e-8
adjustb/DeBruijn.CPDT/adjustb/11,6.5535177635011845e-6,6.543905473811813e-6,6.570786803780817e-6,4.316054132025157e-8,2.699926253967059e-8,6.9243250924117e-8
adjustb/DeBruijn.CPDT/adjustb/12,8.06751175989476e-6,8.05795366296368e-6,8.081880892871433e-6,3.918421913678916e-8,2.684013541985761e-8,5.5353365134189454e-8
adjustb/DeBruijn.CPDT/adjustb/13,9.863049738087603e-6,9.848119021231984e-6,9.889673266129106e-6,6.394519661450997e-8,3.9255010350636845e-8,1.087508676064203e-7
adjustb/DeBruijn.CPDT/adjustb/14,1.1853727904435559e-5,1.1821954684784908e-5,1.1914085410745262e-5,1.4761385039380052e-7,1.0574962950967253e-7,2.158866974742654e-7
adjustb/DeBruijn.CPDT/adjustb/15,1.4273257766532091e-5,1.4264565885495285e-5,1.4288083659026053e-5,3.663923683806867e-8,2.185201746322677e-8,6.787785256100215e-8
adjustb/DeBruijn.CPDT/adjustb/16,1.7027801589324927e-5,1.6995718580057957e-5,1.7076952388298864e-5,1.298484370450883e-7,9.172139532740605e-8,1.7855230571803676e-7
adjustb/DeBruijn.CPDT/adjustb/17,1.9988833450159595e-5,1.9965329084681254e-5,2.004585433567439e-5,1.1745767222125425e-7,5.969360709699543e-8,2.230430972420808e-7
adjustb/DeBruijn.CPDT/adjustb/18,2.3603504308210715e-5,2.3580328601648338e-5,2.3631599101353157e-5,8.044659906620463e-8,5.982810257189707e-8,1.1393012129914618e-7
adjustb/DeBruijn.CPDT/adjustb/19,2.777093941968618e-5,2.7727368249357264e-5,2.7870219045877972e-5,2.1381510160266856e-7,1.2467415474284112e-7,3.633561913401569e-7
adjustb/DeBruijn.CPDT/adjustb/20,3.273451196607303e-5,3.264381586333923e-5,3.2878616463100015e-5,3.880107977000667e-7,2.2695527784628823e-7,5.986317582216421e-7
