Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
con/DeBruijn.CPDT/con/1,2.1168451761543453e-8,2.1089419393310937e-8,2.131491426262189e-8,3.506180380748999e-10,2.0808285186216223e-10,5.825938822943759e-10
con/DeBruijn.CPDT/con/2,4.321229755077668e-8,4.3157396812995836e-8,4.3299256317091533e-8,2.282023176629633e-10,1.5950317480165555e-10,3.396479271267402e-10
con/DeBruijn.CPDT/con/3,6.645019301109867e-8,6.618229336902446e-8,6.671699949916264e-8,8.962151777105749e-10,7.089140774723849e-10,1.1125533206907628e-9
con/DeBruijn.CPDT/con/4,9.283552291628371e-8,9.217987681384442e-8,9.356093166729794e-8,2.2043980830085933e-9,1.7202099384120479e-9,2.9555261371320827e-9
con/DeBruijn.CPDT/con/5,1.208329380102927e-7,1.1954156209023074e-7,1.227486553005216e-7,5.391623290796939e-9,3.574739263247572e-9,8.420019625208523e-9
con/DeBruijn.CPDT/con/6,1.5047439165222206e-7,1.496129088038111e-7,1.521314154093537e-7,3.828242991735782e-9,2.4146801262644293e-9,6.454324987666813e-9
con/DeBruijn.CPDT/con/7,1.6706711407045844e-7,1.661603353721191e-7,1.688510858004742e-7,3.988732722361908e-9,2.5757830218035778e-9,6.826192643514169e-9
con/DeBruijn.CPDT/con/8,1.9843755254409676e-7,1.9749950530512866e-7,1.9943741820906737e-7,3.1143858196453604e-9,2.650843058149905e-9,3.800075266722868e-9
con/DeBruijn.CPDT/con/9,2.1801430726344372e-7,2.1646902071402643e-7,2.200052811183112e-7,6.198539296751328e-9,4.635042366557946e-9,8.78775549494689e-9
con/DeBruijn.CPDT/con/10,2.489922779207629e-7,2.4805965525582807e-7,2.5049055011848683e-7,3.900976237759764e-9,2.449928170136249e-9,5.918388579040248e-9
con/DeBruijn.CPDT/con/11,2.732255612610923e-7,2.7154015366309443e-7,2.75221930457984e-7,5.98975614807727e-9,4.7839150246545535e-9,7.503077202051278e-9
con/DeBruijn.CPDT/con/12,2.9423883605498e-7,2.927307986596102e-7,2.9593402595461425e-7,5.368574956034936e-9,4.525096514743037e-9,6.639374854690309e-9
con/DeBruijn.CPDT/con/13,3.256847347982332e-7,3.224495524305213e-7,3.2990132642407816e-7,1.2552033999932062e-8,9.069898972470594e-9,1.745465606037e-8
con/DeBruijn.CPDT/con/14,3.484886337379164e-7,3.471065056832767e-7,3.4970756082970955e-7,4.45658206640303e-9,3.4624412510921694e-9,5.796903914578586e-9
con/DeBruijn.CPDT/con/15,3.6834466065845985e-7,3.6701102024201123e-7,3.700796707362611e-7,5.213510535209087e-9,4.063241100264992e-9,7.921908663651812e-9
con/DeBruijn.CPDT/con/16,3.9043260678125704e-7,3.8837941165669323e-7,3.92538149355537e-7,6.586613714539314e-9,5.380667942008727e-9,8.065673765188841e-9
con/DeBruijn.CPDT/con/17,4.139424328635139e-7,4.122613488083921e-7,4.1668134965938415e-7,6.883308021078284e-9,5.249615903317139e-9,9.37792569059942e-9
con/DeBruijn.CPDT/con/18,4.3528559129932474e-7,4.3459530245287675e-7,4.36129002681613e-7,2.4246373466304037e-9,1.7332439209322801e-9,3.2475377061072695e-9
con/DeBruijn.CPDT/con/19,4.838692934487421e-7,4.83013228080701e-7,4.853205847765467e-7,3.5573700063754e-9,2.356040688990717e-9,5.323442139402326e-9
con/DeBruijn.CPDT/con/20,5.042021542040085e-7,5.036395513073823e-7,5.050720683738465e-7,2.416148107489262e-9,1.7744264882817016e-9,3.1360426313749216e-9
