Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/DeBruijn.CPDT/ids/1,2.3564267200268368e-8,2.3533349850322716e-8,2.3608773109259677e-8,1.2942494378678064e-10,9.928404366739588e-11,1.6337378299652615e-10
ids/DeBruijn.CPDT/ids/2,3.192408822063183e-8,3.1881076435107826e-8,3.198799653420542e-8,1.70547406831735e-10,1.2456774886903847e-10,2.766953333019018e-10
ids/DeBruijn.CPDT/ids/3,4.0150778388869645e-8,4.0076808164031153e-8,4.02260240181852e-8,2.5442773813858537e-10,2.1434400382512018e-10,3.373918756039449e-10
ids/DeBruijn.CPDT/ids/4,5.9164779723364065e-8,5.9080525934446525e-8,5.92928562745938e-8,3.580419668859165e-10,2.8057717711884977e-10,4.700154365046106e-10
ids/DeBruijn.CPDT/ids/5,6.116724033320849e-8,6.105622383752262e-8,6.129579170021992e-8,4.207641561543304e-10,3.190368088590707e-10,5.27168663259046e-10
ids/DeBruijn.CPDT/ids/6,6.872125121539149e-8,6.855138906609606e-8,6.91800343904285e-8,8.550599279369367e-10,3.5340228608379704e-10,1.7781944239385465e-9
ids/DeBruijn.CPDT/ids/7,7.575771268454225e-8,7.566215185026575e-8,7.596512947048074e-8,4.567307758200304e-10,3.0044248437763815e-10,7.553749671225669e-10
ids/DeBruijn.CPDT/ids/8,8.335644294049566e-8,8.322352189267778e-8,8.350637779732347e-8,4.771825882654403e-10,4.094783711740791e-10,5.745530679920088e-10
ids/DeBruijn.CPDT/ids/9,9.0763751536321e-8,9.060325716326792e-8,9.101633776130925e-8,6.803383927756307e-10,5.024506062333018e-10,9.973469578647188e-10
ids/DeBruijn.CPDT/ids/10,9.782009132983913e-8,9.764974877224827e-8,9.811434958416817e-8,7.320824178084741e-10,4.594562657799886e-10,1.2336608246784688e-9
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/DeBruijn.CPDT/ids/1,2.3376637358627955e-8,2.332407826621292e-8,2.348483789062741e-8,2.4417809290181235e-10,1.1954921377221813e-10,4.4634107042186764e-10
ids/DeBruijn.CPDT/ids/2,3.1539616970551944e-8,3.1465685047812344e-8,3.1645844655231754e-8,2.9126933505926057e-10,2.0903300775883353e-10,4.225942053909543e-10
ids/DeBruijn.CPDT/ids/3,3.942519616894309e-8,3.938595010622977e-8,3.946380649682949e-8,1.3197355807379396e-10,1.051716982605037e-10,1.8081652478723558e-10
ids/DeBruijn.CPDT/ids/4,5.898973308959951e-8,5.890393033425409e-8,5.912787380462035e-8,3.655953548586041e-10,2.5961537507226126e-10,6.088837831046322e-10
ids/DeBruijn.CPDT/ids/5,6.195428090680471e-8,6.178900210210268e-8,6.221160086112527e-8,6.930204716186839e-10,4.87768067471599e-10,1.0864731450598599e-9
ids/DeBruijn.CPDT/ids/6,6.826125560445672e-8,6.808923559980004e-8,6.882004444548864e-8,9.872152160307309e-10,3.710875487302952e-10,1.9677678108927046e-9
ids/DeBruijn.CPDT/ids/7,7.58408077311439e-8,7.568821192375591e-8,7.609260002062435e-8,6.569435721295725e-10,4.911038923957665e-10,9.814386982415396e-10
ids/DeBruijn.CPDT/ids/8,8.33389505430736e-8,8.318187493204417e-8,8.361418957534862e-8,6.665341556596817e-10,4.5297962695663066e-10,9.750419969759379e-10
ids/DeBruijn.CPDT/ids/9,8.996215692988612e-8,8.986623495897438e-8,9.004894666615968e-8,3.170080677181281e-10,2.4330270401208716e-10,4.260713262884972e-10
ids/DeBruijn.CPDT/ids/10,9.892010418044225e-8,9.847325819448257e-8,9.973231231045755e-8,2.0824848698181894e-9,1.382543010851963e-9,3.6235265259868127e-9
