Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjustb/DeBruijn.Cornell/adjustb/1,5.414476282612331e-8,5.40573661183009e-8,5.430679953090287e-8,3.6685211426136917e-10,2.383092639560721e-10,6.569005754858188e-10
adjustb/DeBruijn.Cornell/adjustb/2,1.6760421689675938e-7,1.6730492111228711e-7,1.681409776518063e-7,1.374624372275384e-9,9.108353782312012e-10,2.3742213978067386e-9
adjustb/DeBruijn.Cornell/adjustb/3,3.3907841049792175e-7,3.3876231768573944e-7,3.3947897725845343e-7,1.1634584661540608e-9,9.086460340386827e-10,1.4607002244480577e-9
adjustb/DeBruijn.Cornell/adjustb/4,5.726174065299875e-7,5.717448964688183e-7,5.737563188336199e-7,3.446700370277876e-9,2.6436123254115505e-9,4.649651940655078e-9
adjustb/DeBruijn.Cornell/adjustb/5,8.566970296319613e-7,8.55054615492365e-7,8.601071764928963e-7,7.716941427695038e-9,4.727114811553033e-9,1.2874304586667117e-8
adjustb/DeBruijn.Cornell/adjustb/6,1.1852355534584068e-6,1.18419977659336e-6,1.1883039676006715e-6,5.837280235767775e-9,1.8648588705855296e-9,1.088156298245621e-8
adjustb/DeBruijn.Cornell/adjustb/7,1.8427565063648649e-6,1.8396592353232557e-6,1.8473128591435177e-6,1.3570945769805982e-8,1.017350931586729e-8,2.012865504423492e-8
adjustb/DeBruijn.Cornell/adjustb/8,2.280682693348272e-6,2.2731738291594196e-6,2.291660089137583e-6,3.0921455905603e-8,2.3004333271537884e-8,4.7180232368010885e-8
adjustb/DeBruijn.Cornell/adjustb/9,3.0240916006240655e-6,3.02114378986454e-6,3.0292265613927876e-6,1.28901553318502e-8,8.356750290533816e-9,2.2030238258430668e-8
adjustb/DeBruijn.Cornell/adjustb/10,3.893513456347504e-6,3.888883913296662e-6,3.900620603386657e-6,1.8659553601367624e-8,1.4321163113765125e-8,2.467557820385893e-8
adjustb/DeBruijn.Cornell/adjustb/11,4.851020849298031e-6,4.840665122557437e-6,4.867543141380203e-6,4.231324747003042e-8,3.0932573343307836e-8,6.016327910248879e-8
adjustb/DeBruijn.Cornell/adjustb/12,5.9147060541154434e-6,5.905427843157856e-6,5.929521189037704e-6,3.990656130904634e-8,2.732466824683512e-8,5.713244202216665e-8
adjustb/DeBruijn.Cornell/adjustb/13,7.196756675218692e-6,7.1806952852922e-6,7.221414858677844e-6,6.53062503691406e-8,4.9875665292492704e-8,8.746394956371772e-8
adjustb/DeBruijn.Cornell/adjustb/14,8.525568820189273e-6,8.512147617523969e-6,8.547935292783198e-6,5.643732070468925e-8,3.5907295480594136e-8,8.857468435546507e-8
