Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
con/DeBruijn.Cornell/con/1,2.8899196890296845e-8,2.8861863955425414e-8,2.8951083445649695e-8,1.4816632214927343e-10,1.112913284340931e-10,2.1751779490487967e-10
con/DeBruijn.Cornell/con/2,4.3410967833656335e-8,4.335046663584852e-8,4.349837333159889e-8,2.424928538471817e-10,1.7889189536685404e-10,3.6264398183232334e-10
con/DeBruijn.Cornell/con/3,5.8195763985592715e-8,5.811027293914043e-8,5.8301522869192905e-8,3.1764709754956795e-10,2.6361249196759153e-10,3.9077858503880855e-10
con/DeBruijn.Cornell/con/4,8.131171558635744e-8,8.112506478692511e-8,8.154888507036614e-8,6.920911813627302e-10,5.715371614928971e-10,8.86476013388397e-10
con/DeBruijn.Cornell/con/5,9.21079439854276e-8,9.196547311450838e-8,9.231719660932751e-8,5.808742162201695e-10,3.7934691084622616e-10,8.576022891788081e-10
con/DeBruijn.Cornell/con/6,1.0609945792576602e-7,1.0588638149552325e-7,1.0639191343840388e-7,8.278144624016736e-10,6.592974945703639e-10,1.0596276101097283e-9
con/DeBruijn.Cornell/con/7,1.1973298891664266e-7,1.1954948823106842e-7,1.2005062503717719e-7,7.800792337463331e-10,5.47795954135003e-10,1.2175602509160187e-9
con/DeBruijn.Cornell/con/8,1.3456522431241472e-7,1.3422645301594527e-7,1.3512226535918892e-7,1.4035879748083806e-9,8.671610682991011e-10,2.132111232877896e-9
con/DeBruijn.Cornell/con/9,1.4813435927812666e-7,1.4800230571181708e-7,1.4829725638959254e-7,4.887792252749677e-10,3.705042070155403e-10,6.286366947464541e-10
con/DeBruijn.Cornell/con/10,1.626164662637667e-7,1.6228327826749253e-7,1.629572254615606e-7,1.0927456611616214e-9,8.946533094750608e-10,1.4268482822047268e-9
con/DeBruijn.Cornell/con/11,1.770643709184906e-7,1.7669253720429378e-7,1.7785224453291002e-7,1.748576733801708e-9,7.711512483222152e-10,2.7690544761188187e-9
con/DeBruijn.Cornell/con/12,1.896938852727056e-7,1.8937342568915497e-7,1.903043558690105e-7,1.490141961961171e-9,6.981126812574055e-10,2.8011856782271043e-9
con/DeBruijn.Cornell/con/13,2.0359201970545372e-7,2.0332080787548922e-7,2.03975938756445e-7,1.1270570272000478e-9,8.790026488559127e-10,1.5219851403520444e-9
con/DeBruijn.Cornell/con/14,2.1850055018596406e-7,2.1833158102902857e-7,2.1866914181015604e-7,5.68293575964778e-10,4.6530071868841667e-10,7.18130386771552e-10
con/DeBruijn.Cornell/con/15,2.3308361408104017e-7,2.3282664163894791e-7,2.3349788569916924e-7,1.1545142176240732e-9,8.071763921573968e-10,1.7257988726125814e-9
con/DeBruijn.Cornell/con/16,2.4727233857093e-7,2.467640216868792e-7,2.4788508214866046e-7,1.882114367444201e-9,1.5334772968432707e-9,2.314160507313196e-9
con/DeBruijn.Cornell/con/17,2.688219927443733e-7,2.684158362518135e-7,2.6938951982400065e-7,1.565807871827042e-9,1.1818745736467937e-9,2.1301360618930182e-9
con/DeBruijn.Cornell/con/18,2.8272808628595354e-7,2.821040479396453e-7,2.835261778134753e-7,2.3324054026096494e-9,1.7822289206804461e-9,3.0645068031572785e-9
con/DeBruijn.Cornell/con/19,2.9485105475985995e-7,2.9431529160014023e-7,2.9549816217021754e-7,2.0979037774071133e-9,1.721590207579893e-9,2.669820081788413e-9
con/DeBruijn.Cornell/con/20,3.1705149277009034e-7,3.1676027953718183e-7,3.1751084833046535e-7,1.1585146152713115e-9,7.890784902934201e-10,1.8247930183680892e-9
