Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/DeBruijn.Cornell/ids/1,2.9103687150337767e-8,2.9076300802629622e-8,2.913227888244343e-8,9.449730673286493e-11,7.762776239933356e-11,1.1767405906605905e-10
ids/DeBruijn.Cornell/ids/2,4.537788232541843e-8,4.5296520414456217e-8,4.5478499601220236e-8,3.019201957377366e-10,2.2498704891729392e-10,4.581022418754196e-10
ids/DeBruijn.Cornell/ids/3,6.802965100253279e-8,6.789640668483312e-8,6.820594444243299e-8,5.00952307448568e-10,4.0333433943032117e-10,7.64411340434243e-10
ids/DeBruijn.Cornell/ids/4,8.230159830284366e-8,8.215118599656384e-8,8.255995279422328e-8,6.626133645003089e-10,4.0485696880687477e-10,1.154241471121369e-9
ids/DeBruijn.Cornell/ids/5,9.5109978101587e-8,9.49679011266271e-8,9.54761987928825e-8,7.276280577567559e-10,3.944521703413407e-10,1.31006005184653e-9
ids/DeBruijn.Cornell/ids/6,1.1098278705192942e-7,1.1074646569015148e-7,1.1146939865269888e-7,1.0342162741894662e-9,6.277942694471638e-10,1.9443897337377463e-9
ids/DeBruijn.Cornell/ids/7,1.2565815999646387e-7,1.2540845153360095e-7,1.2609311462365975e-7,1.1012288778086328e-9,7.413113924943575e-10,1.6229268140311633e-9
ids/DeBruijn.Cornell/ids/8,1.4053858131874678e-7,1.4034997411537658e-7,1.4077399597024484e-7,7.199926970711277e-10,5.999255497422441e-10,9.040532021880986e-10
ids/DeBruijn.Cornell/ids/9,1.559698532388126e-7,1.5557510805190497e-7,1.5642712095725723e-7,1.4480945601847586e-9,1.088311659664094e-9,1.952222987005372e-9
ids/DeBruijn.Cornell/ids/10,1.7015963583565434e-7,1.6968579933162392e-7,1.7100896074034873e-7,2.0108276935685043e-9,1.0206676203608394e-9,3.111418656128304e-9
