Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/DeBruijn.Kit/adjust/1,2.176418776505539e-8,2.1736249067146545e-8,2.182346517594751e-8,1.3594333416526696e-10,8.601965014713592e-11,2.3144389033215175e-10
adjust/DeBruijn.Kit/adjust/2,8.116207109032681e-8,8.106454508386687e-8,8.129410187872443e-8,3.955360483341815e-10,2.815234022538977e-10,6.309801156263964e-10
adjust/DeBruijn.Kit/adjust/3,2.229203588236649e-7,2.222998190668317e-7,2.2350107804522963e-7,1.991599458323973e-9,1.701155943855396e-9,2.3688660587030144e-9
adjust/DeBruijn.Kit/adjust/4,4.808045359676657e-7,4.799401001930794e-7,4.821050545088131e-7,3.501238115713767e-9,2.63100376070777e-9,5.13106183134002e-9
adjust/DeBruijn.Kit/adjust/5,8.224275452865363e-7,8.212635361941843e-7,8.246646097880616e-7,5.232016248440487e-9,3.301688131079915e-9,8.739441048893876e-9
adjust/DeBruijn.Kit/adjust/6,1.4387899892878035e-6,1.4352754213344399e-6,1.4424292183976776e-6,1.2674888141618176e-8,9.83502350960609e-9,1.6616311485446534e-8
adjust/DeBruijn.Kit/adjust/7,2.113150522513992e-6,2.1085996448931204e-6,2.1188958383709137e-6,1.698012784754829e-8,1.3210989520042235e-8,2.30452416194896e-8
adjust/DeBruijn.Kit/adjust/8,3.1345699972326032e-6,3.132048922682969e-6,3.1383926954567805e-6,9.9833889296934e-9,7.060099482360002e-9,1.5389101815194582e-8
adjust/DeBruijn.Kit/adjust/9,4.433368322169759e-6,4.426038760151316e-6,4.445419010353628e-6,3.188514857043461e-8,2.3585190415472192e-8,4.394154474392844e-8
adjust/DeBruijn.Kit/adjust/10,5.9937690578692125e-6,5.9793052015812884e-6,6.020522475242459e-6,6.583132515896609e-8,4.0632981557639225e-8,1.0254914484520393e-7
adjust/DeBruijn.Kit/adjust/11,7.861873342146788e-6,7.858244985216844e-6,7.868140142394022e-6,1.4954660794680122e-8,1.0404914062082309e-8,2.423479052200104e-8
adjust/DeBruijn.Kit/adjust/12,1.0241187275158105e-5,1.0232209669717712e-5,1.025025915131497e-5,3.088789499518064e-8,2.6122579880449366e-8,3.8741231248280564e-8
adjust/DeBruijn.Kit/adjust/13,1.3179614307097392e-5,1.3165474831680931e-5,1.3196025708648674e-5,5.164987163718059e-8,4.1851608787821106e-8,6.757036369035095e-8
adjust/DeBruijn.Kit/adjust/14,1.654204464396271e-5,1.6526010944663088e-5,1.6570738967004825e-5,7.143659394298348e-8,4.7689921044396236e-8,1.1166330199678719e-7
adjust/DeBruijn.Kit/adjust/15,2.072870712843606e-5,2.0702390518785342e-5,2.07567735709711e-5,8.859283277530711e-8,7.288843421614698e-8,1.1022527152618703e-7
adjust/DeBruijn.Kit/adjust/16,2.5559282983286466e-5,2.5441802153472104e-5,2.5756032132331374e-5,5.119601388390672e-7,3.074518546310641e-7,8.589277840384207e-7
adjust/DeBruijn.Kit/adjust/17,3.0911159742970705e-5,3.078401620193829e-5,3.119063957585834e-5,5.930235669697254e-7,3.110860751620701e-7,9.651457824630214e-7
adjust/DeBruijn.Kit/adjust/18,3.73980796882205e-5,3.733298412619385e-5,3.750068519466432e-5,2.726744501340901e-7,1.7902379133280275e-7,4.215093720503983e-7
adjust/DeBruijn.Kit/adjust/19,4.5542185461336276e-5,4.54727459730051e-5,4.5625435914515006e-5,2.6227293668753425e-7,1.928262203251751e-7,3.7941583676181283e-7
adjust/DeBruijn.Kit/adjust/20,5.3761648107432816e-5,5.3699302667378236e-5,5.383875139649828e-5,2.2749320149121966e-7,1.8855587212440735e-7,3.122406251565101e-7
