Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjustb/DeBruijn.Kit/adjustb/1,3.8639624125496845e-8,3.856487088181233e-8,3.878702790882004e-8,3.3493246033777393e-10,1.9151365492250917e-10,5.211552125057683e-10
adjustb/DeBruijn.Kit/adjustb/2,1.4004988134684652e-7,1.3983684923274974e-7,1.4036719747141068e-7,9.124178567243108e-10,6.536683352285288e-10,1.3564007370969598e-9
adjustb/DeBruijn.Kit/adjustb/3,3.5021907287616595e-7,3.4924566795310147e-7,3.5151132558945943e-7,3.900978865341131e-9,3.200400742724648e-9,4.745214064907209e-9
adjustb/DeBruijn.Kit/adjustb/4,6.726274942424011e-7,6.71028220280601e-7,6.748072444671748e-7,6.423160267155586e-9,4.571457211921838e-9,9.323749347678597e-9
adjustb/DeBruijn.Kit/adjustb/5,1.2718807842166158e-6,1.2701091114748293e-6,1.2748585553743962e-6,7.580523709612872e-9,4.42254786348696e-9,1.3508312061528382e-8
adjustb/DeBruijn.Kit/adjustb/6,1.989260486406622e-6,1.986162372442916e-6,1.9937314332325364e-6,1.2132340401623387e-8,9.556217388828403e-9,1.6219873179900694e-8
adjustb/DeBruijn.Kit/adjustb/7,3.1024273130365952e-6,3.095979908892381e-6,3.112138383911248e-6,2.610663109661881e-8,1.8480843957296746e-8,3.559507090975303e-8
adjustb/DeBruijn.Kit/adjustb/8,4.477789906598961e-6,4.469361526731219e-6,4.492496790008702e-6,3.523806257618602e-8,2.2746650973143252e-8,6.138122147079084e-8
adjustb/DeBruijn.Kit/adjustb/9,6.355806922983121e-6,6.346077785291187e-6,6.367204702641325e-6,3.643748103131374e-8,3.065001749937923e-8,4.618224614764071e-8
adjustb/DeBruijn.Kit/adjustb/10,8.755224890258642e-6,8.737286950429412e-6,8.783179180366156e-6,7.271420309790111e-8,4.98497994317779e-8,1.0000465834347423e-7
adjustb/DeBruijn.Kit/adjustb/11,1.1699515127879437e-5,1.1688851590015236e-5,1.1714685090655192e-5,4.1749342156340374e-8,2.8099379650577268e-8,7.177704081128047e-8
adjustb/DeBruijn.Kit/adjustb/12,1.5251044583429525e-5,1.5229921923565625e-5,1.527911801883579e-5,7.905595192449736e-8,6.127205472837186e-8,1.0418795454049629e-7
adjustb/DeBruijn.Kit/adjustb/13,1.9509717077270676e-5,1.9463363913845103e-5,1.960541075244454e-5,2.0260723999586267e-7,1.059605915490438e-7,3.759946745887753e-7
adjustb/DeBruijn.Kit/adjustb/14,2.4488289576239852e-5,2.4459767419664983e-5,2.4549044054972295e-5,1.3736355288535158e-7,6.577632166122945e-8,2.528446024675269e-7
adjustb/DeBruijn.Kit/adjustb/15,3.078405430239e-5,3.073437064264372e-5,3.085699805184972e-5,1.9920845976824887e-7,1.3982061835205483e-7,2.9027660651950913e-7
adjustb/DeBruijn.Kit/adjustb/16,3.8174687760926705e-5,3.811852352018157e-5,3.8254373545457577e-5,2.148392613252669e-7,1.45807363901459e-7,3.8632627668694873e-7
adjustb/DeBruijn.Kit/adjustb/17,4.695021868595521e-5,4.6909163260220414e-5,4.701738034388489e-5,1.7024518655214384e-7,1.0712175393969023e-7,3.089864888521798e-7
adjustb/DeBruijn.Kit/adjustb/18,5.7357401561504094e-5,5.7237808965569934e-5,5.7595437660370354e-5,5.468156811597011e-7,3.188709611412193e-7,1.0020925273707192e-6
adjustb/DeBruijn.Kit/adjustb/19,6.895155573257588e-5,6.876247277582588e-5,6.921774984943795e-5,7.584331891331772e-7,5.386172720470082e-7,1.0847500668212108e-6
adjustb/DeBruijn.Kit/adjustb/20,8.148156106747597e-5,8.143184891249455e-5,8.157443130064062e-5,2.113969576336195e-7,1.3432420454356145e-7,3.835341493665753e-7
