Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
con/DeBruijn.Kit/con/1,2.2009968555890054e-8,2.1970006990883156e-8,2.2060747483261413e-8,1.6119580346001903e-10,1.3056528585856326e-10,2.2037865643193176e-10
con/DeBruijn.Kit/con/2,3.7776879992576454e-8,3.7699921116166093e-8,3.789620846501288e-8,3.1072738091858426e-10,2.469158185961683e-10,4.3282175958487976e-10
con/DeBruijn.Kit/con/3,5.262001475247711e-8,5.251520362814087e-8,5.281843323507161e-8,4.777954731693465e-10,3.0643001799371223e-10,7.618848322586256e-10
con/DeBruijn.Kit/con/4,6.819581221567339e-8,6.810048666887861e-8,6.833215725774792e-8,3.8775582308270187e-10,3.0097801880653233e-10,6.173454392653102e-10
con/DeBruijn.Kit/con/5,8.376698447955388e-8,8.361340234898119e-8,8.398696071239669e-8,5.851518543243862e-10,4.39878846568276e-10,8.013749577276036e-10
con/DeBruijn.Kit/con/6,1.0970131894298688e-7,1.0952630043472823e-7,1.0989618553427331e-7,6.234594474560412e-10,4.955829105036918e-10,8.036606692145042e-10
con/DeBruijn.Kit/con/7,1.2085701689239862e-7,1.206724772330126e-7,1.2112368630932978e-7,7.250245896872751e-10,5.422607662823837e-10,9.409775289017392e-10
con/DeBruijn.Kit/con/8,1.3810308461107388e-7,1.376993403189068e-7,1.387918550747874e-7,1.8675409206731438e-9,1.312205773311066e-9,2.838832486379314e-9
con/DeBruijn.Kit/con/9,1.682218808166182e-7,1.680295234860492e-7,1.6858403352848176e-7,8.004727005713246e-10,4.669644310861357e-10,1.2463158552831108e-9
con/DeBruijn.Kit/con/10,1.9296249222258527e-7,1.9262617482496844e-7,1.9332903045146986e-7,1.2144690195016436e-9,9.64177697656518e-10,1.7749381967106943e-9
con/DeBruijn.Kit/con/11,2.0511839246601764e-7,2.0470341953058765e-7,2.0559483251776915e-7,1.456945420541741e-9,1.1879827148670601e-9,1.7788951562461382e-9
con/DeBruijn.Kit/con/12,2.2034993826656833e-7,2.2001359512072481e-7,2.2085534856660323e-7,1.358913448917772e-9,9.435159216333546e-10,2.1335573987192347e-9
con/DeBruijn.Kit/con/13,2.3786409587727056e-7,2.3746394031094096e-7,2.385326631138107e-7,1.75824476238592e-9,1.211795049997939e-9,2.882330934325652e-9
con/DeBruijn.Kit/con/14,2.5455880430440794e-7,2.5374087772629957e-7,2.555614681131371e-7,3.1959672799672457e-9,2.5241772945607054e-9,4.117067843632877e-9
con/DeBruijn.Kit/con/15,2.6814713974008125e-7,2.677996673905284e-7,2.686829007820923e-7,1.4280128026300724e-9,9.886181080031017e-10,1.984898387927052e-9
con/DeBruijn.Kit/con/16,2.85551417493859e-7,2.852120488621277e-7,2.8644631015907955e-7,1.6628762902661304e-9,7.449475533679099e-10,3.1796207801489293e-9
con/DeBruijn.Kit/con/17,3.0228661776109224e-7,3.018606911668726e-7,3.027399227932132e-7,1.4533628701723125e-9,1.1368200402801359e-9,1.9083560840500853e-9
con/DeBruijn.Kit/con/18,3.193316059511522e-7,3.187617584097814e-7,3.200377186397472e-7,2.177110419181322e-9,1.729398682308483e-9,2.918057888269294e-9
con/DeBruijn.Kit/con/19,3.4272665278832534e-7,3.419836924812863e-7,3.4386304254192864e-7,2.874593601235041e-9,2.0461848248745257e-9,3.985795526930124e-9
con/DeBruijn.Kit/con/20,3.599360269005056e-7,3.5861233675213705e-7,3.620307605364886e-7,5.4713892780877505e-9,3.8533518404701484e-9,7.816598519690354e-9
