Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/DeBruijn.Kit/ids/1,2.163606803636939e-8,2.1593725089446576e-8,2.1680658365896403e-8,1.4783225852069054e-10,1.2607163987459415e-10,1.8095869276889163e-10
ids/DeBruijn.Kit/ids/2,2.9441498080205896e-8,2.940009435989437e-8,2.952436993915563e-8,1.7780111587556494e-10,1.1548049484018498e-10,3.068841693110836e-10
ids/DeBruijn.Kit/ids/3,3.693282291723928e-8,3.688624637971291e-8,3.7005576788303486e-8,1.9244402760613488e-10,1.2334839919589744e-10,3.131663387088912e-10
ids/DeBruijn.Kit/ids/4,5.1561780437492615e-8,5.13631208234843e-8,5.184195894243292e-8,7.868649817871615e-10,6.265965331767376e-10,9.861121451321495e-10
ids/DeBruijn.Kit/ids/5,5.954772140537678e-8,5.9327804347296906e-8,5.972858310026663e-8,6.156370363210149e-10,4.82821520130379e-10,7.601074363546584e-10
ids/DeBruijn.Kit/ids/6,6.696494453307521e-8,6.669662949099647e-8,6.72186827122871e-8,8.625220739214819e-10,7.31484156247419e-10,1.023820878094887e-9
ids/DeBruijn.Kit/ids/7,7.080028198277755e-8,7.047673770435259e-8,7.115845773696794e-8,1.1947605593842523e-9,9.988719749171003e-10,1.4128668383111878e-9
ids/DeBruijn.Kit/ids/8,7.656733760280654e-8,7.651878426472867e-8,7.66169764120712e-8,1.7634581661302927e-10,1.47896359096394e-10,2.1836513574947677e-10
ids/DeBruijn.Kit/ids/9,8.392424372142889e-8,8.36870077764913e-8,8.42742826529213e-8,9.405933703449654e-10,7.062223960398187e-10,1.3435610526586985e-9
ids/DeBruijn.Kit/ids/10,9.384624082015783e-8,9.352632146812376e-8,9.420083033985364e-8,1.1332211879437937e-9,9.461172572483333e-10,1.5750335522210833e-9
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/DeBruijn.Kit/ids/1,2.2182786136382167e-8,2.2141906617338034e-8,2.2250369067754535e-8,1.7589375445118273e-10,1.1099708033402273e-10,2.814938384652326e-10
ids/DeBruijn.Kit/ids/2,2.9633128841592398e-8,2.956560141987305e-8,2.975236395562077e-8,3.015902307892922e-10,1.903664624084727e-10,5.056070380145614e-10
ids/DeBruijn.Kit/ids/3,3.734319511208505e-8,3.7305067796352796e-8,3.738318923442792e-8,1.2986329318368516e-10,1.0648804286503646e-10,1.6070348640155073e-10
ids/DeBruijn.Kit/ids/4,5.103186176358627e-8,5.096380072938026e-8,5.113863073797081e-8,2.796833501139134e-10,2.1184923578064266e-10,4.184083962399754e-10
ids/DeBruijn.Kit/ids/5,5.663047261002664e-8,5.658703528832432e-8,5.6676492498512085e-8,1.572841195583446e-10,1.3015392253046138e-10,1.925093809526195e-10
ids/DeBruijn.Kit/ids/6,6.351928620841364e-8,6.344663183782539e-8,6.364044446334731e-8,3.0939910242656463e-10,2.23841179307669e-10,5.289085550159265e-10
ids/DeBruijn.Kit/ids/7,7.065502267536873e-8,7.058922390278079e-8,7.073691173311484e-8,2.4307388014132343e-10,1.851099803616103e-10,3.405820192807161e-10
ids/DeBruijn.Kit/ids/8,7.701944912479057e-8,7.69084250160436e-8,7.720665639660861e-8,4.779644610985846e-10,3.56088061217639e-10,6.474240038214711e-10
ids/DeBruijn.Kit/ids/9,8.432974439615245e-8,8.418922734188296e-8,8.456712774951564e-8,5.916178192574988e-10,4.149030424575542e-10,8.266570350052321e-10
ids/DeBruijn.Kit/ids/10,9.066201973292023e-8,9.056673860082318e-8,9.082457051830889e-8,4.141147152242898e-10,2.741056138417087e-10,6.6688541216112e-10
