Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/DeBruijn.Lazy.Bound/adjust/1,4.7394987062863603e-8,4.736381614166429e-8,4.743844000119649e-8,1.1979901151160973e-10,8.655626846984608e-11,1.6732208383017931e-10
adjust/DeBruijn.Lazy.Bound/adjust/2,2.693917665998963e-7,2.688004582229561e-7,2.7014290139037265e-7,2.2162355128110007e-9,1.938857532524259e-9,2.6788113695964875e-9
adjust/DeBruijn.Lazy.Bound/adjust/3,9.96802394395876e-7,9.815783233210349e-7,1.0102754377098355e-6,4.8231121528350465e-8,4.0144724317756864e-8,5.8822212156153955e-8
adjust/DeBruijn.Lazy.Bound/adjust/4,2.0448029765980316e-6,2.037152435969802e-6,2.05599727594631e-6,3.288101827318261e-8,2.5317767842261353e-8,4.731113006805428e-8
adjust/DeBruijn.Lazy.Bound/adjust/5,4.1438323992219035e-6,4.138708610331451e-6,4.150574915973228e-6,2.0376278871405754e-8,1.4687415453697898e-8,3.307641005320968e-8
adjust/DeBruijn.Lazy.Bound/adjust/6,7.77610041077692e-6,7.751065093848058e-6,7.808458017796716e-6,9.339180027766769e-8,7.944872181601454e-8,1.141883448342414e-7
adjust/DeBruijn.Lazy.Bound/adjust/7,1.2715054371256764e-5,1.2704549772501338e-5,1.2725591526194008e-5,3.7178295052740144e-8,3.2359496053361605e-8,4.357906378281421e-8
adjust/DeBruijn.Lazy.Bound/adjust/8,2.0009399698457472e-5,1.999391098318101e-5,2.0029721434524243e-5,6.137652839086952e-8,4.61793630146211e-8,9.397422954429142e-8
adjust/DeBruijn.Lazy.Bound/adjust/9,2.8943488174619442e-5,2.8915688016218616e-5,2.8971434098238015e-5,9.044686497943886e-8,7.015482207700253e-8,1.2293029553128973e-7
adjust/DeBruijn.Lazy.Bound/adjust/10,4.225492516933258e-5,4.221598311920731e-5,4.231472761901623e-5,1.6149453630880544e-7,1.206090208681293e-7,2.3858069744875143e-7
adjust/DeBruijn.Lazy.Bound/adjust/11,5.7864555763847365e-5,5.77295058454292e-5,5.815509619656095e-5,6.225714372034113e-7,3.351203190525626e-7,1.0776904641289883e-6
adjust/DeBruijn.Lazy.Bound/adjust/12,7.82064554232504e-5,7.811561146697501e-5,7.865331040731236e-5,5.594595999046592e-7,1.0302258855989036e-7,1.2646329956167072e-6
adjust/DeBruijn.Lazy.Bound/adjust/13,1.032246705650721e-4,1.0310471234433849e-4,1.0337152242374e-4,4.331627662366347e-7,3.3367949190469203e-7,6.390070150049714e-7
adjust/DeBruijn.Lazy.Bound/adjust/14,1.3440595166953683e-4,1.3423175458042436e-4,1.3461682899734467e-4,6.538969658149056e-7,5.503446179644621e-7,8.634594811610248e-7
adjust/DeBruijn.Lazy.Bound/adjust/15,1.7105279300636325e-4,1.709278842294993e-4,1.7122417742318312e-4,4.836027491538301e-7,3.6960555219640587e-7,6.365134301528621e-7
adjust/DeBruijn.Lazy.Bound/adjust/16,2.1503334883859427e-4,2.1476570981795643e-4,2.1539358047674163e-4,9.970685393857776e-7,7.778508744978249e-7,1.351744110645417e-6
adjust/DeBruijn.Lazy.Bound/adjust/17,2.6773205487940713e-4,2.673464031852625e-4,2.683505851793072e-4,1.600007972398026e-6,1.068366996533306e-6,2.7365458386748252e-6
adjust/DeBruijn.Lazy.Bound/adjust/18,3.268127819971394e-4,3.263686301141518e-4,3.2739158787950626e-4,1.8174177454714757e-6,1.2933422517774047e-6,2.623029584271851e-6
adjust/DeBruijn.Lazy.Bound/adjust/19,3.9722792116920043e-4,3.967684340977854e-4,3.977354334906834e-4,1.6096972023404855e-6,1.2393602380638363e-6,2.2374527524465912e-6
adjust/DeBruijn.Lazy.Bound/adjust/20,4.7826046493164856e-4,4.778268180873629e-4,4.7876071119199235e-4,1.578545967597337e-6,1.2639225323165903e-6,2.099579676565428e-6
