Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjustb/DeBruijn.Lazy.Bound/adjustb/1,1.2764335840508139e-7,1.272157491879132e-7,1.2826454051658185e-7,1.6779404714275854e-9,1.1507721625163923e-9,2.331420114885721e-9
adjustb/DeBruijn.Lazy.Bound/adjustb/2,5.997831902794429e-7,5.980753015757737e-7,6.019994016142189e-7,6.3719424034488085e-9,5.021225432279995e-9,9.131795002245247e-9
adjustb/DeBruijn.Lazy.Bound/adjustb/3,1.605893990450231e-6,1.6026027865920344e-6,1.6104571367041476e-6,1.303709660691403e-8,1.1428539166631434e-8,1.5284270959123083e-8
adjustb/DeBruijn.Lazy.Bound/adjustb/4,3.657793872881599e-6,3.6506515017424343e-6,3.6654053622060656e-6,2.5708156019721674e-8,2.0364657507261556e-8,3.364437388488148e-8
adjustb/DeBruijn.Lazy.Bound/adjustb/5,7.25965328931898e-6,7.2522007945520824e-6,7.2705636615829955e-6,3.016558149975269e-8,2.138868072354753e-8,4.885684763242207e-8
adjustb/DeBruijn.Lazy.Bound/adjustb/6,1.2845761015337168e-5,1.2810039797193276e-5,1.290227888885626e-5,1.4645928575503083e-7,1.1306997332335055e-7,2.0302386205060567e-7
adjustb/DeBruijn.Lazy.Bound/adjustb/7,2.0673570650026554e-5,2.064726490394133e-5,2.070640070903294e-5,1.0317017364878488e-7,7.24076379128485e-8,1.45663284589593e-7
adjustb/DeBruijn.Lazy.Bound/adjustb/8,3.116999259276922e-5,3.109045803396333e-5,3.133903743231123e-5,3.9343567785193853e-7,2.3937755245123433e-7,6.530984012493646e-7
adjustb/DeBruijn.Lazy.Bound/adjustb/9,4.45470168931965e-5,4.4457243082286455e-5,4.4694741687205246e-5,3.6111486661624845e-7,2.507654422221777e-7,5.206196560248205e-7
adjustb/DeBruijn.Lazy.Bound/adjustb/10,6.213528388688195e-5,6.204648466711198e-5,6.227121070055947e-5,3.6349253362858194e-7,2.718676336126555e-7,5.118382428033166e-7
adjustb/DeBruijn.Lazy.Bound/adjustb/11,8.393688083054273e-5,8.38251930268869e-5,8.412174938309189e-5,4.409447499486711e-7,3.035493524052378e-7,6.703482573786112e-7
adjustb/DeBruijn.Lazy.Bound/adjustb/12,1.1141788220141306e-4,1.1123491577914995e-4,1.1165823105537479e-4,7.133453380537055e-7,5.344377482195869e-7,9.172111228988602e-7
adjustb/DeBruijn.Lazy.Bound/adjustb/13,1.4349744785199878e-4,1.4326361505586914e-4,1.4385857831679687e-4,9.452037779265834e-7,7.210936978014996e-7,1.2844667102560558e-6
adjustb/DeBruijn.Lazy.Bound/adjustb/14,1.8404919021006117e-4,1.836653488028812e-4,1.846044741686415e-4,1.5589418369084258e-6,9.245785593573782e-7,2.4210166494913193e-6
adjustb/DeBruijn.Lazy.Bound/adjustb/15,2.3108334570478363e-4,2.305393198318423e-4,2.319796306662027e-4,2.307703384640418e-6,1.4010432921305027e-6,4.090797791294498e-6
adjustb/DeBruijn.Lazy.Bound/adjustb/16,2.880726513464038e-4,2.8763609954953883e-4,2.886837997828182e-4,1.685343079975961e-6,1.2548126290207061e-6,2.347197998151545e-6
adjustb/DeBruijn.Lazy.Bound/adjustb/17,3.5461328660136784e-4,3.539702094667551e-4,3.561099653252286e-4,3.0603186472098623e-6,1.8834621969575116e-6,5.360572900487411e-6
adjustb/DeBruijn.Lazy.Bound/adjustb/18,4.291225815202712e-4,4.284977301962891e-4,4.300011630672973e-4,2.417570349357745e-6,1.805898855099697e-6,3.3934533163550396e-6
adjustb/DeBruijn.Lazy.Bound/adjustb/19,5.176030450396142e-4,5.165859918110345e-4,5.190574911091637e-4,4.1844995641024275e-6,2.9558910590753366e-6,6.667479434658051e-6
adjustb/DeBruijn.Lazy.Bound/adjustb/20,6.153599954555721e-4,6.139387933373073e-4,6.177424864403151e-4,6.363298606635179e-6,4.692610999094264e-6,8.56246655220905e-6
adjustb/DeBruijn.Lazy.Bound/adjustb/1,1.3155561548034635e-7,1.3003254383948752e-7,1.32999317038407e-7,4.972043515216382e-9,4.728948907257043e-9,5.340143163508223e-9
adjustb/DeBruijn.Lazy.Bound/adjustb/2,5.985681157304335e-7,5.972302664838806e-7,5.998925484171866e-7,4.533263194982653e-9,3.7019605995259077e-9,5.57664459247429e-9
adjustb/DeBruijn.Lazy.Bound/adjustb/3,1.6149917421970591e-6,1.6122814065422575e-6,1.6181087598852857e-6,1.0038283880876395e-8,8.478437128000241e-9,1.2229507372909154e-8
adjustb/DeBruijn.Lazy.Bound/adjustb/4,3.7061120810152937e-6,3.6938301342935354e-6,3.7194150473135927e-6,4.1751474028928756e-8,3.6416771622073944e-8,4.867754106592169e-8
adjustb/DeBruijn.Lazy.Bound/adjustb/5,7.278943020193898e-6,7.268755650541402e-6,7.294555129092318e-6,4.433273125843466e-8,3.389634916182563e-8,5.953011258157663e-8
adjustb/DeBruijn.Lazy.Bound/adjustb/6,1.2800713958146402e-5,1.2752507335557538e-5,1.2948053564097987e-5,2.709405848973811e-7,1.089889717472208e-7,5.333912457807328e-7
adjustb/DeBruijn.Lazy.Bound/adjustb/7,2.058538577556256e-5,2.0555063517404886e-5,2.0639184642035636e-5,1.3593902407210942e-7,8.454341393137827e-8,2.366169969100654e-7
