Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
capt/DeBruijn.Lazy.Bound/capt/1,2.0409141693638454e-7,2.0243800709174958e-7,2.0567542382633e-7,5.429149254437354e-9,4.752879464772311e-9,6.713314113335359e-9
capt/DeBruijn.Lazy.Bound/capt/2,3.4491101528074834e-7,3.416422896679416e-7,3.4819226521120555e-7,1.1078823403835082e-8,8.60789225385504e-9,1.4102252979699964e-8
capt/DeBruijn.Lazy.Bound/capt/3,5.064301764566928e-7,5.018014064802963e-7,5.118043938395362e-7,1.6069639135356965e-8,1.2738510861158029e-8,2.2668963838551865e-8
capt/DeBruijn.Lazy.Bound/capt/4,7.350213226912349e-7,7.315962825587477e-7,7.418063531605566e-7,1.607583914920308e-8,9.55106991273816e-9,2.783462551875096e-8
capt/DeBruijn.Lazy.Bound/capt/5,1.0467594115078235e-6,1.0404438540863072e-6,1.054712152675819e-6,2.3360394318578814e-8,1.897670881287555e-8,3.102540308743342e-8
capt/DeBruijn.Lazy.Bound/capt/6,1.3958834747832453e-6,1.3857990995101073e-6,1.4048992670155042e-6,3.193207241930475e-8,2.6048024936464036e-8,3.956611646691334e-8
capt/DeBruijn.Lazy.Bound/capt/7,1.6993910785259653e-6,1.6843174437043561e-6,1.715718596602917e-6,5.554089417764257e-8,4.85767161322493e-8,6.492771917748845e-8
capt/DeBruijn.Lazy.Bound/capt/8,2.0067096481866416e-6,1.9952525977481923e-6,2.0219039312556477e-6,4.5356563415607214e-8,3.396815712852281e-8,7.24514649905969e-8
capt/DeBruijn.Lazy.Bound/capt/9,2.3594629974715114e-6,2.3453400601653653e-6,2.379360476033343e-6,5.695303464956615e-8,4.427668604299474e-8,7.572036106624345e-8
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
capt/DeBruijn.Lazy.Bound/capt/1,1.9457931549992053e-7,1.9444944837375822e-7,1.9478187784112239e-7,5.194518692904275e-10,3.4899929702229483e-10,8.219330908642013e-10
capt/DeBruijn.Lazy.Bound/capt/2,3.1150898161984513e-7,3.1114166675212346e-7,3.1216010814181383e-7,1.5991278388378186e-9,1.0548841577786467e-9,2.2801979072279036e-9
capt/DeBruijn.Lazy.Bound/capt/3,4.777795158057375e-7,4.773495324424241e-7,4.784149492720948e-7,1.6559855758520136e-9,1.2816559585367192e-9,2.624623965713627e-9
capt/DeBruijn.Lazy.Bound/capt/4,7.16605570742569e-7,7.151856159902092e-7,7.183070308172729e-7,5.200922638484685e-9,4.159227727933664e-9,7.02786101289574e-9
capt/DeBruijn.Lazy.Bound/capt/5,1.024043457918401e-6,1.0230587042240037e-6,1.025066496696228e-6,3.538324619002129e-9,2.8169930718299887e-9,4.6084916331438195e-9
capt/DeBruijn.Lazy.Bound/capt/6,1.32143017913297e-6,1.320146421561687e-6,1.3240911636417613e-6,5.7080712207532925e-9,3.962830910980867e-9,8.74320802527516e-9
capt/DeBruijn.Lazy.Bound/capt/7,1.6129527315392057e-6,1.6110469186246149e-6,1.6165799356311525e-6,8.504125847767968e-9,5.122250038478772e-9,1.5247566106373464e-8
capt/DeBruijn.Lazy.Bound/capt/8,1.963075611961624e-6,1.9599080401532406e-6,1.9699582567229587e-6,1.4487583782452192e-8,7.877751793443326e-9,2.4735375808586638e-8
capt/DeBruijn.Lazy.Bound/capt/9,2.293037991144488e-6,2.2891832201499534e-6,2.297514658733242e-6,1.407516202943391e-8,1.1736713013046869e-8,1.7299001417837907e-8
