Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
con/DeBruijn.Lazy.Bound/con/1,3.215708548255777e-8,3.209584619871955e-8,3.2235066690507074e-8,2.337483161309979e-10,1.973462881900161e-10,2.781201976891549e-10
con/DeBruijn.Lazy.Bound/con/2,7.515575703844601e-8,7.484075535959983e-8,7.585999372486362e-8,1.4954356294382241e-9,8.849614656034884e-10,2.7105097353143255e-9
con/DeBruijn.Lazy.Bound/con/3,1.308158607388948e-7,1.3062344797649132e-7,1.3115132203991713e-7,8.479226303286326e-10,4.810016744386416e-10,1.2682304184888296e-9
con/DeBruijn.Lazy.Bound/con/4,2.1504790990001064e-7,2.1481651578105908e-7,2.1536497772324667e-7,9.617942096116743e-10,7.224865888885148e-10,1.439359378171133e-9
con/DeBruijn.Lazy.Bound/con/5,3.184214948727907e-7,3.179078725974952e-7,3.190939266253923e-7,1.987940208368394e-9,1.37940255554494e-9,3.1969878370487722e-9
con/DeBruijn.Lazy.Bound/con/6,5.040501561575078e-7,5.019484776004369e-7,5.068508515291389e-7,7.872375319298509e-9,6.074502346486479e-9,1.0722855399588527e-8
con/DeBruijn.Lazy.Bound/con/7,6.721486494164165e-7,6.712200863852755e-7,6.732408651521582e-7,3.4124301622365e-9,2.5957276758740005e-9,4.3244760993000835e-9
con/DeBruijn.Lazy.Bound/con/8,8.668275866520237e-7,8.636306624318761e-7,8.739527174393178e-7,1.5040856582231187e-8,9.064391316687747e-9,2.628684205136882e-8
con/DeBruijn.Lazy.Bound/con/9,1.060549596064558e-6,1.0590049218437622e-6,1.0627969141991462e-6,6.077629042428253e-9,4.772248704448025e-9,7.86015330049363e-9
con/DeBruijn.Lazy.Bound/con/10,1.2848834685154923e-6,1.2833844597338377e-6,1.286405547583162e-6,4.915961038999308e-9,3.780174450327906e-9,6.2913247467898e-9
con/DeBruijn.Lazy.Bound/con/11,1.526187698120963e-6,1.523584347109209e-6,1.52938667433264e-6,9.597942368339129e-9,7.805923901624501e-9,1.1957004343675363e-8
