Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/DeBruijn.Lazy.Bound/ids/1,3.191001690632697e-8,3.185172321849751e-8,3.1977078011773607e-8,2.1530917059005823e-10,1.7605960113490164e-10,2.7123136601474716e-10
ids/DeBruijn.Lazy.Bound/ids/2,3.955715538467894e-8,3.951632917266871e-8,3.9625509755746684e-8,1.7036207663397084e-10,1.3106230749683216e-10,2.473443802841712e-10
ids/DeBruijn.Lazy.Bound/ids/3,4.710185554765154e-8,4.707066027460375e-8,4.714372313704916e-8,1.1603975724880445e-10,8.458438579098917e-11,1.6980130502117964e-10
ids/DeBruijn.Lazy.Bound/ids/4,5.455658732352311e-8,5.4467104709786955e-8,5.47876454697128e-8,4.439467759557154e-10,2.7098903936122975e-10,8.069972178185829e-10
ids/DeBruijn.Lazy.Bound/ids/5,7.200040213133367e-8,7.190788113181957e-8,7.21490670026048e-8,4.063132089731832e-10,2.9220915263771204e-10,5.91703222107429e-10
ids/DeBruijn.Lazy.Bound/ids/6,7.57535226968823e-8,7.56132918354669e-8,7.609468330641976e-8,7.059981258911353e-10,3.6150190256759026e-10,1.2304436655870501e-9
ids/DeBruijn.Lazy.Bound/ids/7,8.236218394884286e-8,8.222660102643272e-8,8.260428265741503e-8,5.640328038611028e-10,3.712862001163963e-10,8.43611986425631e-10
ids/DeBruijn.Lazy.Bound/ids/8,8.909875284764679e-8,8.894784958525664e-8,8.929330893050365e-8,5.664501048062297e-10,4.57038636733212e-10,7.76010817947269e-10
ids/DeBruijn.Lazy.Bound/ids/9,9.664418574898344e-8,9.654022830005419e-8,9.675382989377589e-8,3.5731669307868916e-10,2.6955021570226883e-10,4.557309257531145e-10
ids/DeBruijn.Lazy.Bound/ids/10,1.0366563617779437e-7,1.0349816186835453e-7,1.0383958433910343e-7,5.853022612156703e-10,4.674378556882531e-10,7.073915833956147e-10
