Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/DeBruijn.Lazy.CPDT/adjust/1,2.3178636888010888e-8,2.313792846951355e-8,2.3288051197281775e-8,2.0241761442487097e-10,1.055773635281393e-10,3.728554911635819e-10
adjust/DeBruijn.Lazy.CPDT/adjust/2,1.16904024366835e-7,1.1656795385900552e-7,1.175967009387407e-7,1.523808560398965e-9,8.988400909299273e-10,2.4995114596272522e-9
adjust/DeBruijn.Lazy.CPDT/adjust/3,3.161640514122731e-7,3.1564614719606187e-7,3.1692810106901673e-7,2.0865277936729906e-9,1.4525365939599327e-9,2.8461275956278517e-9
adjust/DeBruijn.Lazy.CPDT/adjust/4,6.005840050322206e-7,5.993464315707193e-7,6.018648223998907e-7,4.224337581857911e-9,3.1745105740692616e-9,5.375992109683923e-9
adjust/DeBruijn.Lazy.CPDT/adjust/5,9.975448400720912e-7,9.955990725057653e-7,1.0011627855625623e-6,8.513554715924342e-9,5.287640692409288e-9,1.3068620730962691e-8
adjust/DeBruijn.Lazy.CPDT/adjust/6,1.5188556397986755e-6,1.515847866050613e-6,1.5224831782983474e-6,1.1329041282383953e-8,8.562986428213757e-9,1.449899700576159e-8
adjust/DeBruijn.Lazy.CPDT/adjust/7,2.1524972069799336e-6,2.1500577444278126e-6,2.156419025080228e-6,1.038114703844232e-8,6.88345876520587e-9,1.5734146320034555e-8
adjust/DeBruijn.Lazy.CPDT/adjust/8,3.0155149752112784e-6,3.0082034555192958e-6,3.028511580388341e-6,3.15874741307265e-8,2.056954995789369e-8,4.824066801750439e-8
adjust/DeBruijn.Lazy.CPDT/adjust/9,4.012659117408857e-6,4.0092125338441345e-6,4.0194490128967855e-6,1.5975568717778884e-8,1.0465744849618251e-8,2.6856994359138947e-8
adjust/DeBruijn.Lazy.CPDT/adjust/10,5.232596828679105e-6,5.229158692813624e-6,5.237797949675883e-6,1.407504211432467e-8,1.0453950750856061e-8,1.870446966699676e-8
adjust/DeBruijn.Lazy.CPDT/adjust/11,6.74495975226258e-6,6.736255207259546e-6,6.758462799831707e-6,3.666702248774529e-8,1.7025099942598884e-8,5.9137778185555006e-8
adjust/DeBruijn.Lazy.CPDT/adjust/12,8.419818711264841e-6,8.408901327668522e-6,8.435589321459748e-6,4.466411911376235e-8,3.322221853757121e-8,6.093453766138272e-8
adjust/DeBruijn.Lazy.CPDT/adjust/13,1.0366667410440843e-5,1.035874464791954e-5,1.0382225002799692e-5,3.704037711378816e-8,1.83013645880131e-8,6.946711885237571e-8
adjust/DeBruijn.Lazy.CPDT/adjust/14,1.2532813336585357e-5,1.2507423870290821e-5,1.257589128976389e-5,1.0601606489020041e-7,5.983670671494132e-8,1.7786614762702455e-7
adjust/DeBruijn.Lazy.CPDT/adjust/15,1.497044909363361e-5,1.4948527405150471e-5,1.4999316558896399e-5,8.774266123424985e-8,7.061832421044412e-8,1.1069088737286999e-7
adjust/DeBruijn.Lazy.CPDT/adjust/16,1.7808993719001304e-5,1.778834765432604e-5,1.7849266703114246e-5,9.511642537869121e-8,6.11960154205645e-8,1.352357441268657e-7
adjust/DeBruijn.Lazy.CPDT/adjust/17,2.0919459460079074e-5,2.0895229851048357e-5,2.0973587133678238e-5,1.087467875829908e-7,5.3341535998390664e-8,1.8765666745810152e-7
adjust/DeBruijn.Lazy.CPDT/adjust/18,2.4421831547123726e-5,2.4399523390973236e-5,2.445122722488889e-5,9.278764070443278e-8,7.004131900845221e-8,1.2279764580511535e-7
adjust/DeBruijn.Lazy.CPDT/adjust/19,2.8293043580775814e-5,2.8270715454620633e-5,2.834148199153561e-5,9.882768113373869e-8,5.908398695498443e-8,1.888297024823593e-7
adjust/DeBruijn.Lazy.CPDT/adjust/20,3.258877861245361e-5,3.255596179444966e-5,3.265950733696327e-5,1.5135999936040677e-7,9.661704226718093e-8,2.506933159892961e-7
