Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjustb/DeBruijn.Lazy.CPDT/adjustb/1,4.478132839036822e-8,4.472006454329788e-8,4.4887446209588456e-8,2.661593423715509e-10,1.7297143040621202e-10,4.389339356855859e-10
adjustb/DeBruijn.Lazy.CPDT/adjustb/2,2.0425561005930418e-7,2.039595651363218e-7,2.0488165411717185e-7,1.408728627917809e-9,7.716128281222837e-10,2.3914526689408454e-9
adjustb/DeBruijn.Lazy.CPDT/adjustb/3,4.84855197796657e-7,4.836861128787076e-7,4.863115331013521e-7,4.489045662442287e-9,3.6359065668191133e-9,6.548133929202221e-9
adjustb/DeBruijn.Lazy.CPDT/adjustb/4,8.590428012261041e-7,8.574814255425036e-7,8.622064465500232e-7,7.397693817725377e-9,4.716573334622882e-9,1.2977918084343045e-8
adjustb/DeBruijn.Lazy.CPDT/adjustb/5,1.3832879825918263e-6,1.3807816833729013e-6,1.387342991839004e-6,1.110894207377366e-8,7.764005213598322e-9,1.622806791575696e-8
adjustb/DeBruijn.Lazy.CPDT/adjustb/6,2.0693025149869063e-6,2.064808002058223e-6,2.0735060436457196e-6,1.5402557563241454e-8,1.2679328596238075e-8,1.955230013826491e-8
adjustb/DeBruijn.Lazy.CPDT/adjustb/7,2.903185428185009e-6,2.900415065456111e-6,2.906385928772584e-6,1.010368646632336e-8,8.038222226512881e-9,1.406929261235967e-8
adjustb/DeBruijn.Lazy.CPDT/adjustb/8,3.871658457938818e-6,3.862114137559041e-6,3.894480053839404e-6,4.637346266014451e-8,2.6240578458746474e-8,9.335157347033908e-8
adjustb/DeBruijn.Lazy.CPDT/adjustb/9,5.042745042979998e-6,5.036735040087055e-6,5.052220830141594e-6,2.518895049912624e-8,1.6522183674498142e-8,4.414101963912098e-8
adjustb/DeBruijn.Lazy.CPDT/adjustb/10,6.785470714694005e-6,6.779841312482846e-6,6.792882266599e-6,2.265745508936323e-8,1.6526780883954964e-8,3.1286148236473296e-8
adjustb/DeBruijn.Lazy.CPDT/adjustb/11,8.388878400818613e-6,8.371872883810725e-6,8.433750107315578e-6,8.124418023254235e-8,4.448317964730002e-8,1.557104137632436e-7
adjustb/DeBruijn.Lazy.CPDT/adjustb/12,1.0352039591750377e-5,1.0340130540018695e-5,1.0370403737520457e-5,5.066068717069056e-8,2.8580236506736955e-8,7.898377870870031e-8
adjustb/DeBruijn.Lazy.CPDT/adjustb/13,1.277832536853287e-5,1.2749783206150514e-5,1.2825507122091661e-5,1.187188226618262e-7,8.720893790322668e-8,1.6532748061827847e-7
adjustb/DeBruijn.Lazy.CPDT/adjustb/14,1.554933363209637e-5,1.5528661267090324e-5,1.5580794475925636e-5,8.546499295615729e-8,6.33558179905344e-8,1.209308408219866e-7
adjustb/DeBruijn.Lazy.CPDT/adjustb/15,1.9265377330099182e-5,1.9242148168254328e-5,1.9295912935415413e-5,9.381275512267576e-8,7.118678375589216e-8,1.289994689180411e-7
adjustb/DeBruijn.Lazy.CPDT/adjustb/16,2.2839733780155855e-5,2.2820914183675166e-5,2.287086244740858e-5,7.531674667452634e-8,4.7358296604435036e-8,1.1610583450964015e-7
adjustb/DeBruijn.Lazy.CPDT/adjustb/17,2.881009482247296e-5,2.8632625401153377e-5,2.9363296469592985e-5,9.721500328993952e-7,3.3960021910812285e-7,1.929661528741522e-6
adjustb/DeBruijn.Lazy.CPDT/adjustb/18,3.338359011067564e-5,3.335056119985648e-5,3.3425227974751753e-5,1.2683433177052363e-7,1.005004370348941e-7,1.7247488703647496e-7
adjustb/DeBruijn.Lazy.CPDT/adjustb/19,4.007993419881894e-5,4.004487340792282e-5,4.0143994907986784e-5,1.585075940075453e-7,9.557840991581967e-8,2.587676718729999e-7
adjustb/DeBruijn.Lazy.CPDT/adjustb/20,4.5937481371312464e-5,4.5894276760625496e-5,4.6005141640262125e-5,1.9904796173220417e-7,1.274507110385698e-7,2.9097741253544797e-7
