Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
capt/DeBruijn.Lazy.CPDT/capt/1,6.011403531289707e-8,5.999339358602736e-8,6.026994002399324e-8,4.2747836432359163e-10,3.437124746550937e-10,5.958258125106302e-10
capt/DeBruijn.Lazy.CPDT/capt/2,9.198704979037672e-8,9.184026141022273e-8,9.219420112659822e-8,5.743823884586588e-10,4.4608468101165103e-10,7.216774401419922e-10
capt/DeBruijn.Lazy.CPDT/capt/3,1.2581296390629088e-7,1.2515865391164994e-7,1.2699100187820474e-7,2.9664565136120823e-9,1.6651722851689406e-9,4.909605714012915e-9
capt/DeBruijn.Lazy.CPDT/capt/4,1.7192885772599e-7,1.7168469087842296e-7,1.7227853216352424e-7,9.946125845356437e-10,7.01327458085895e-10,1.6523922072231595e-9
capt/DeBruijn.Lazy.CPDT/capt/5,2.013437359371556e-7,2.0110823123915353e-7,2.0170629162180995e-7,9.84530940961221e-10,7.250540801875771e-10,1.2724817970676082e-9
capt/DeBruijn.Lazy.CPDT/capt/6,2.350098976969341e-7,2.3476538043308601e-7,2.3539978949218528e-7,9.646025028325019e-10,7.185264942955584e-10,1.5414606011250762e-9
capt/DeBruijn.Lazy.CPDT/capt/7,2.8284370864173404e-7,2.8235530640353673e-7,2.8350657383898225e-7,1.9903570128232177e-9,1.502923633956037e-9,2.6774041014989418e-9
capt/DeBruijn.Lazy.CPDT/capt/8,3.1558677167768223e-7,3.151637686424217e-7,3.1620601232416923e-7,1.6202900339985904e-9,1.251812310602839e-9,2.0817368435388096e-9
capt/DeBruijn.Lazy.CPDT/capt/9,3.674910905057326e-7,3.667543766717596e-7,3.685742786998233e-7,2.9571800841736923e-9,2.3075608155447425e-9,3.6706993485355615e-9
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
capt/DeBruijn.Lazy.CPDT/capt/1,6.703576744421188e-8,6.562504661195871e-8,6.850194326292188e-8,4.700968012332847e-9,4.229826864522181e-9,5.1606274705956485e-9
capt/DeBruijn.Lazy.CPDT/capt/2,1.0214626856205755e-7,9.969687928345107e-8,1.0498987711204396e-7,9.133314222735545e-9,7.029175741924239e-9,1.054778205181368e-8
capt/DeBruijn.Lazy.CPDT/capt/3,1.305947756467499e-7,1.3042728978536566e-7,1.3090413941242923e-7,7.481009251565684e-10,5.009593667954136e-10,1.3051770807011266e-9
capt/DeBruijn.Lazy.CPDT/capt/4,1.7890687432778893e-7,1.784865592252072e-7,1.7967818936555038e-7,1.8246350273630963e-9,1.305639801425397e-9,2.9664538862322386e-9
capt/DeBruijn.Lazy.CPDT/capt/5,2.065767416460276e-7,2.0603906533558303e-7,2.0762918370110557e-7,2.449847689913906e-9,1.4618047076271929e-9,3.733593152501016e-9
capt/DeBruijn.Lazy.CPDT/capt/6,2.3743647255276105e-7,2.3731452360219804e-7,2.376508078587793e-7,5.287586064341435e-10,3.25654090294882e-10,8.431135722759421e-10
capt/DeBruijn.Lazy.CPDT/capt/7,3.0733485448335725e-7,3.022088357314465e-7,3.1250088176288546e-7,1.7049177711913437e-8,1.615387835144127e-8,1.7993127429882725e-8
capt/DeBruijn.Lazy.CPDT/capt/8,3.1907769334491464e-7,3.186070012140753e-7,3.1978936808971124e-7,1.968508124970527e-9,1.2974833634414405e-9,2.969610100641941e-9
capt/DeBruijn.Lazy.CPDT/capt/9,3.722077926640224e-7,3.718009514191554e-7,3.728769909159565e-7,1.7173736073073869e-9,1.243679591161913e-9,2.470625050069003e-9
