Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
con/DeBruijn.Lazy.CPDT/con/1,2.2452311483157984e-8,2.2413292502504755e-8,2.2496301743088345e-8,1.4126749262927216e-10,1.061785800813182e-10,2.1013979855607277e-10
con/DeBruijn.Lazy.CPDT/con/2,5.0426694994285927e-8,5.036780684117945e-8,5.052665256668703e-8,2.63307360268444e-10,1.8341991414501124e-10,4.2656828165616954e-10
con/DeBruijn.Lazy.CPDT/con/3,7.662597000948073e-8,7.650732991606506e-8,7.679754580542824e-8,5.190834183112958e-10,3.7142413157154813e-10,8.059909260290704e-10
con/DeBruijn.Lazy.CPDT/con/4,1.0462658228137292e-7,1.0441361545499033e-7,1.049224438587755e-7,7.961620054928039e-10,6.581238400316726e-10,1.015475101543684e-9
con/DeBruijn.Lazy.CPDT/con/5,1.320380222595943e-7,1.311293898206679e-7,1.34576492918018e-7,4.578286311499981e-9,1.5995896475455493e-9,8.87420292267737e-9
con/DeBruijn.Lazy.CPDT/con/6,1.848557810837402e-7,1.831876049307697e-7,1.8667526361969579e-7,5.87675824046821e-9,4.8729452263888655e-9,7.4074304486201325e-9
con/DeBruijn.Lazy.CPDT/con/7,2.1507018438350143e-7,2.1366197434073744e-7,2.1637343505900568e-7,4.690157810690328e-9,4.0800484936875446e-9,5.506164847463913e-9
con/DeBruijn.Lazy.CPDT/con/8,2.4125588865730476e-7,2.4035015738234124e-7,2.4214478653609077e-7,2.9680777467635562e-9,2.3935239466007156e-9,3.7196370188812045e-9
con/DeBruijn.Lazy.CPDT/con/9,2.741236910306814e-7,2.7255356874878164e-7,2.762642671866101e-7,6.171493751723143e-9,4.627298494602244e-9,8.998507709072593e-9
con/DeBruijn.Lazy.CPDT/con/10,3.2195522619029114e-7,3.20912163553882e-7,3.232773126534347e-7,3.823658189507802e-9,2.909731507529096e-9,5.133425987366793e-9
con/DeBruijn.Lazy.CPDT/con/11,3.322594992252897e-7,3.316773391360109e-7,3.333520627490682e-7,2.655037126501767e-9,1.5631513027695055e-9,4.290274319745198e-9
con/DeBruijn.Lazy.CPDT/con/12,3.5735076379531134e-7,3.5670229884294097e-7,3.584166283463008e-7,2.644530729525602e-9,1.7887756114761855e-9,3.5704535338453075e-9
con/DeBruijn.Lazy.CPDT/con/13,3.884736260661268e-7,3.8772194101489463e-7,3.89197905251824e-7,2.634819604237162e-9,2.1642128865440545e-9,3.1623925497717758e-9
con/DeBruijn.Lazy.CPDT/con/14,4.291098450580268e-7,4.2828661305129343e-7,4.308984099228723e-7,4.008854634451488e-9,1.6393650046613128e-9,8.339095894265241e-9
con/DeBruijn.Lazy.CPDT/con/15,4.5213696015267494e-7,4.5145570593330646e-7,4.5308800041412027e-7,2.744957084448357e-9,2.0909534806506622e-9,4.240982883933779e-9
con/DeBruijn.Lazy.CPDT/con/16,4.82975727332998e-7,4.818319448305365e-7,4.848766246949423e-7,4.556996028474652e-9,3.442927760152045e-9,6.068788203213993e-9
con/DeBruijn.Lazy.CPDT/con/17,5.277376033484291e-7,5.261754765444067e-7,5.302391090138789e-7,6.5450980631120385e-9,3.93930569274568e-9,9.642606224092113e-9
con/DeBruijn.Lazy.CPDT/con/18,5.605916353524574e-7,5.588503481190508e-7,5.649452314537587e-7,8.719342159713763e-9,3.882030934735814e-9,1.4453615981054302e-8
con/DeBruijn.Lazy.CPDT/con/19,5.91031728479064e-7,5.898574314028469e-7,5.927474405724818e-7,4.733405042149889e-9,3.727182100850863e-9,6.440908610827195e-9
con/DeBruijn.Lazy.CPDT/con/20,6.141821015069968e-7,6.131042333074942e-7,6.157176907665192e-7,4.268406657845452e-9,3.0909093019803157e-9,6.642944183277993e-9
