Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/DeBruijn.Lazy.CPDT/ids/1,2.262988976151401e-8,2.2584573851685633e-8,2.2692174601424357e-8,1.7661131998362501e-10,1.1532185375376131e-10,2.561893297419377e-10
ids/DeBruijn.Lazy.CPDT/ids/2,3.0806243969371556e-8,3.073127735334229e-8,3.0953444795691695e-8,3.3920785643493427e-10,2.024976590635486e-10,5.515024057395946e-10
ids/DeBruijn.Lazy.CPDT/ids/3,3.87428760560796e-8,3.864794411344321e-8,3.888114788537946e-8,3.8231614591069827e-10,2.54674350728943e-10,5.800213906826832e-10
ids/DeBruijn.Lazy.CPDT/ids/4,5.717460653180195e-8,5.697882022673884e-8,5.753693448490044e-8,8.905174088040681e-10,5.702466316737772e-10,1.4186403063849574e-9
ids/DeBruijn.Lazy.CPDT/ids/5,5.891952209572822e-8,5.883132034739378e-8,5.905233025140519e-8,3.5338968768848645e-10,2.728048641268668e-10,4.710336896565054e-10
ids/DeBruijn.Lazy.CPDT/ids/6,6.622463680749316e-8,6.616409660232707e-8,6.630017274778797e-8,2.3524815885593194e-10,1.8075943707355927e-10,3.1099235983819783e-10
ids/DeBruijn.Lazy.CPDT/ids/7,7.415360150569613e-8,7.405898921276858e-8,7.42971346522046e-8,3.856817261002637e-10,2.8601569032903584e-10,6.751970957792417e-10
ids/DeBruijn.Lazy.CPDT/ids/8,8.12896461415681e-8,8.117526042958134e-8,8.14414137229442e-8,4.698919137377419e-10,3.7902055134132534e-10,6.731558862100864e-10
ids/DeBruijn.Lazy.CPDT/ids/9,8.882174476669828e-8,8.872521081825965e-8,8.89373830237323e-8,3.471786376050314e-10,2.526432442201562e-10,4.736115614836268e-10
ids/DeBruijn.Lazy.CPDT/ids/10,9.693573952331132e-8,9.639295181623163e-8,9.875829604896716e-8,3.038651706436633e-9,1.0883416147582613e-9,6.0887297293366e-9
