Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/DeBruijn.Lazy.Cornell/adjust/1,3.0375919820404836e-8,3.031499741673434e-8,3.0491494186374595e-8,2.6776961824168353e-10,1.689106072598292e-10,4.5187326204135753e-10
adjust/DeBruijn.Lazy.Cornell/adjust/2,1.5261813318674906e-7,1.5242461977538993e-7,1.528819463928173e-7,7.51514300758511e-10,5.86176640081278e-10,1.0262047165495184e-9
adjust/DeBruijn.Lazy.Cornell/adjust/3,3.9317538788972513e-7,3.927615854263971e-7,3.940458422878357e-7,1.8921891472034033e-9,1.1572270467676776e-9,3.390113631791969e-9
adjust/DeBruijn.Lazy.Cornell/adjust/4,6.880467784913887e-7,6.850013988376478e-7,6.959853364949132e-7,1.6021757739353134e-8,5.812509407694536e-9,3.1770433621554075e-8
adjust/DeBruijn.Lazy.Cornell/adjust/5,1.0745489814637092e-6,1.073983311590749e-6,1.0753836901835605e-6,2.418976060030453e-9,1.8305413138674187e-9,3.197264235080959e-9
adjust/DeBruijn.Lazy.Cornell/adjust/6,1.574843288265528e-6,1.5728699938133904e-6,1.578160229114342e-6,8.780929209489745e-9,6.213851184339802e-9,1.3549631269168234e-8
adjust/DeBruijn.Lazy.Cornell/adjust/7,2.1784026437773888e-6,2.1755628420438438e-6,2.182838250847209e-6,1.1510903769607118e-8,8.33838481291969e-9,1.6399924646278972e-8
adjust/DeBruijn.Lazy.Cornell/adjust/8,2.9171365472872713e-6,2.9132074889515873e-6,2.9231716010015463e-6,1.5731026151789934e-8,1.1026025584326657e-8,2.6154014666639386e-8
adjust/DeBruijn.Lazy.Cornell/adjust/9,3.857412064736448e-6,3.853482341366818e-6,3.8696999215829285e-6,2.099175638888472e-8,9.131931388400148e-9,3.762392296983932e-8
adjust/DeBruijn.Lazy.Cornell/adjust/10,4.923402551949113e-6,4.91812495936665e-6,4.93301478806212e-6,2.3409446137673606e-8,1.564423790560344e-8,3.77808736500255e-8
adjust/DeBruijn.Lazy.Cornell/adjust/11,6.146877647289817e-6,6.1408168591859745e-6,6.155901087413842e-6,2.49855208152376e-8,2.0381513324619375e-8,3.33061775110874e-8
adjust/DeBruijn.Lazy.Cornell/adjust/12,7.58055789319562e-6,7.5711730121712535e-6,7.59350441040812e-6,3.8799920522043926e-8,2.872361689590111e-8,5.3337186797603436e-8
adjust/DeBruijn.Lazy.Cornell/adjust/13,9.111939771076908e-6,9.104068344195849e-6,9.12348091623239e-6,3.2724522490929037e-8,2.4898317121585714e-8,4.525741177212678e-8
adjust/DeBruijn.Lazy.Cornell/adjust/14,1.0861945662679514e-5,1.0849431789259264e-5,1.0882978284860039e-5,5.4380739727531946e-8,3.714489805208301e-8,7.842786712541562e-8
adjust/DeBruijn.Lazy.Cornell/adjust/15,1.2775054561028659e-5,1.275289570897865e-5,1.281777913600939e-5,1.0079668808244123e-7,4.8939113237111937e-8,1.7204827487815063e-7
adjust/DeBruijn.Lazy.Cornell/adjust/16,1.4766919998519895e-5,1.474802101720205e-5,1.4799664229764939e-5,8.334361296083559e-8,5.1383957607564254e-8,1.3420122732252609e-7
adjust/DeBruijn.Lazy.Cornell/adjust/17,1.7076186832186987e-5,1.7056086233245185e-5,1.7101255415009656e-5,7.537340342519691e-8,5.8549253644869173e-8,1.1745285735587513e-7
adjust/DeBruijn.Lazy.Cornell/adjust/18,1.9666646024427178e-5,1.963696044548582e-5,1.9724471297898775e-5,1.291454106371544e-7,8.046245905326583e-8,1.860000378165164e-7
adjust/DeBruijn.Lazy.Cornell/adjust/19,2.2334594052227592e-5,2.231679207647798e-5,2.2359333242220518e-5,6.75456655165651e-8,5.098628370935866e-8,9.964862463802523e-8
adjust/DeBruijn.Lazy.Cornell/adjust/20,2.544025450312702e-5,2.539596678766425e-5,2.5543133263290572e-5,2.031837334474417e-7,7.129817008242056e-8,3.398063100644435e-7
