Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjustb/DeBruijn.Lazy.Cornell/adjustb/1,7.649321265139148e-8,7.626453005582216e-8,7.701163155504503e-8,1.094731351548692e-9,5.660818520913471e-10,1.988725508811565e-9
adjustb/DeBruijn.Lazy.Cornell/adjustb/2,2.437374857372307e-7,2.435320325262928e-7,2.4406590891281074e-7,8.302760132782546e-10,5.726106531062018e-10,1.267367920801901e-9
adjustb/DeBruijn.Lazy.Cornell/adjustb/3,5.120123760170572e-7,5.112949068327646e-7,5.133843102142287e-7,3.3025194069917074e-9,2.069950927442333e-9,5.106852939656448e-9
adjustb/DeBruijn.Lazy.Cornell/adjustb/4,8.692139805488529e-7,8.679062514281778e-7,8.71724790743582e-7,5.509100350352014e-9,3.2111724370441953e-9,9.056229457087636e-9
adjustb/DeBruijn.Lazy.Cornell/adjustb/5,1.2984610321566704e-6,1.2974576521800553e-6,1.299703478307833e-6,3.940339798507247e-9,2.9621040286045317e-9,6.111440785873729e-9
adjustb/DeBruijn.Lazy.Cornell/adjustb/6,1.8348505771742654e-6,1.8331468948797934e-6,1.8368701896545673e-6,6.532208302643867e-9,4.765631269429468e-9,1.0264931996781666e-8
adjustb/DeBruijn.Lazy.Cornell/adjustb/7,2.4866325102913857e-6,2.468525401225936e-6,2.567588427934222e-6,1.0763785649185665e-7,2.025706365794107e-8,2.418359046333963e-7
adjustb/DeBruijn.Lazy.Cornell/adjustb/8,3.2212395666123116e-6,3.2195366528874904e-6,3.2237883388009283e-6,6.727029879851115e-9,4.628858965046568e-9,9.774557697294593e-9
adjustb/DeBruijn.Lazy.Cornell/adjustb/9,4.188666288163869e-6,4.1836313241949546e-6,4.197057928989305e-6,2.0905872903564433e-8,1.4257497730002365e-8,2.8902292153211058e-8
adjustb/DeBruijn.Lazy.Cornell/adjustb/10,5.261259379272597e-6,5.253441424875678e-6,5.274794571137518e-6,3.3696943509365e-8,1.9862392854784403e-8,5.772268418101991e-8
adjustb/DeBruijn.Lazy.Cornell/adjustb/11,6.4484993352145145e-6,6.440764114817697e-6,6.459395172110833e-6,3.133953485847289e-8,2.3229453032569325e-8,4.177807905425125e-8
adjustb/DeBruijn.Lazy.Cornell/adjustb/12,7.905482920647296e-6,7.897828997705378e-6,7.916967976622344e-6,3.174717217142152e-8,2.2425198687117356e-8,4.964532532448026e-8
adjustb/DeBruijn.Lazy.Cornell/adjustb/13,9.3778981029361e-6,9.364894606939874e-6,9.396858459074947e-6,5.2230193585497996e-8,3.723088226502053e-8,7.92458586087533e-8
adjustb/DeBruijn.Lazy.Cornell/adjustb/14,1.107061995145663e-5,1.1056006067228917e-5,1.1100350015101907e-5,6.282871415227055e-8,4.3738391221483194e-8,9.886871141698907e-8
adjustb/DeBruijn.Lazy.Cornell/adjustb/15,1.3033773700594037e-5,1.3021477055794719e-5,1.3052001594128165e-5,5.11312933743838e-8,3.7928299395342067e-8,7.470248596417742e-8
adjustb/DeBruijn.Lazy.Cornell/adjustb/16,1.5151939618046124e-5,1.5135287636111704e-5,1.5194258795976156e-5,8.364930926371258e-8,4.277547497987016e-8,1.5469988121248146e-7
adjustb/DeBruijn.Lazy.Cornell/adjustb/17,1.7374044917236156e-5,1.734492036512143e-5,1.743360646142772e-5,1.379822072835385e-7,7.949514731012026e-8,2.427036286533266e-7
adjustb/DeBruijn.Lazy.Cornell/adjustb/18,1.9874540638347455e-5,1.984492496914515e-5,1.9937208566090064e-5,1.4844879529820298e-7,9.113383444953956e-8,2.588037079851474e-7
adjustb/DeBruijn.Lazy.Cornell/adjustb/19,2.244525637637968e-5,2.2417090875495326e-5,2.248658573536151e-5,1.1005338346903085e-7,8.325440503750142e-8,1.5354974297505953e-7
adjustb/DeBruijn.Lazy.Cornell/adjustb/20,2.547014063425524e-5,2.542515304961475e-5,2.5572976878569327e-5,2.1369168534775147e-7,1.1308095746601905e-7,3.641784505397588e-7
