Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
capt/DeBruijn.Lazy.Cornell/capt/1,6.90968995194367e-8,6.898399977470688e-8,6.926749758013869e-8,4.645153934215314e-10,3.640334690632989e-10,6.811169575616951e-10
capt/DeBruijn.Lazy.Cornell/capt/2,1.0043891793263741e-7,1.0025105503003796e-7,1.0075604495753624e-7,8.280474988945104e-10,5.242683591738762e-10,1.3483773178778616e-9
capt/DeBruijn.Lazy.Cornell/capt/3,1.2155261506650575e-7,1.2139221073282887e-7,1.2178848420763542e-7,6.630881474309037e-10,5.267197082118289e-10,9.210052740376065e-10
capt/DeBruijn.Lazy.Cornell/capt/4,1.6113989360255526e-7,1.6100230619668936e-7,1.6136130669556001e-7,5.890492583229726e-10,4.2730918422736914e-10,9.228566577107224e-10
capt/DeBruijn.Lazy.Cornell/capt/5,1.9069045448177794e-7,1.903655061132868e-7,1.9117057345416016e-7,1.2980259316635938e-9,8.923410902319723e-10,2.132866203066549e-9
capt/DeBruijn.Lazy.Cornell/capt/6,2.2257488870105702e-7,2.2217069358595162e-7,2.23102372721143e-7,1.5685180567701094e-9,1.2057107215664436e-9,2.0175656069321048e-9
capt/DeBruijn.Lazy.Cornell/capt/7,2.496582777967012e-7,2.4921534898498027e-7,2.5166811656310615e-7,2.4925205632611327e-9,7.991490582625117e-10,5.43967503107843e-9
capt/DeBruijn.Lazy.Cornell/capt/8,2.75213978673472e-7,2.7462177377593753e-7,2.7638424533036475e-7,2.6192360026677254e-9,1.773019988830181e-9,4.177872337235442e-9
capt/DeBruijn.Lazy.Cornell/capt/9,2.957264364655833e-7,2.952982609772302e-7,2.9621991947286574e-7,1.6208486728200007e-9,1.3868403165264049e-9,2.1294236397607177e-9
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
capt/DeBruijn.Lazy.Cornell/capt/1,7.117364028658271e-8,7.113602821700744e-8,7.121877392789805e-8,1.3683342041032203e-10,1.0888725873551861e-10,1.6986059170842287e-10
capt/DeBruijn.Lazy.Cornell/capt/2,9.868955809948373e-8,9.854059403399895e-8,9.889156103864988e-8,5.684212576177475e-10,4.2477113359489643e-10,7.872972504767869e-10
capt/DeBruijn.Lazy.Cornell/capt/3,1.2534683480084035e-7,1.2497322785559684e-7,1.2717434914537552e-7,2.219431481691025e-9,5.045873361807995e-10,4.907600977254441e-9
capt/DeBruijn.Lazy.Cornell/capt/4,1.6041288725573456e-7,1.6023010230188762e-7,1.6067498454745002e-7,7.348315389132024e-10,6.065266813373748e-10,9.202274224443583e-10
capt/DeBruijn.Lazy.Cornell/capt/5,2.0592888924790845e-7,2.0489569997337625e-7,2.075796763780618e-7,4.200997743403724e-9,2.975857466309536e-9,5.352197952247191e-9
capt/DeBruijn.Lazy.Cornell/capt/6,2.2446544819005e-7,2.2431419672979472e-7,2.2461506649299467e-7,5.472372551494408e-10,4.3463202744356096e-10,7.096776643840851e-10
capt/DeBruijn.Lazy.Cornell/capt/7,2.535566634940264e-7,2.533954104193524e-7,2.537689444543172e-7,6.207482931827705e-10,4.914880230278896e-10,9.081669582944194e-10
capt/DeBruijn.Lazy.Cornell/capt/8,2.804749530653807e-7,2.8025117730425473e-7,2.8078948106604134e-7,9.436466545013954e-10,5.701066701207286e-10,1.4997903293136182e-9
capt/DeBruijn.Lazy.Cornell/capt/9,3.057104410200738e-7,3.053246714385212e-7,3.069243265843723e-7,2.0678515240193556e-9,7.060355858737454e-10,4.182832111799513e-9
