Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
con/DeBruijn.Lazy.Cornell/con/1,3.776347105883123e-8,3.772166852943966e-8,3.780570978713554e-8,1.4360274947639327e-10,1.1630906612611728e-10,1.9005550322584185e-10
con/DeBruijn.Lazy.Cornell/con/2,6.300745362195831e-8,6.292250381331484e-8,6.311713595957785e-8,3.2712789586275224e-10,2.5002328756886883e-10,4.2210016968391863e-10
con/DeBruijn.Lazy.Cornell/con/3,9.518129107833401e-8,9.500356607131128e-8,9.539752303625941e-8,6.180129025887794e-10,5.166951546671798e-10,7.856139687759575e-10
con/DeBruijn.Lazy.Cornell/con/4,1.142091715430264e-7,1.1399092634838011e-7,1.147083873623298e-7,1.0643477061751591e-9,5.644436446083667e-10,2.1842977556264057e-9
con/DeBruijn.Lazy.Cornell/con/5,1.5307693216234427e-7,1.527451207013007e-7,1.536711293799732e-7,1.4656010306596505e-9,9.569146665393212e-10,2.2014590863500306e-9
con/DeBruijn.Lazy.Cornell/con/6,1.81020676623232e-7,1.8069924789063356e-7,1.8134952076774555e-7,1.135676642162727e-9,9.922709791423702e-10,1.2902064635244098e-9
con/DeBruijn.Lazy.Cornell/con/7,2.1393479586182467e-7,2.13730134906386e-7,2.1422999347545098e-7,8.547773316621025e-10,5.891172054902052e-10,1.2063336731314052e-9
con/DeBruijn.Lazy.Cornell/con/8,2.380685273425147e-7,2.3779252758920392e-7,2.3846488146685693e-7,1.1721982622407231e-9,8.485387984615788e-10,1.7975262099089046e-9
con/DeBruijn.Lazy.Cornell/con/9,2.65465798808852e-7,2.649372894872496e-7,2.6614138489877365e-7,2.1274862816485677e-9,1.7922256127737326e-9,2.61136436206277e-9
con/DeBruijn.Lazy.Cornell/con/10,2.910578631663451e-7,2.9027838082242683e-7,2.924631259557878e-7,3.5782867580903995e-9,2.085289644909692e-9,6.147877833896251e-9
con/DeBruijn.Lazy.Cornell/con/11,3.142221993112206e-7,3.1380231740973403e-7,3.149482412077579e-7,1.8690923003217994e-9,1.0392606729531401e-9,3.2510366952881544e-9
con/DeBruijn.Lazy.Cornell/con/12,3.527899354621531e-7,3.522177305879612e-7,3.536115801329801e-7,2.2998506041316078e-9,1.6780417534828395e-9,3.36462957321099e-9
con/DeBruijn.Lazy.Cornell/con/13,3.7141882494652363e-7,3.7107078263900243e-7,3.71837113591925e-7,1.2512454526666944e-9,8.895535781174248e-10,1.9730884107170295e-9
con/DeBruijn.Lazy.Cornell/con/14,4.0115915232119084e-7,4.0059053266764126e-7,4.019087478337623e-7,2.205494361270039e-9,1.7949433523109677e-9,2.7772627190861206e-9
con/DeBruijn.Lazy.Cornell/con/15,4.275722986506499e-7,4.266967737714182e-7,4.286572395353786e-7,3.3678595601127245e-9,2.597048647243389e-9,4.5234924919493795e-9
con/DeBruijn.Lazy.Cornell/con/16,4.5412221648973617e-7,4.521109832500977e-7,4.6004448493038517e-7,9.842186379462597e-9,4.709889262468741e-9,1.9823493113295683e-8
con/DeBruijn.Lazy.Cornell/con/17,4.836540662227815e-7,4.817207860146018e-7,4.88870262872614e-7,1.0511406847864748e-8,4.498002310550795e-9,2.035344794024699e-8
con/DeBruijn.Lazy.Cornell/con/18,5.108796712403022e-7,5.099516390197218e-7,5.120979148896662e-7,3.60412528438602e-9,2.670155307229997e-9,4.89594624989978e-9
con/DeBruijn.Lazy.Cornell/con/19,5.351333213865054e-7,5.345692958386073e-7,5.356549114630742e-7,1.7836798611895848e-9,1.4476008694998264e-9,2.198979954053513e-9
con/DeBruijn.Lazy.Cornell/con/20,5.633453788297051e-7,5.623054870196498e-7,5.646154952684617e-7,4.0438399662413124e-9,3.307274951094029e-9,4.98860887612583e-9
