Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/DeBruijn.Lazy.Cornell/ids/1,3.9014064652891125e-8,3.8963323843196725e-8,3.907722549828025e-8,1.8680918988470613e-10,1.468952480136189e-10,2.500684040629402e-10
ids/DeBruijn.Lazy.Cornell/ids/2,6.194599243768155e-8,6.188321387943187e-8,6.211807172260377e-8,3.142403610613856e-10,1.768448348970422e-10,5.803075110141962e-10
ids/DeBruijn.Lazy.Cornell/ids/3,8.551303803122204e-8,8.537170623477785e-8,8.578711165297139e-8,6.312764762053356e-10,3.778412425780401e-10,1.0591813429390784e-9
ids/DeBruijn.Lazy.Cornell/ids/4,1.1766579072396806e-7,1.1742818210497301e-7,1.1815451993293332e-7,1.052232279741067e-9,6.0110834163162e-10,1.834471368607483e-9
ids/DeBruijn.Lazy.Cornell/ids/5,1.362355522538073e-7,1.3613109406696795e-7,1.3637753637278245e-7,3.9184193559583143e-10,2.9637244106852663e-10,6.203557094415288e-10
ids/DeBruijn.Lazy.Cornell/ids/6,1.5932698916781938e-7,1.5913074695893844e-7,1.5966799569493654e-7,8.753735729909042e-10,6.025617207899267e-10,1.2607812896508583e-9
ids/DeBruijn.Lazy.Cornell/ids/7,1.8175634862900674e-7,1.8151639495355832e-7,1.8214408502322264e-7,9.553600834985075e-10,6.480763457320507e-10,1.4016718012162387e-9
ids/DeBruijn.Lazy.Cornell/ids/8,2.0569051507108724e-7,2.0551581195283435e-7,2.05950933828689e-7,7.206977745458506e-10,5.035702456450084e-10,1.18603304226539e-9
ids/DeBruijn.Lazy.Cornell/ids/9,2.2727137982317737e-7,2.2694748360547125e-7,2.2785314024585383e-7,1.3916961285462075e-9,1.0013024059721853e-9,2.1669897488002003e-9
ids/DeBruijn.Lazy.Cornell/ids/10,2.491016582671463e-7,2.482399300687625e-7,2.503222694296044e-7,3.336109785968216e-9,2.13955863836901e-9,4.656066590191552e-9
