Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/DeBruijn.Lazy.Kit/adjust/1,2.3529933579057076e-8,2.3496461716134073e-8,2.357929940507145e-8,1.3507180630208093e-10,9.957659590179553e-11,1.8750672434327362e-10
adjust/DeBruijn.Lazy.Kit/adjust/2,1.0447162194874424e-7,1.0422965780757271e-7,1.0468960070575558e-7,7.703449860433694e-10,6.758413254376782e-10,9.131705484866399e-10
adjust/DeBruijn.Lazy.Kit/adjust/3,2.9705372008004035e-7,2.9543878702276443e-7,2.987872349194127e-7,5.538363943614061e-9,5.091256076361914e-9,6.291674231768701e-9
adjust/DeBruijn.Lazy.Kit/adjust/4,6.468380805857949e-7,6.459985619330717e-7,6.479253206164379e-7,3.166419833401371e-9,2.5202457949304302e-9,4.066529692518635e-9
adjust/DeBruijn.Lazy.Kit/adjust/5,1.189142349786121e-6,1.1868063034728336e-6,1.1919633661699117e-6,8.474474789187351e-9,7.3720755375914296e-9,9.805883489692323e-9
adjust/DeBruijn.Lazy.Kit/adjust/6,1.989372022845558e-6,1.9816637914411984e-6,2.021692684210273e-6,4.52677775446994e-8,1.2269773400616197e-8,1.006245707657807e-7
adjust/DeBruijn.Lazy.Kit/adjust/7,3.063388092244583e-6,3.0566692296256414e-6,3.0739428444752265e-6,2.934526983890565e-8,1.9957422381164363e-8,4.168904368935819e-8
adjust/DeBruijn.Lazy.Kit/adjust/8,4.6931316875052216e-6,4.684258094274797e-6,4.703990186711616e-6,3.2915150180323966e-8,2.6568535061132153e-8,4.2080623697008206e-8
adjust/DeBruijn.Lazy.Kit/adjust/9,6.614050921518028e-6,6.607641309045766e-6,6.626296746649076e-6,2.8138263792481605e-8,1.6106658123726927e-8,4.758268796543589e-8
adjust/DeBruijn.Lazy.Kit/adjust/10,9.169227685567025e-6,9.154408371113593e-6,9.190279303948342e-6,5.811638795978237e-8,4.408794003029886e-8,8.132419876027393e-8
adjust/DeBruijn.Lazy.Kit/adjust/11,1.2222783276256219e-5,1.22032415945499e-5,1.2247278499287794e-5,7.599144389519327e-8,6.235297380243286e-8,9.333456054469616e-8
adjust/DeBruijn.Lazy.Kit/adjust/12,1.589961969798222e-5,1.581384711044258e-5,1.610307261514517e-5,4.293745217867127e-7,1.8708597402983554e-7,8.710026758133863e-7
adjust/DeBruijn.Lazy.Kit/adjust/13,1.9833652054170025e-5,1.9805691376710454e-5,1.9891734378707144e-5,1.2852288066932102e-7,7.517699935284753e-8,2.406634600733558e-7
adjust/DeBruijn.Lazy.Kit/adjust/14,2.5037107612935833e-5,2.498829269275683e-5,2.5086842629112014e-5,1.6413782658666282e-7,1.361621196499708e-7,1.9519910718207483e-7
adjust/DeBruijn.Lazy.Kit/adjust/15,3.083394838544329e-5,3.078503810802032e-5,3.0917429187870555e-5,2.1142897961714856e-7,1.3539210929439474e-7,3.5935509954345556e-7
adjust/DeBruijn.Lazy.Kit/adjust/16,3.7631093953289734e-5,3.7567272168716886e-5,3.771310528830873e-5,2.5970217178091855e-7,2.0885622510170584e-7,3.253414173223394e-7
adjust/DeBruijn.Lazy.Kit/adjust/17,4.5066436613480076e-5,4.4980889574327666e-5,4.517792484749227e-5,3.198558495450288e-7,2.540944053350841e-7,4.310561225473955e-7
adjust/DeBruijn.Lazy.Kit/adjust/18,5.3112236054458785e-5,5.30099922616925e-5,5.324255166791062e-5,4.0201310436828365e-7,3.2769023947789886e-7,4.905674739195793e-7
adjust/DeBruijn.Lazy.Kit/adjust/19,6.238271700343258e-5,6.226183527837958e-5,6.254104462913768e-5,4.5553918964247686e-7,3.254564058149239e-7,6.440245900505689e-7
adjust/DeBruijn.Lazy.Kit/adjust/20,7.424842263491717e-5,7.406092359193808e-5,7.4473476731842e-5,6.550581751505687e-7,4.963212982410117e-7,8.903602755967895e-7
