Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjustb/DeBruijn.Lazy.Kit/adjustb/1,4.4567306183909934e-8,4.4488956224820975e-8,4.471939620488273e-8,3.27641920801832e-10,2.0600292963167913e-10,5.841657130901262e-10
adjustb/DeBruijn.Lazy.Kit/adjustb/2,1.78527163417024e-7,1.7827066239408135e-7,1.7882712287052385e-7,9.592098260045436e-10,7.728769667477044e-10,1.303149891331852e-9
adjustb/DeBruijn.Lazy.Kit/adjustb/3,4.5183632892704873e-7,4.5092268226275116e-7,4.557409442861863e-7,5.230264141593447e-9,1.0834386651357762e-9,1.1761546914122886e-8
adjustb/DeBruijn.Lazy.Kit/adjustb/4,8.966650822460571e-7,8.951882313675974e-7,8.989436440588338e-7,5.966048708857128e-9,4.030519724074807e-9,9.702438655490742e-9
adjustb/DeBruijn.Lazy.Kit/adjustb/5,1.6644392368198033e-6,1.6607637273419267e-6,1.6717961647258362e-6,1.722866979525865e-8,1.022679143247199e-8,3.260988450779705e-8
adjustb/DeBruijn.Lazy.Kit/adjustb/6,2.8009606702010126e-6,2.79482512287276e-6,2.8116320440847377e-6,2.6748194857539016e-8,1.736051160062768e-8,4.346717399811362e-8
adjustb/DeBruijn.Lazy.Kit/adjustb/7,4.406005860675318e-6,4.396796781726539e-6,4.421867893250687e-6,3.9052192751609524e-8,2.4748659782163924e-8,6.48392417870196e-8
adjustb/DeBruijn.Lazy.Kit/adjustb/8,6.441556686426079e-6,6.428572800398e-6,6.461521430617662e-6,5.3998117606940306e-8,3.5667509786835697e-8,7.541576853797095e-8
adjustb/DeBruijn.Lazy.Kit/adjustb/9,9.092914754886341e-6,9.069979172376963e-6,9.156037607164096e-6,1.2006646363497592e-7,5.563681344418972e-8,2.312198482881053e-7
adjustb/DeBruijn.Lazy.Kit/adjustb/10,1.2501689824563844e-5,1.2478774351133023e-5,1.2530417467885221e-5,8.548787854653553e-8,6.61714186938172e-8,1.1824746264916973e-7
adjustb/DeBruijn.Lazy.Kit/adjustb/11,1.6302578164485398e-5,1.6284056224487487e-5,1.6327902283245516e-5,7.145372539796598e-8,5.626410551243364e-8,1.0212214677542022e-7
adjustb/DeBruijn.Lazy.Kit/adjustb/12,2.1272450185909163e-5,2.123509551850143e-5,2.133292918857478e-5,1.5875355619669317e-7,1.1016561026648371e-7,2.524806581216775e-7
adjustb/DeBruijn.Lazy.Kit/adjustb/13,2.692026456768201e-5,2.6880128725129243e-5,2.698700477313976e-5,1.7534665524166515e-7,1.1180945009706872e-7,2.8750666296271406e-7
adjustb/DeBruijn.Lazy.Kit/adjustb/14,3.330811033181446e-5,3.32562336676804e-5,3.3375550542526753e-5,1.9968626145127496e-7,1.5011165053626632e-7,2.6340981341304647e-7
adjustb/DeBruijn.Lazy.Kit/adjustb/15,4.109361841720866e-5,4.102207152714725e-5,4.122101635937963e-5,3.1188101855362274e-7,2.110435088923228e-7,4.7077699091916794e-7
adjustb/DeBruijn.Lazy.Kit/adjustb/16,4.958184545829094e-5,4.952756610599988e-5,4.9668296775227094e-5,2.1927602713466313e-7,1.5218062328876993e-7,3.273692280454173e-7
adjustb/DeBruijn.Lazy.Kit/adjustb/17,5.998919954318082e-5,5.9870807751859446e-5,6.014873726088327e-5,4.4168380368329296e-7,3.3879620430112126e-7,6.728657627718296e-7
adjustb/DeBruijn.Lazy.Kit/adjustb/18,7.07164857742449e-5,7.062419019734604e-5,7.092674676192274e-5,4.144366871698893e-7,2.4923873420849503e-7,6.879253358834578e-7
adjustb/DeBruijn.Lazy.Kit/adjustb/19,8.320445084172005e-5,8.300442765656196e-5,8.350297012149716e-5,8.094957823865534e-7,5.916082248180618e-7,1.2456460607113196e-6
adjustb/DeBruijn.Lazy.Kit/adjustb/20,9.769350707972848e-5,9.746901544650026e-5,9.794036484396533e-5,7.938679279763996e-7,6.150914851355014e-7,1.0210814996135227e-6
