Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
capt/DeBruijn.Lazy.Kit/capt/1,5.445850608818971e-8,5.439165668943503e-8,5.457087908305422e-8,2.918227494421734e-10,1.8170839227957964e-10,4.90345358720909e-10
capt/DeBruijn.Lazy.Kit/capt/2,7.950418720212893e-8,7.941627723102964e-8,7.966203628803655e-8,3.6243862258739867e-10,2.227403577488375e-10,6.511809987282832e-10
capt/DeBruijn.Lazy.Kit/capt/3,1.0493636412758065e-7,1.0475212553253619e-7,1.0520870189522955e-7,7.695661005707452e-10,5.423164594692715e-10,1.1453130358644143e-9
capt/DeBruijn.Lazy.Kit/capt/4,1.2972479790840333e-7,1.2927711437693947e-7,1.309341443809642e-7,2.3613980447151223e-9,1.0868205817293806e-9,4.459665611831213e-9
capt/DeBruijn.Lazy.Kit/capt/5,1.5451294611413803e-7,1.5435063445459663e-7,1.5480574577053025e-7,7.331548705041842e-10,4.777834328340494e-10,1.2286215358882964e-9
capt/DeBruijn.Lazy.Kit/capt/6,1.8793546758155103e-7,1.8596036919153283e-7,1.9083688342479515e-7,7.706453269441882e-9,6.205924526628575e-9,1.1513384036537273e-8
capt/DeBruijn.Lazy.Kit/capt/7,2.3590245817629893e-7,2.3474388027453313e-7,2.374471145806291e-7,4.283351755094625e-9,3.302782903861456e-9,5.580848109098163e-9
capt/DeBruijn.Lazy.Kit/capt/8,2.5767745419253275e-7,2.5631779509966105e-7,2.5963129249869047e-7,5.516874914994165e-9,4.490926542648826e-9,7.106193775371124e-9
capt/DeBruijn.Lazy.Kit/capt/9,2.994148214147426e-7,2.98715244690217e-7,3.0022245121112934e-7,2.5216583606372123e-9,2.042598857976508e-9,3.0907925041585354e-9
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
capt/DeBruijn.Lazy.Kit/capt/1,5.793590456865684e-8,5.782803759758911e-8,5.812155043564545e-8,4.685654164156393e-10,2.670619794492314e-10,7.21967159454038e-10
capt/DeBruijn.Lazy.Kit/capt/2,8.398727603556264e-8,8.387124953832873e-8,8.414475706623301e-8,4.503485653285758e-10,3.370924193817796e-10,6.268415059068196e-10
capt/DeBruijn.Lazy.Kit/capt/3,1.103337223040917e-7,1.1021231590385079e-7,1.1048466915132948e-7,4.425350814585675e-10,3.378603874254693e-10,5.83854424333315e-10
capt/DeBruijn.Lazy.Kit/capt/4,1.4474498003496726e-7,1.446016528282874e-7,1.4487570526099763e-7,4.5780290738751397e-10,3.4303997729243075e-10,6.158075731297015e-10
capt/DeBruijn.Lazy.Kit/capt/5,1.635206362804788e-7,1.6332917026704882e-7,1.6381496503901573e-7,7.540888608091148e-10,5.300370021224823e-10,1.1622708904395578e-9
capt/DeBruijn.Lazy.Kit/capt/6,1.9109693206426126e-7,1.9088522286503877e-7,1.9150037355284455e-7,9.26943289730138e-10,5.056591070588178e-10,1.5004134403258976e-9
capt/DeBruijn.Lazy.Kit/capt/7,2.3024698972827186e-7,2.301282027106627e-7,2.3040392765695116e-7,4.342520721603845e-10,3.131286356927615e-10,6.425604932375306e-10
capt/DeBruijn.Lazy.Kit/capt/8,2.547358577897183e-7,2.5436179953196467e-7,2.5516322875567703e-7,1.354451616912648e-9,1.1337098806289322e-9,1.805988803955691e-9
capt/DeBruijn.Lazy.Kit/capt/9,3.080808031975405e-7,3.0788924321933176e-7,3.0842883376769044e-7,7.753865473253894e-10,5.467409793583113e-10,1.2336645196549213e-9
