Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/DeBruijn.Lazy.Kit/ids/1,2.3700729247958954e-8,2.359201655596662e-8,2.4021540805105257e-8,5.653017067014043e-10,2.1825484212789746e-10,1.1116146747739864e-9
ids/DeBruijn.Lazy.Kit/ids/2,3.083802069823964e-8,3.078843052453272e-8,3.0911534072096516e-8,1.8723486492634367e-10,1.3380147796245513e-10,2.669483224783586e-10
ids/DeBruijn.Lazy.Kit/ids/3,3.766859807983315e-8,3.753731403230642e-8,3.837084600665452e-8,7.651626380364333e-10,1.3102257080988602e-10,1.841321942206581e-9
ids/DeBruijn.Lazy.Kit/ids/4,4.5991621821123276e-8,4.586606266464813e-8,4.6317627481971423e-8,6.055320846258037e-10,2.6327405622661546e-10,1.163971608766998e-9
ids/DeBruijn.Lazy.Kit/ids/5,6.230451748841474e-8,6.217816998987437e-8,6.25365067648102e-8,5.553108887114135e-10,3.4616846825142586e-10,9.638269462214005e-10
ids/DeBruijn.Lazy.Kit/ids/6,7.027625548199512e-8,7.017041834903411e-8,7.049133059615477e-8,5.150583125541915e-10,2.2010318699525773e-10,8.434554706562577e-10
ids/DeBruijn.Lazy.Kit/ids/7,7.284471368881903e-8,7.27378901713901e-8,7.298202751360613e-8,4.084568653662363e-10,3.110307545645672e-10,5.365585765589563e-10
ids/DeBruijn.Lazy.Kit/ids/8,7.991503293590204e-8,7.978908998671051e-8,8.008606220224813e-8,4.843806282855806e-10,3.50681231553448e-10,7.517500425632e-10
ids/DeBruijn.Lazy.Kit/ids/9,8.659774604102751e-8,8.653072509413517e-8,8.666202765333792e-8,2.2904807721120335e-10,1.8220056796364062e-10,2.97351759614968e-10
ids/DeBruijn.Lazy.Kit/ids/10,9.360898055886478e-8,9.348946180640026e-8,9.376617730898731e-8,4.5368171512089846e-10,3.524874830382842e-10,5.65557638418157e-10
