Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/DeBruijn.Lazy.Lennart/adjust/1,2.665317037717638e-8,2.6580297330787038e-8,2.6778123004328983e-8,3.1869834757941345e-10,1.7798451110231753e-10,4.989526166271937e-10
adjust/DeBruijn.Lazy.Lennart/adjust/2,1.2175705485254942e-7,1.2152600230878648e-7,1.221944481239035e-7,9.895612532877501e-10,6.423392267194275e-10,1.5901985336284284e-9
adjust/DeBruijn.Lazy.Lennart/adjust/3,2.6875820125672226e-7,2.6812685057210915e-7,2.7000106867623163e-7,2.929605381281039e-9,1.7408158473212522e-9,4.907219231789717e-9
adjust/DeBruijn.Lazy.Lennart/adjust/4,4.810942170040869e-7,4.804490069271126e-7,4.827050053777198e-7,3.2671900119800537e-9,1.4573823160552747e-9,5.687244497757694e-9
adjust/DeBruijn.Lazy.Lennart/adjust/5,7.587994653691974e-7,7.574574303058489e-7,7.606562769830789e-7,5.366628875870829e-9,3.5106985355542367e-9,7.820206129076278e-9
adjust/DeBruijn.Lazy.Lennart/adjust/6,1.0933461196927388e-6,1.092065207565446e-6,1.095489712044064e-6,5.459888994489206e-9,4.247941241146713e-9,7.404393466235921e-9
adjust/DeBruijn.Lazy.Lennart/adjust/7,1.520023021363903e-6,1.5179777662247688e-6,1.5223335401420863e-6,7.286584270225587e-9,5.920571476438253e-9,8.827747129653628e-9
adjust/DeBruijn.Lazy.Lennart/adjust/8,2.0243997030340405e-6,2.020679373376718e-6,2.030276003332143e-6,1.4619565375887131e-8,1.033588812969187e-8,2.1816779605535068e-8
adjust/DeBruijn.Lazy.Lennart/adjust/9,2.6823211975250718e-6,2.672416281939778e-6,2.7017581662771752e-6,4.498405683719526e-8,1.9572256674588124e-8,8.442679942960245e-8
adjust/DeBruijn.Lazy.Lennart/adjust/10,3.465171399525658e-6,3.4601144566252213e-6,3.4730943682237176e-6,2.1326259024453512e-8,1.5431212337425983e-8,2.8586778745027865e-8
adjust/DeBruijn.Lazy.Lennart/adjust/11,4.3485341607402765e-6,4.342821478113559e-6,4.356388748460482e-6,2.2333806760367098e-8,1.6398301053108548e-8,3.061939366715544e-8
