Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjustb/DeBruijn.Lazy.Lennart/adjustb/1,5.850874386237525e-8,5.8398566983106566e-8,5.870037543825239e-8,4.6320024165126974e-10,3.2032446833424916e-10,6.728779655697995e-10
adjustb/DeBruijn.Lazy.Lennart/adjustb/2,1.8467592405554196e-7,1.844115300176226e-7,1.850644506099028e-7,1.0479226875362661e-9,8.315493153863767e-10,1.4020166067932192e-9
adjustb/DeBruijn.Lazy.Lennart/adjustb/3,3.6387694671456566e-7,3.6319793035859116e-7,3.6487165347337863e-7,2.8488319571098545e-9,2.2730931540812713e-9,3.68181516730474e-9
adjustb/DeBruijn.Lazy.Lennart/adjustb/4,5.815167057925253e-7,5.807389034524808e-7,5.830703909674865e-7,3.48190540307612e-9,2.275193671147255e-9,5.781106893218337e-9
adjustb/DeBruijn.Lazy.Lennart/adjustb/5,8.762211106817681e-7,8.74386547251182e-7,8.799442461458477e-7,8.167385290246063e-9,4.911338769032528e-9,1.5187194503483496e-8
adjustb/DeBruijn.Lazy.Lennart/adjustb/6,1.230139048584443e-6,1.2261494221394618e-6,1.2422391220445035e-6,2.1656321879837212e-8,5.755062703579365e-9,4.305035631128816e-8
adjustb/DeBruijn.Lazy.Lennart/adjustb/7,1.6568793543139367e-6,1.6535435394287473e-6,1.6627529504822588e-6,1.4951355236885052e-8,1.0227656769521575e-8,2.2310284653260767e-8
adjustb/DeBruijn.Lazy.Lennart/adjustb/8,2.174655055051559e-6,2.1711521665602627e-6,2.1821689909751763e-6,1.636456782847998e-8,9.985738601438848e-9,2.6083614520062808e-8
adjustb/DeBruijn.Lazy.Lennart/adjustb/9,2.7711937930461833e-6,2.7672402033912998e-6,2.7767527997431666e-6,1.6160020028420543e-8,1.0872266624930453e-8,2.6059778625797277e-8
adjustb/DeBruijn.Lazy.Lennart/adjustb/10,3.5905983412462196e-6,3.5859395948134016e-6,3.601158590782753e-6,2.1052893467009222e-8,1.3369746183734246e-8,3.853480996369408e-8
adjustb/DeBruijn.Lazy.Lennart/adjustb/11,4.509332359468154e-6,4.49579879140788e-6,4.531481681532922e-6,5.6505203169232376e-8,4.278736528408156e-8,8.23622592614436e-8
adjustb/DeBruijn.Lazy.Lennart/adjustb/12,5.461526842902092e-6,5.446737969180621e-6,5.491359886714198e-6,6.649464842029901e-8,3.425731340729214e-8,1.0566295189900565e-7
adjustb/DeBruijn.Lazy.Lennart/adjustb/13,6.682813029952027e-6,6.6753805560630276e-6,6.694499109961076e-6,3.250478740458912e-8,2.0538765193556793e-8,4.9190723494377286e-8
adjustb/DeBruijn.Lazy.Lennart/adjustb/14,7.953821493408216e-6,7.934562424447728e-6,7.97667556571067e-6,7.164721863260055e-8,5.377391244940682e-8,1.044286155458676e-7
adjustb/DeBruijn.Lazy.Lennart/adjustb/15,9.289870525942405e-6,9.279284915093753e-6,9.30234974049227e-6,3.651821052423864e-8,2.6977145147118083e-8,5.700796085302577e-8
adjustb/DeBruijn.Lazy.Lennart/adjustb/16,1.0930119930686835e-5,1.0904314883107228e-5,1.0962851022236935e-5,9.537023082708102e-8,7.326021334296537e-8,1.2347044471599235e-7
adjustb/DeBruijn.Lazy.Lennart/adjustb/17,1.257249857241562e-5,1.2550929150932602e-5,1.260677282315181e-5,8.889436501128636e-8,6.112201167855039e-8,1.3721692031333885e-7
adjustb/DeBruijn.Lazy.Lennart/adjustb/18,1.4646074398796231e-5,1.4547628213258198e-5,1.4843838280850578e-5,4.420921741882218e-7,2.6670735581473084e-7,7.823170698455261e-7
adjustb/DeBruijn.Lazy.Lennart/adjustb/19,1.6385188642914237e-5,1.6357758770521785e-5,1.6430405155466702e-5,1.1752312487502569e-7,8.207275340586065e-8,1.865473447061907e-7
adjustb/DeBruijn.Lazy.Lennart/adjustb/20,1.8827066908684296e-5,1.878759595300665e-5,1.888306281883197e-5,1.51115901294435e-7,1.1495364738400738e-7,2.0200418965093178e-7
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjustb/DeBruijn.Lazy.Lennart/adjustb/1,6.090780709747414e-8,6.069336306796597e-8,6.111693753739391e-8,7.211013035250419e-10,6.037898351440356e-10,8.666672063247228e-10
adjustb/DeBruijn.Lazy.Lennart/adjustb/2,2.1099101940113898e-7,2.0946546839263578e-7,2.1249020739111937e-7,5.175012405661286e-9,4.324848119055193e-9,6.368860867861844e-9
adjustb/DeBruijn.Lazy.Lennart/adjustb/3,4.018837021718577e-7,3.992981241814515e-7,4.0440204324278224e-7,8.927362879513169e-9,7.547567378300828e-9,1.1134277788801837e-8
adjustb/DeBruijn.Lazy.Lennart/adjustb/4,6.632738841864824e-7,6.567005461043887e-7,6.702459963398428e-7,2.367573736704467e-8,2.0087035928382813e-8,2.8385177963296123e-8
adjustb/DeBruijn.Lazy.Lennart/adjustb/5,9.963957241594885e-7,9.816746537603767e-7,1.0091792770319964e-6,4.495384004618089e-8,3.7180863574095645e-8,5.972872760815927e-8
adjustb/DeBruijn.Lazy.Lennart/adjustb/6,1.5031613246859874e-6,1.4900215702848295e-6,1.5167171207843814e-6,4.4686658004996844e-8,3.6975877766757646e-8,5.558329310492473e-8
adjustb/DeBruijn.Lazy.Lennart/adjustb/7,1.9185381508611132e-6,1.901905219830345e-6,1.9399835460495322e-6,6.3055537880387e-8,5.182462562139457e-8,7.824897119164029e-8
adjustb/DeBruijn.Lazy.Lennart/adjustb/8,2.598194676305342e-6,2.562286600660763e-6,2.640121759036385e-6,1.2552060335653466e-7,1.0120769691067087e-7,1.6168980718853635e-7
adjustb/DeBruijn.Lazy.Lennart/adjustb/9,3.3163283508001645e-6,3.2673403452500744e-6,3.3677194500957465e-6,1.6525980997993534e-7,1.3919642803073797e-7,1.9824746016304944e-7
adjustb/DeBruijn.Lazy.Lennart/adjustb/10,3.736287042226039e-6,3.7202817670980574e-6,3.794826854591004e-6,8.580924511254475e-8,4.286742453697431e-8,1.7401314146751845e-7
adjustb/DeBruijn.Lazy.Lennart/adjustb/11,5.286791907996701e-6,5.2044789576555574e-6,5.366956054042618e-6,2.7844565146080287e-7,2.492160325607831e-7,3.134281795829611e-7
adjustb/DeBruijn.Lazy.Lennart/adjustb/12,6.731815117695183e-6,6.656331132705046e-6,6.80124019799835e-6,2.4519547685228476e-7,2.0600718118267075e-7,2.930946363077006e-7
adjustb/DeBruijn.Lazy.Lennart/adjustb/13,7.66864593160801e-6,7.592269369557193e-6,7.725657812742682e-6,2.2105461455065286e-7,1.6694107222311233e-7,3.062758296316277e-7
adjustb/DeBruijn.Lazy.Lennart/adjustb/14,9.492013445333664e-6,9.407399361849607e-6,9.573475820190364e-6,2.7436844063270703e-7,2.3173038402959455e-7,3.3288138234959303e-7
adjustb/DeBruijn.Lazy.Lennart/adjustb/15,1.080780318174523e-5,1.0708507375624468e-5,1.0926473540631956e-5,3.610491298899576e-7,3.080514466301526e-7,4.3425168231390165e-7
adjustb/DeBruijn.Lazy.Lennart/adjustb/16,1.2615959801573137e-5,1.2471180730851439e-5,1.276335679100213e-5,4.943000147358567e-7,4.179436470477806e-7,6.230233095958449e-7
adjustb/DeBruijn.Lazy.Lennart/adjustb/17,1.496957746549858e-5,1.486358597015553e-5,1.5074691843962382e-5,3.626139217690888e-7,3.0272389640520897e-7,4.582512724703824e-7
adjustb/DeBruijn.Lazy.Lennart/adjustb/18,1.7060186866188585e-5,1.682090634257962e-5,1.7246139280021863e-5,6.733104023486679e-7,4.862650161872331e-7,9.282708010899539e-7
adjustb/DeBruijn.Lazy.Lennart/adjustb/19,1.726462211007566e-5,1.7240442762831428e-5,1.7315065204018284e-5,1.1633429889692921e-7,5.0753891844932935e-8,1.8715672159203953e-7
adjustb/DeBruijn.Lazy.Lennart/adjustb/20,1.979720358210265e-5,1.9769927068461718e-5,1.9851082880735204e-5,1.2576571737374264e-7,6.97775991934105e-8,2.1269352562680706e-7
