Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
con/DeBruijn.Lazy.Lennart/con/1,3.094612193658659e-8,3.071719745967185e-8,3.1681085268719166e-8,1.2874408707097832e-9,4.1797429389776783e-10,2.596095220904819e-9
con/DeBruijn.Lazy.Lennart/con/2,4.297912907084729e-8,4.2920279763728464e-8,4.306417799424868e-8,2.368651405515518e-10,1.7690645506986816e-10,3.239465987887258e-10
con/DeBruijn.Lazy.Lennart/con/3,5.519506634321539e-8,5.511547325535761e-8,5.5298142937255623e-8,2.988504053562351e-10,2.3129113452617096e-10,3.8885405952735034e-10
con/DeBruijn.Lazy.Lennart/con/4,6.686831380299676e-8,6.681835331878512e-8,6.692558449689293e-8,1.8390746072576764e-10,1.2978374366185475e-10,2.755529868840118e-10
con/DeBruijn.Lazy.Lennart/con/5,7.910597677651826e-8,7.898053367881918e-8,7.927660875600679e-8,4.847929899499489e-10,3.7463090793743703e-10,6.410742445910732e-10
con/DeBruijn.Lazy.Lennart/con/6,9.10668692160261e-8,9.08914690342488e-8,9.175960786208096e-8,9.572256993965797e-10,3.45272846607203e-10,2.056958163532896e-9
con/DeBruijn.Lazy.Lennart/con/7,1.0392100141587402e-7,1.0374512362422903e-7,1.0416992873454899e-7,7.295926218576763e-10,5.073254184148452e-10,1.0362110294091496e-9
con/DeBruijn.Lazy.Lennart/con/8,1.2166954954075577e-7,1.2129889330385556e-7,1.2214806088932816e-7,1.457212544702755e-9,1.0411016960410342e-9,2.3761083399089092e-9
con/DeBruijn.Lazy.Lennart/con/9,1.33218264024439e-7,1.3303599475780288e-7,1.3348128193000622e-7,7.32810445492458e-10,5.42506404689536e-10,1.1114482703587622e-9
con/DeBruijn.Lazy.Lennart/con/10,1.4482416419300007e-7,1.4463494519281023e-7,1.4504562138998963e-7,6.987449799895659e-10,5.085600764494725e-10,9.105536450449248e-10
con/DeBruijn.Lazy.Lennart/con/11,1.588962368426978e-7,1.5856807831578e-7,1.5929467413953714e-7,1.2623459860873408e-9,9.991999694191748e-10,1.682131234173188e-9
con/DeBruijn.Lazy.Lennart/con/12,1.7727757093612433e-7,1.767766945372361e-7,1.787426031061727e-7,2.646509346105542e-9,1.049861802770877e-9,5.344562808269821e-9
con/DeBruijn.Lazy.Lennart/con/13,1.8811102323233747e-7,1.878727120635364e-7,1.8890973537082193e-7,1.3832838804354394e-9,4.101590470738131e-10,2.82590023574179e-9
con/DeBruijn.Lazy.Lennart/con/14,2.000708984842971e-7,1.9962577172650972e-7,2.0071469405524747e-7,1.802377787636539e-9,1.2809106535650803e-9,2.394524549856976e-9
con/DeBruijn.Lazy.Lennart/con/15,2.1249102392288242e-7,2.1214257864588115e-7,2.1291216571004203e-7,1.25786367638249e-9,9.862756508658406e-10,1.5958864824921812e-9
con/DeBruijn.Lazy.Lennart/con/16,2.2494868798712313e-7,2.2470784354141588e-7,2.252912396430622e-7,9.624177188884656e-10,7.005696114736362e-10,1.2628584115348176e-9
con/DeBruijn.Lazy.Lennart/con/17,2.4495964539191264e-7,2.4441486234014044e-7,2.457313357866798e-7,2.2135201664968965e-9,1.6621055745738243e-9,2.9961631863457556e-9
con/DeBruijn.Lazy.Lennart/con/18,2.5820689008286256e-7,2.574049840204307e-7,2.601304655488566e-7,3.9759336821630105e-9,2.279084214363864e-9,6.725581551230759e-9
con/DeBruijn.Lazy.Lennart/con/19,2.6538087417842617e-7,2.6517222415591876e-7,2.656547052909366e-7,7.90960908033349e-10,6.355803143488262e-10,9.62260542952635e-10
con/DeBruijn.Lazy.Lennart/con/20,2.806021013112041e-7,2.801547044480135e-7,2.8107665507745996e-7,1.5389145501881123e-9,1.2322668864836897e-9,1.950653496264471e-9
