Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjustb/DeBruijn.Lazy.Lift/adjustb/1,4.352454707193571e-8,4.342437900312861e-8,4.367746792865228e-8,4.2319820587845223e-10,2.8121257442606616e-10,6.271200148509127e-10
adjustb/DeBruijn.Lazy.Lift/adjustb/2,1.5395827079194267e-7,1.537953562009776e-7,1.5430747241202004e-7,7.463559138492094e-10,4.6440316541165114e-10,1.3975561122342172e-9
adjustb/DeBruijn.Lazy.Lift/adjustb/3,3.498193072573641e-7,3.4892016623726e-7,3.512253134393373e-7,3.8906890844741475e-9,2.5311636100936405e-9,5.5121342417733825e-9
adjustb/DeBruijn.Lazy.Lift/adjustb/4,5.677717797054135e-7,5.655636223237467e-7,5.725855295213867e-7,1.0573121093861084e-8,4.5524018026593764e-9,1.7274614931117802e-8
adjustb/DeBruijn.Lazy.Lift/adjustb/5,8.722657645191996e-7,8.713704409976655e-7,8.739580711973925e-7,4.123557846814697e-9,2.3891041368305013e-9,6.811230948377327e-9
adjustb/DeBruijn.Lazy.Lift/adjustb/6,1.2610587684739238e-6,1.2595201581093789e-6,1.2626554381311568e-6,5.420040845432966e-9,4.469230143017821e-9,6.671840880270442e-9
adjustb/DeBruijn.Lazy.Lift/adjustb/7,1.7198720715664159e-6,1.7178772302613678e-6,1.7229771663841498e-6,8.151879301229528e-9,6.375135218665283e-9,1.0480814945845397e-8
adjustb/DeBruijn.Lazy.Lift/adjustb/8,2.2741510656427134e-6,2.271533221949951e-6,2.278825009534801e-6,1.1319845829277413e-8,7.765094670203951e-9,1.5628056175860707e-8
adjustb/DeBruijn.Lazy.Lift/adjustb/9,2.9400693506837936e-6,2.9333154161270875e-6,2.949229847896906e-6,2.6811374483452926e-8,2.1237535815509543e-8,3.5627338656581064e-8
adjustb/DeBruijn.Lazy.Lift/adjustb/10,3.7505718537361208e-6,3.741262164590798e-6,3.7660659161655474e-6,3.891559728564704e-8,2.4162099382506814e-8,6.479773833661165e-8
adjustb/DeBruijn.Lazy.Lift/adjustb/11,4.7600620425455245e-6,4.75454934969028e-6,4.7686367254116695e-6,2.421497232863335e-8,1.3276977150466668e-8,3.620337444406492e-8
adjustb/DeBruijn.Lazy.Lift/adjustb/12,5.919530271302107e-6,5.9130092808457545e-6,5.9293698257264346e-6,2.6184443892912027e-8,2.1119879980349158e-8,3.6435545224189756e-8
adjustb/DeBruijn.Lazy.Lift/adjustb/13,7.081709819978477e-6,7.064797727968381e-6,7.108465845574591e-6,6.743810711430441e-8,4.263656006896725e-8,1.0110886535418981e-7
adjustb/DeBruijn.Lazy.Lift/adjustb/14,8.433550355309876e-6,8.425421857492593e-6,8.44629236013391e-6,3.369084582048753e-8,2.552997243410643e-8,4.778378321672259e-8
adjustb/DeBruijn.Lazy.Lift/adjustb/15,9.969602634412398e-6,9.955549171727437e-6,9.98878096696112e-6,5.885737599309027e-8,4.483456139223684e-8,8.561068149426287e-8
adjustb/DeBruijn.Lazy.Lift/adjustb/16,1.1718181184822608e-5,1.168351666995967e-5,1.1778666385211275e-5,1.5676305287235586e-7,8.93859566786889e-8,2.7783642811838494e-7
adjustb/DeBruijn.Lazy.Lift/adjustb/17,1.340812537701762e-5,1.3402926319034056e-5,1.3415722135338771e-5,2.0944389192080563e-8,1.5671763483756127e-8,3.241850837658969e-8
adjustb/DeBruijn.Lazy.Lift/adjustb/18,1.544665631638914e-5,1.5413377353066125e-5,1.5503161956523984e-5,1.4587565649340363e-7,8.368552848915002e-8,2.202172841490603e-7
adjustb/DeBruijn.Lazy.Lift/adjustb/19,1.7519282515851824e-5,1.749168267326743e-5,1.7565954695082218e-5,1.1421387222028538e-7,8.127124907077524e-8,1.693015873188696e-7
adjustb/DeBruijn.Lazy.Lift/adjustb/20,2.0236811755439374e-5,2.0177754645632988e-5,2.0330007466316695e-5,2.3375304571371448e-7,1.3510178406754976e-7,3.5997003366497023e-7
