Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
con/DeBruijn.Lazy.Lift/con/1,2.416159612568508e-8,2.4104917655829748e-8,2.422973089799111e-8,2.135682767857072e-10,1.6679804922913902e-10,2.714954438115074e-10
con/DeBruijn.Lazy.Lift/con/2,4.526361431174431e-8,4.5095048095547894e-8,4.579010484326402e-8,9.651587393086734e-10,2.999838542985034e-10,1.975529165979854e-9
con/DeBruijn.Lazy.Lift/con/3,6.641403584240474e-8,6.638053215506759e-8,6.645350668626477e-8,1.1975750264950118e-10,9.942597200221439e-11,1.5710634380841282e-10
con/DeBruijn.Lazy.Lift/con/4,8.842011987255604e-8,8.827322098443019e-8,8.869310596351286e-8,6.947935803873064e-10,4.4892279044718765e-10,1.1597902683730083e-9
con/DeBruijn.Lazy.Lift/con/5,1.1007806415953959e-7,1.0986454465735596e-7,1.1031519253256046e-7,7.905818237788593e-10,6.546558375755097e-10,1.0809438725517207e-9
con/DeBruijn.Lazy.Lift/con/6,1.3097079706913278e-7,1.3080252936533436e-7,1.3137669134356502e-7,8.548550517148757e-10,5.260039865277929e-10,1.446038424597861e-9
con/DeBruijn.Lazy.Lift/con/7,1.6578271599061585e-7,1.6544459826850037e-7,1.662043805236933e-7,1.248159548978176e-9,1.0049925836865413e-9,1.6056211921349242e-9
con/DeBruijn.Lazy.Lift/con/8,1.9746209294575897e-7,1.9650239600338686e-7,2.0064681004932475e-7,5.354774095430421e-9,1.7663263381448645e-9,1.085928417776905e-8
con/DeBruijn.Lazy.Lift/con/9,2.163087055375887e-7,2.1610844269653923e-7,2.1671384630854834e-7,9.347284715933893e-10,5.992286374128207e-10,1.664774602303542e-9
con/DeBruijn.Lazy.Lift/con/10,2.3970447347373503e-7,2.39207328084689e-7,2.403210037676615e-7,1.8487482472801635e-9,1.4137309901370563e-9,2.7126143934722417e-9
con/DeBruijn.Lazy.Lift/con/11,2.5620214745088674e-7,2.5571544038752974e-7,2.570358656182751e-7,2.097552154294048e-9,1.513649233936385e-9,3.5482118952944973e-9
con/DeBruijn.Lazy.Lift/con/12,2.8761005891368546e-7,2.8693082166364857e-7,2.884819200510799e-7,2.545097475102269e-9,1.7849083603949218e-9,3.49316354869863e-9
con/DeBruijn.Lazy.Lift/con/13,3.0703116680919303e-7,3.065020389016193e-7,3.07931679249124e-7,2.2940775793137387e-9,1.4892743395302713e-9,3.5912629771357472e-9
con/DeBruijn.Lazy.Lift/con/14,3.2704013729418806e-7,3.2598785993386784e-7,3.281832015907622e-7,3.5411154865908705e-9,2.909172977751484e-9,4.572005401354512e-9
con/DeBruijn.Lazy.Lift/con/15,3.4520607372941337e-7,3.443096266830714e-7,3.464233797320305e-7,3.4572036730735414e-9,2.682664959442359e-9,4.169162464594496e-9
con/DeBruijn.Lazy.Lift/con/16,3.732989063509471e-7,3.724510411236105e-7,3.757632212722086e-7,4.406022790926623e-9,2.131608724736885e-9,8.014529996454552e-9
con/DeBruijn.Lazy.Lift/con/17,3.9411488647356306e-7,3.935987671865749e-7,3.947657077288817e-7,1.9491521857262676e-9,1.568806779096733e-9,2.554416103033965e-9
con/DeBruijn.Lazy.Lift/con/18,4.214039285773238e-7,4.207290603120609e-7,4.2242184893398403e-7,2.7878137859427087e-9,1.6683795506293885e-9,4.762789494850726e-9
con/DeBruijn.Lazy.Lift/con/19,4.4484639424191733e-7,4.438816643101778e-7,4.462041399132988e-7,3.849803618462769e-9,3.0107945980554716e-9,5.222390290152915e-9
con/DeBruijn.Lazy.Lift/con/20,4.5594330136399415e-7,4.5534183300975944e-7,4.568880530558631e-7,2.6571070644482037e-9,2.0376274201144055e-9,3.556259887886551e-9
