Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/DeBruijn.Lazy.Lift/ids/1,2.4428763680832987e-8,2.4406693424317383e-8,2.4465558687372968e-8,9.332445996352562e-11,6.958588911318815e-11,1.3439244240631545e-10
ids/DeBruijn.Lazy.Lift/ids/2,3.4973031257996414e-8,3.491433238787039e-8,3.504523208254958e-8,2.0949022398967094e-10,1.5381795061096804e-10,3.184062043592847e-10
ids/DeBruijn.Lazy.Lift/ids/3,4.51433386142713e-8,4.507884624893273e-8,4.5224962468674133e-8,2.47724582001601e-10,2.002016308790109e-10,2.9591761111126975e-10
ids/DeBruijn.Lazy.Lift/ids/4,6.633800504182027e-8,6.624400103273926e-8,6.648086068629891e-8,3.7377771425290803e-10,2.732105396410358e-10,6.03559701646221e-10
ids/DeBruijn.Lazy.Lift/ids/5,7.52599943424213e-8,7.51638660106558e-8,7.539810320115545e-8,3.7795604469237336e-10,2.71929748896072e-10,4.96159564906236e-10
ids/DeBruijn.Lazy.Lift/ids/6,8.402587168735343e-8,8.38039933759607e-8,8.435848027133671e-8,9.075656175882634e-10,6.919222332843414e-10,1.2909922444051669e-9
ids/DeBruijn.Lazy.Lift/ids/7,9.619127970036587e-8,9.572196980054367e-8,9.67353746954458e-8,1.7079905383462448e-9,1.3786277702673814e-9,2.101172581915357e-9
ids/DeBruijn.Lazy.Lift/ids/8,1.0502076911757633e-7,1.0483819330256257e-7,1.0519310266296325e-7,5.608979154244901e-10,4.671279372940944e-10,7.035203900808562e-10
ids/DeBruijn.Lazy.Lift/ids/9,1.1647246768805062e-7,1.1617781605743048e-7,1.167154572937018e-7,9.411815925844711e-10,6.854354877791703e-10,1.3704071067218327e-9
ids/DeBruijn.Lazy.Lift/ids/10,1.2512069863369032e-7,1.247278823811796e-7,1.2542792905590456e-7,1.1988192553453664e-9,9.7989534731149e-10,1.5140786915401162e-9
