Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
con/DeBruijn.Lazy.List/con/1,3.798756240220163e-8,3.791148643890078e-8,3.807879705377051e-8,2.883967208521725e-10,2.4188005917816805e-10,3.3695846330310885e-10
con/DeBruijn.Lazy.List/con/2,5.364583845170448e-8,5.35375975392603e-8,5.384214034990174e-8,4.679261554340789e-10,2.6560617491393925e-10,6.887346284926963e-10
con/DeBruijn.Lazy.List/con/3,7.080778092048508e-8,7.069485906808597e-8,7.093430410409427e-8,4.124486521002744e-10,3.284879274386107e-10,5.18830426069591e-10
con/DeBruijn.Lazy.List/con/4,8.70471218361327e-8,8.688222445720026e-8,8.726668300916197e-8,6.471774590125735e-10,5.043965495905539e-10,9.675628776672846e-10
con/DeBruijn.Lazy.List/con/5,1.0365950457981792e-7,1.033960922334824e-7,1.0415817062075377e-7,1.1496305070336775e-9,6.661772410047167e-10,1.7106473279677967e-9
con/DeBruijn.Lazy.List/con/6,1.1888104332014886e-7,1.1859119234175457e-7,1.1960750318338405e-7,1.451673105130499e-9,7.898717983597191e-10,2.811382537090447e-9
con/DeBruijn.Lazy.List/con/7,1.3462819431204384e-7,1.3434287976575237e-7,1.3499267532971963e-7,1.0967336778484638e-9,9.413234822161831e-10,1.4309978467915526e-9
con/DeBruijn.Lazy.List/con/8,1.6011072432301054e-7,1.598851815961205e-7,1.6036059526957615e-7,8.311817668535495e-10,6.66082548947127e-10,1.1197825335147625e-9
con/DeBruijn.Lazy.List/con/9,1.7650483290595232e-7,1.762394663689668e-7,1.767909093877636e-7,9.391023784811343e-10,7.492224589424004e-10,1.1999550962206632e-9
con/DeBruijn.Lazy.List/con/10,2.0042063503900178e-7,1.9954061596649734e-7,2.01156783671979e-7,2.761433110442202e-9,2.358374242045553e-9,3.434031955521518e-9
con/DeBruijn.Lazy.List/con/11,2.0891848469687007e-7,2.0822218632930823e-7,2.1075258809285341e-7,3.4210441043508874e-9,1.4095962169037834e-9,6.170212537354336e-9
con/DeBruijn.Lazy.List/con/12,2.333388911908153e-7,2.3294874781093133e-7,2.3412061767771137e-7,1.8154821377886e-9,1.0550281515843725e-9,3.2086939656298407e-9
con/DeBruijn.Lazy.List/con/13,2.4683803608250194e-7,2.464293320820716e-7,2.4743277608575753e-7,1.6687942407569996e-9,1.159251418484874e-9,2.4335255322018875e-9
con/DeBruijn.Lazy.List/con/14,2.6367753859099787e-7,2.6333951175056685e-7,2.6409542991604043e-7,1.2841273045291966e-9,9.42523761096678e-10,1.7308506748494005e-9
con/DeBruijn.Lazy.List/con/15,2.82608373220997e-7,2.8211022950597133e-7,2.832455279361052e-7,1.9251902376797558e-9,1.5963226189702573e-9,2.603485834932453e-9
con/DeBruijn.Lazy.List/con/16,3.00685441224126e-7,3.0008034110752844e-7,3.0142196929045205e-7,2.282507684592174e-9,1.7877731034083937e-9,3.1049232207137865e-9
con/DeBruijn.Lazy.List/con/17,3.293168579897515e-7,3.284155940468566e-7,3.3086251621894754e-7,3.896811422787906e-9,2.8357403560782734e-9,6.030014896790838e-9
con/DeBruijn.Lazy.List/con/18,3.345759008760445e-7,3.340013562625914e-7,3.354761440609347e-7,2.3219690454303525e-9,1.6683719376077546e-9,3.784011434773798e-9
con/DeBruijn.Lazy.List/con/19,3.607332332945196e-7,3.6011622425334076e-7,3.616397934682818e-7,2.644157040611106e-9,1.8364148086517824e-9,3.6196764706570005e-9
con/DeBruijn.Lazy.List/con/20,3.773807298408333e-7,3.771197247528338e-7,3.777323690641232e-7,9.817239518325688e-10,8.477327298472119e-10,1.1421698909537702e-9
