Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/DeBruijn.Lazy.List/ids/1,3.825781858829295e-8,3.819266026507699e-8,3.836180875717555e-8,2.7479446435218433e-10,1.919570027619218e-10,4.49480642318072e-10
ids/DeBruijn.Lazy.List/ids/2,6.21790332351237e-8,6.20915928672064e-8,6.228461308973567e-8,3.319931061479153e-10,2.868027581396996e-10,4.0374867332615993e-10
ids/DeBruijn.Lazy.List/ids/3,9.773153647012449e-8,9.765851779288757e-8,9.782414176544831e-8,2.855841850088403e-10,2.278726540845471e-10,4.117125985211532e-10
ids/DeBruijn.Lazy.List/ids/4,1.1546883796142703e-7,1.1517098975809276e-7,1.1585596342156106e-7,1.141784270350501e-9,9.06932302631425e-10,1.446017030658785e-9
ids/DeBruijn.Lazy.List/ids/5,1.377403938932683e-7,1.3752493203551943e-7,1.3798983173070126e-7,8.437043260769878e-10,7.17750311998893e-10,1.0174883990333854e-9
ids/DeBruijn.Lazy.List/ids/6,1.6262547668925278e-7,1.6243181823273322e-7,1.6292243240730176e-7,8.23567790461334e-10,5.673750248662479e-10,1.3666746690908823e-9
ids/DeBruijn.Lazy.List/ids/7,1.867121022967378e-7,1.8641635090279735e-7,1.8731733475996739e-7,1.4688456607914324e-9,8.65852464678204e-10,2.648053083825786e-9
ids/DeBruijn.Lazy.List/ids/8,2.0961123280345994e-7,2.092192928027957e-7,2.1010710142929044e-7,1.4515078660280864e-9,1.2050103841417645e-9,1.9885398365886926e-9
ids/DeBruijn.Lazy.List/ids/9,2.3306604524094385e-7,2.3267395454980948e-7,2.343112900115177e-7,2.1043164313638778e-9,6.267684978976328e-10,4.63667345272893e-9
ids/DeBruijn.Lazy.List/ids/10,2.5491253428929254e-7,2.543983261212789e-7,2.556339065157229e-7,2.0966774216840648e-9,1.2856176209569387e-9,2.9371519732760515e-9
