Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/DeBruijn.Lazy.Nested/adjust/1,3.161875191644069e-8,3.153687883261765e-8,3.17404403550108e-8,3.236059770838363e-10,2.2760577246199828e-10,4.6389514342562854e-10
adjust/DeBruijn.Lazy.Nested/adjust/2,1.704606178159899e-7,1.7015442074253816e-7,1.7088794256253548e-7,1.2188359481438012e-9,8.179441342941867e-10,1.7748240136433947e-9
adjust/DeBruijn.Lazy.Nested/adjust/3,5.639587827986852e-7,5.606448715263049e-7,5.67057619283642e-7,1.0732595945143993e-8,9.41491115230555e-9,1.236942328603053e-8
adjust/DeBruijn.Lazy.Nested/adjust/4,1.0416943216371915e-6,1.0370518216587666e-6,1.0482790700106342e-6,1.9335641999254413e-8,1.5011837804718834e-8,2.543541801629036e-8
adjust/DeBruijn.Lazy.Nested/adjust/5,1.8369647664531112e-6,1.8331018789027458e-6,1.8406144798744056e-6,1.2364266473867634e-8,1.0040715822809445e-8,1.6039478904122226e-8
adjust/DeBruijn.Lazy.Nested/adjust/6,3.7233046318033777e-6,3.6987195856113876e-6,3.7542976657662507e-6,9.26757277283377e-8,7.013233371318794e-8,1.2615972507693372e-7
adjust/DeBruijn.Lazy.Nested/adjust/7,5.663137570761712e-6,5.4708700019416765e-6,5.835202228817239e-6,6.445751148418752e-7,5.98305417799645e-7,6.902212168564218e-7
adjust/DeBruijn.Lazy.Nested/adjust/8,8.19492158167437e-6,7.902603205285893e-6,8.490969630327075e-6,9.71654222001146e-7,9.516170604151384e-7,1.0005342676340585e-6
adjust/DeBruijn.Lazy.Nested/adjust/9,1.2324173540423059e-5,1.2277469531231149e-5,1.2381257403631537e-5,1.7575718227728608e-7,1.3880181878944974e-7,2.1139845471606805e-7
adjust/DeBruijn.Lazy.Nested/adjust/10,1.593037079565634e-5,1.5767188105198467e-5,1.609282474174559e-5,5.787081790975492e-7,5.303685463887284e-7,6.463058463914669e-7
adjust/DeBruijn.Lazy.Nested/adjust/11,2.0564460781328927e-5,2.0483669533876983e-5,2.0713304611796266e-5,3.5432208013957815e-7,2.325059866931351e-7,6.730951021654288e-7
adjust/DeBruijn.Lazy.Nested/adjust/12,2.6400746366810913e-5,2.6279324407825097e-5,2.6611854871734785e-5,5.184431084860434e-7,3.629934589936054e-7,8.328701808128968e-7
adjust/DeBruijn.Lazy.Nested/adjust/13,3.349873252188896e-5,3.334865630646517e-5,3.373922890984835e-5,6.248844116845114e-7,4.2457734194463867e-7,9.7645220066685e-7
adjust/DeBruijn.Lazy.Nested/adjust/14,4.136548622935264e-5,4.1260665024647724e-5,4.1465468739289405e-5,3.449376627349554e-7,2.583423989935928e-7,5.130402515343722e-7
adjust/DeBruijn.Lazy.Nested/adjust/15,5.152473875552802e-5,5.14180509995938e-5,5.166169384142066e-5,4.0498913448696365e-7,3.135174254196144e-7,5.875956607601082e-7
adjust/DeBruijn.Lazy.Nested/adjust/16,6.229893402914833e-5,6.212516832519141e-5,6.257700288741459e-5,7.028725231057813e-7,4.515654240734161e-7,1.0391819032471575e-6
adjust/DeBruijn.Lazy.Nested/adjust/17,7.398316597861715e-5,7.381840199230465e-5,7.417390153096927e-5,5.640206465024652e-7,4.655675122941408e-7,6.830095590508099e-7
adjust/DeBruijn.Lazy.Nested/adjust/18,8.815564448804704e-5,8.794675470315528e-5,8.839817946087771e-5,7.388325330813337e-7,5.544931570395684e-7,1.18343995028778e-6
adjust/DeBruijn.Lazy.Nested/adjust/19,1.0210773443238896e-4,1.0127666574324289e-4,1.033884095699879e-4,3.290596804724768e-6,2.2667462344162833e-6,4.693089284536712e-6
adjust/DeBruijn.Lazy.Nested/adjust/20,1.1608742227991037e-4,1.1586500527975251e-4,1.1634989165367167e-4,8.276008449646461e-7,6.626632745057346e-7,1.1063419763477296e-6
