Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjustb/DeBruijn.Lazy.Nested/adjustb/1,5.4411202321166506e-8,5.4347339554124854e-8,5.449207623459889e-8,2.391048479282529e-10,1.765899362309384e-10,3.2854611067704703e-10
adjustb/DeBruijn.Lazy.Nested/adjustb/2,2.583934253898309e-7,2.5817653404986793e-7,2.588124796862109e-7,9.65690538998385e-10,6.129469266841613e-10,1.6662947564665755e-9
adjustb/DeBruijn.Lazy.Nested/adjustb/3,6.493072910769425e-7,6.475165502181569e-7,6.514275705884052e-7,6.53032999540287e-9,5.190203642190088e-9,8.443937629485966e-9
adjustb/DeBruijn.Lazy.Nested/adjustb/4,1.334152992158806e-6,1.3295616647086028e-6,1.341293208472192e-6,1.9174137124772487e-8,1.2089399866940812e-8,3.217591025665996e-8
adjustb/DeBruijn.Lazy.Nested/adjustb/5,2.500760980466744e-6,2.487941543319158e-6,2.5382375572359235e-6,6.755180666672389e-8,2.9240878844726964e-8,1.3073561555774483e-7
adjustb/DeBruijn.Lazy.Nested/adjustb/6,4.219094159434469e-6,4.2046054774608e-6,4.24500923314112e-6,6.706733532146521e-8,3.859920040905637e-8,1.0766532801836554e-7
adjustb/DeBruijn.Lazy.Nested/adjustb/7,6.417397217989091e-6,6.402576018794422e-6,6.440657775712155e-6,5.865925032267355e-8,4.349547731885455e-8,8.42472669143727e-8
adjustb/DeBruijn.Lazy.Nested/adjustb/8,9.38498113114744e-6,9.36448996045423e-6,9.422914397570954e-6,9.132546501685663e-8,6.72943166650662e-8,1.4444687140097563e-7
adjustb/DeBruijn.Lazy.Nested/adjustb/9,1.3366416524633537e-5,1.3337729516425046e-5,1.3403347118848043e-5,1.1169358519001796e-7,8.137660591026345e-8,1.4558831903522404e-7
adjustb/DeBruijn.Lazy.Nested/adjustb/10,1.8203102848387144e-5,1.8147222581046877e-5,1.8359565941143655e-5,2.8895643883259925e-7,1.3172925492659356e-7,5.970161388167036e-7
adjustb/DeBruijn.Lazy.Nested/adjustb/11,2.367535199385347e-5,2.364769544109718e-5,2.3736651977677383e-5,1.2566755901943432e-7,8.66847931419329e-8,1.9223802341089646e-7
adjustb/DeBruijn.Lazy.Nested/adjustb/12,3.080257248522496e-5,3.0734808518520114e-5,3.088368901928659e-5,2.4359621843560213e-7,1.908172520933085e-7,3.1549667807374174e-7
adjustb/DeBruijn.Lazy.Nested/adjustb/13,3.8908220275749105e-5,3.879210816998621e-5,3.9078536513745554e-5,4.770028220857417e-7,3.191771210149975e-7,7.582502692261414e-7
adjustb/DeBruijn.Lazy.Nested/adjustb/14,4.8041307553980076e-5,4.7815662212196715e-5,4.893747589057302e-5,1.4093311781252455e-6,1.716985551148756e-7,2.9894261763556715e-6
adjustb/DeBruijn.Lazy.Nested/adjustb/15,5.946811521969576e-5,5.936381234320055e-5,5.961762409853672e-5,4.2287312469655535e-7,3.214002664655233e-7,5.344600970736701e-7
adjustb/DeBruijn.Lazy.Nested/adjustb/16,7.05578958426405e-5,7.028541689712984e-5,7.097403284900347e-5,1.0918210923255748e-6,7.540853508861893e-7,1.7697950180998033e-6
adjustb/DeBruijn.Lazy.Nested/adjustb/17,8.471111544690758e-5,8.463004436211791e-5,8.49883830497497e-5,4.344881759451821e-7,1.893287078878154e-7,9.131923291660106e-7
adjustb/DeBruijn.Lazy.Nested/adjustb/18,1.0177838466560495e-4,1.0161010181644325e-4,1.0200607748857027e-4,6.586658602933515e-7,5.132220175566552e-7,8.64157564523759e-7
adjustb/DeBruijn.Lazy.Nested/adjustb/19,1.1990871062033153e-4,1.1938137371332248e-4,1.2169678550128028e-4,2.6705260575216686e-6,1.3952881649862456e-6,5.4010322245177265e-6
adjustb/DeBruijn.Lazy.Nested/adjustb/20,1.3841640452950992e-4,1.38295463837091e-4,1.3867079418066679e-4,5.405278562860897e-7,3.3520180248733814e-7,8.233459788899151e-7
