Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
con/DeBruijn.Lazy.Nested/con/1,2.9737658882934195e-8,2.9625661233525923e-8,3.0151568494834086e-8,5.97105635194893e-10,1.902735454400219e-10,1.3069456907916418e-9
con/DeBruijn.Lazy.Nested/con/2,6.460175111325092e-8,6.431399731099202e-8,6.539184909552401e-8,1.474198258630935e-9,6.740979678566873e-10,2.747590502037756e-9
con/DeBruijn.Lazy.Nested/con/3,1.072325379415424e-7,1.0705067542735172e-7,1.0762063076378342e-7,8.831046750801504e-10,5.691846685621002e-10,1.5786644740185312e-9
con/DeBruijn.Lazy.Nested/con/4,1.6266715035294685e-7,1.6228214522008906e-7,1.6366352634903616e-7,2.0012289264443163e-9,8.109293095276822e-10,3.872345333948184e-9
con/DeBruijn.Lazy.Nested/con/5,2.2268701640859325e-7,2.2239016119143876e-7,2.2346681954150586e-7,1.4969460391921759e-9,6.944638832228557e-10,3.0820905136861042e-9
con/DeBruijn.Lazy.Nested/con/6,3.076926513484412e-7,3.0692154037221844e-7,3.0869729388135597e-7,3.0063522580978624e-9,2.277838773007053e-9,4.1793317741484184e-9
con/DeBruijn.Lazy.Nested/con/7,4.1489414365392794e-7,4.1425918253584893e-7,4.1593738329739537e-7,2.6267089516477686e-9,1.7772106836916356e-9,4.4967180534366666e-9
con/DeBruijn.Lazy.Nested/con/8,5.230979080112812e-7,5.190078801672073e-7,5.335334736468132e-7,2.1762708286853985e-8,9.871214126028699e-9,4.073088049793516e-8
con/DeBruijn.Lazy.Nested/con/9,6.217603841604525e-7,6.207440497029318e-7,6.23411727920628e-7,4.278194796643929e-9,3.121651416397161e-9,6.34385112220314e-9
con/DeBruijn.Lazy.Nested/con/10,7.440290266584099e-7,7.428683737571585e-7,7.456859096182312e-7,4.6184117859393665e-9,3.342499268306219e-9,6.5276302644822734e-9
con/DeBruijn.Lazy.Nested/con/11,8.792686591518335e-7,8.7840169343184e-7,8.802714561893927e-7,3.1302775383406995e-9,2.517118272902556e-9,4.147798967542469e-9
con/DeBruijn.Lazy.Nested/con/12,1.0304467087426786e-6,1.0289020551878363e-6,1.0324134650519973e-6,5.979784311374881e-9,4.8596405274130126e-9,7.4021073600215936e-9
con/DeBruijn.Lazy.Nested/con/13,1.1537356460682528e-6,1.151063261172356e-6,1.157834846757277e-6,1.10720944526738e-8,7.579290676255001e-9,1.823488702399094e-8
con/DeBruijn.Lazy.Nested/con/14,1.3393072082205707e-6,1.3365625644208856e-6,1.343731781895788e-6,1.1366142027085829e-8,7.44984482449965e-9,1.7274829268917703e-8
con/DeBruijn.Lazy.Nested/con/15,1.5165923770212154e-6,1.5141410051269766e-6,1.5197300984988435e-6,9.696731292536086e-9,8.130337147018614e-9,1.2038502434949345e-8
con/DeBruijn.Lazy.Nested/con/16,1.719022231538845e-6,1.7168831949585385e-6,1.7223269086208544e-6,9.058574665021905e-9,5.9186311282797614e-9,1.5266044724461135e-8
con/DeBruijn.Lazy.Nested/con/17,1.9221516333841966e-6,1.9201491373003014e-6,1.924980357817554e-6,7.858753369769047e-9,6.2725227515199405e-9,1.0767634959772932e-8
con/DeBruijn.Lazy.Nested/con/18,2.115447290627337e-6,2.1113281611189797e-6,2.1210402363145e-6,1.6523524872072032e-8,1.2193396554324898e-8,2.2666134390756246e-8
con/DeBruijn.Lazy.Nested/con/19,2.3505845026279266e-6,2.3459117239784197e-6,2.3646726059379272e-6,2.4163448903837954e-8,1.204692275802605e-8,4.825437618442985e-8
con/DeBruijn.Lazy.Nested/con/20,2.5350630862443133e-6,2.5313300316278356e-6,2.5425408211640232e-6,1.656150720773215e-8,9.877312414222537e-9,3.212588202933826e-8
