Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/DeBruijn.Lazy.Nested/ids/1,2.9369738787992177e-8,2.9302168587117328e-8,2.9479326364911138e-8,2.826982410731568e-10,1.6382887512297365e-10,4.328590613661709e-10
ids/DeBruijn.Lazy.Nested/ids/2,4.327216435257004e-8,4.3172237801113105e-8,4.3445821669706285e-8,4.255015474155273e-10,2.867693658705303e-10,6.774637969854453e-10
ids/DeBruijn.Lazy.Nested/ids/3,6.877840607513059e-8,6.866273309161518e-8,6.900863609104002e-8,5.363784324282755e-10,2.8024595616392714e-10,8.790294499753465e-10
ids/DeBruijn.Lazy.Nested/ids/4,8.157080723678589e-8,8.119666131004724e-8,8.200342139839505e-8,1.31407399614032e-9,1.0253768383261413e-9,1.6003648871457179e-9
ids/DeBruijn.Lazy.Nested/ids/5,9.502911684543381e-8,9.458271621003423e-8,9.562173915110609e-8,1.7323472453758537e-9,1.3580115707054996e-9,2.2159177421810542e-9
ids/DeBruijn.Lazy.Nested/ids/6,1.0801071998379514e-7,1.0751001800049046e-7,1.0905091545279358e-7,2.449641898746911e-9,1.2979667418313586e-9,4.587384698907026e-9
ids/DeBruijn.Lazy.Nested/ids/7,1.2257711206093564e-7,1.2219761464784116e-7,1.2284055978184407e-7,9.879658619227483e-10,7.013618084460113e-10,1.5119257222191917e-9
ids/DeBruijn.Lazy.Nested/ids/8,1.3587331249662202e-7,1.3543483084188898e-7,1.3635366491010374e-7,1.5384265957814523e-9,1.1856167114800202e-9,1.986365432063475e-9
ids/DeBruijn.Lazy.Nested/ids/9,1.4903736827209136e-7,1.4839824923828252e-7,1.5014130268983632e-7,2.8188454016370184e-9,1.884962090942396e-9,4.151442140437156e-9
ids/DeBruijn.Lazy.Nested/ids/10,1.624377554586028e-7,1.6175840153762516e-7,1.6366750543914657e-7,2.9051254156655642e-9,2.0701935539299907e-9,4.467322402054517e-9
