Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/DeBruijn.Lazy.Par.B/adjust/1,7.973511530909298e-8,7.963679618959996e-8,7.992550229794998e-8,4.198473315385257e-10,2.554525825101406e-10,6.665188256300812e-10
adjust/DeBruijn.Lazy.Par.B/adjust/2,1.965126417431725e-7,1.9638776014788822e-7,1.9666732427151613e-7,4.6403447879159687e-10,3.7387520353990664e-10,5.877952837527343e-10
adjust/DeBruijn.Lazy.Par.B/adjust/3,4.3518314419532514e-7,4.3443805054664694e-7,4.3618585578877533e-7,2.846692599552621e-9,2.1373600527202308e-9,4.263405138094723e-9
adjust/DeBruijn.Lazy.Par.B/adjust/4,8.644603679877568e-7,8.627753826420814e-7,8.675908728706768e-7,7.498073589017977e-9,3.929876704876767e-9,1.2462940834147528e-8
adjust/DeBruijn.Lazy.Par.B/adjust/5,1.5713440176944414e-6,1.5685067888540048e-6,1.577494708842762e-6,1.345704636362606e-8,7.11815524033862e-9,2.163157426498093e-8
adjust/DeBruijn.Lazy.Par.B/adjust/6,2.5974371862684873e-6,2.5931409836220884e-6,2.603399450557034e-6,1.7544514080445968e-8,1.358978800170596e-8,2.2806304858406426e-8
adjust/DeBruijn.Lazy.Par.B/adjust/7,4.042042796572156e-6,4.039320591365991e-6,4.0450108498988384e-6,1.0374147876217939e-8,8.197976199291115e-9,1.4400079986259733e-8
adjust/DeBruijn.Lazy.Par.B/adjust/8,5.9729904719486185e-6,5.9661839696586955e-6,5.984524749161309e-6,3.050795897005391e-8,1.7652228848984542e-8,4.5572712700858964e-8
adjust/DeBruijn.Lazy.Par.B/adjust/9,8.325115848814127e-6,8.313885789539972e-6,8.346774299119262e-6,5.180134242986059e-8,2.983142903366363e-8,9.095942340115359e-8
adjust/DeBruijn.Lazy.Par.B/adjust/10,1.1282757347417672e-5,1.1231410908820094e-5,1.1461951669725686e-5,2.890116593065796e-7,9.627965299808727e-8,5.750602487493364e-7
adjust/DeBruijn.Lazy.Par.B/adjust/11,1.4553655121017126e-5,1.4539877354565588e-5,1.457006792773854e-5,4.898411261795344e-8,3.7449277569699497e-8,6.358028407903085e-8
adjust/DeBruijn.Lazy.Par.B/adjust/12,1.8702081658912605e-5,1.8676325732975676e-5,1.8732313484888367e-5,9.114254503027578e-8,7.089139046397709e-8,1.1271062691321825e-7
adjust/DeBruijn.Lazy.Par.B/adjust/13,2.353653229922681e-5,2.349936923705174e-5,2.3607854440506666e-5,1.60570618738738e-7,1.0535976692234546e-7,2.591814436532846e-7
adjust/DeBruijn.Lazy.Par.B/adjust/14,2.9176198931463844e-5,2.913181169589144e-5,2.9237543154319408e-5,1.7081670536057682e-7,1.2942437984903375e-7,2.3866274479635713e-7
adjust/DeBruijn.Lazy.Par.B/adjust/15,3.557641098986515e-5,3.55338843871e-5,3.562232711567797e-5,1.4386585835835363e-7,1.145530637261859e-7,1.909899673700531e-7
adjust/DeBruijn.Lazy.Par.B/adjust/16,4.260805768852194e-5,4.257261890095139e-5,4.2679126307507126e-5,1.6522747405117723e-7,9.950535477713952e-8,2.9115079194057066e-7
adjust/DeBruijn.Lazy.Par.B/adjust/17,5.0927229232970885e-5,5.086269961960547e-5,5.1045519330067336e-5,2.8814790166847936e-7,1.9104283538323837e-7,4.6602541201404887e-7
adjust/DeBruijn.Lazy.Par.B/adjust/18,6.0177980725655414e-5,6.010333951794062e-5,6.030655499818658e-5,3.1418533777222777e-7,1.972297129207224e-7,5.164189491206111e-7
adjust/DeBruijn.Lazy.Par.B/adjust/19,7.104419408001689e-5,7.099962542246528e-5,7.109833493694548e-5,1.637464059544835e-7,1.3014240583011234e-7,2.124771552232932e-7
adjust/DeBruijn.Lazy.Par.B/adjust/20,8.241658735673884e-5,8.233220866331008e-5,8.25455432727276e-5,3.552124551953122e-7,2.556011303561595e-7,5.021004139247785e-7
