Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjustb/DeBruijn.Lazy.Par.B/adjustb/1,1.3776504213965872e-7,1.3755965084158321e-7,1.3816427790707892e-7,8.977831604391929e-10,5.665652914794099e-10,1.5591635444568815e-9
adjustb/DeBruijn.Lazy.Par.B/adjustb/2,3.9084209903019923e-7,3.9050943927469786e-7,3.9131779356620974e-7,1.324265103860386e-9,1.0173469554223228e-9,1.6933966568457541e-9
adjustb/DeBruijn.Lazy.Par.B/adjustb/3,7.969810439966977e-7,7.959504146601832e-7,7.985884336975046e-7,4.393649197530778e-9,3.4200004602865484e-9,5.9562223257515075e-9
adjustb/DeBruijn.Lazy.Par.B/adjustb/4,1.4404924496480738e-6,1.4378573855703095e-6,1.4446050396481548e-6,1.1172085750161344e-8,7.255950036372905e-9,2.104968511058051e-8
adjustb/DeBruijn.Lazy.Par.B/adjustb/5,2.427320011916258e-6,2.4222620939953443e-6,2.436205113200773e-6,2.2982953798000463e-8,1.3527814301166845e-8,3.816903858090684e-8
adjustb/DeBruijn.Lazy.Par.B/adjustb/6,3.707583275106193e-6,3.7015213017116425e-6,3.716290778272201e-6,2.5749021196371223e-8,1.732145945384367e-8,3.924551293936223e-8
adjustb/DeBruijn.Lazy.Par.B/adjustb/7,5.4887977232057834e-6,5.480552600765255e-6,5.503311841141755e-6,3.55964778554077e-8,2.1397391182290184e-8,5.7241500128646553e-8
adjustb/DeBruijn.Lazy.Par.B/adjustb/8,7.643800224599102e-6,7.632118934369646e-6,7.661949108041652e-6,4.9532689163817126e-8,3.206813403396482e-8,7.962706125402241e-8
adjustb/DeBruijn.Lazy.Par.B/adjustb/9,1.0614534459678393e-5,1.0598188037520593e-5,1.0634059368624827e-5,6.20122189591974e-8,4.7342295611834794e-8,8.068001411280528e-8
adjustb/DeBruijn.Lazy.Par.B/adjustb/10,1.3814454371207197e-5,1.379590786323475e-5,1.3841576944997174e-5,7.569609209846556e-8,5.4183876473492083e-8,1.0133888119113101e-7
adjustb/DeBruijn.Lazy.Par.B/adjustb/11,1.7994291153254766e-5,1.7969459578143374e-5,1.8029914199425325e-5,9.762669315891581e-8,7.176735303055549e-8,1.363446088475211e-7
adjustb/DeBruijn.Lazy.Par.B/adjustb/12,2.2617495764214922e-5,2.258955399061879e-5,2.265101680363183e-5,1.0520017052322231e-7,8.15849393271596e-8,1.4125586920149673e-7
adjustb/DeBruijn.Lazy.Par.B/adjustb/13,2.813323873880636e-5,2.807126935965406e-5,2.8261076450123426e-5,2.928093178294988e-7,1.730888105329044e-7,4.867879278428779e-7
adjustb/DeBruijn.Lazy.Par.B/adjustb/14,3.3954113130537206e-5,3.389916233306166e-5,3.4078859608669634e-5,2.4958092920292837e-7,1.4620829090588167e-7,4.2991384469846155e-7
adjustb/DeBruijn.Lazy.Par.B/adjustb/15,4.1004279467855605e-5,4.0947634525715885e-5,4.112186166978894e-5,2.5322937467164287e-7,1.751078889851887e-7,3.9162462354968653e-7
adjustb/DeBruijn.Lazy.Par.B/adjustb/16,4.8707505943733564e-5,4.865923946601271e-5,4.877204377059154e-5,1.805507950614119e-7,1.2991545703273274e-7,2.780121984231239e-7
adjustb/DeBruijn.Lazy.Par.B/adjustb/17,5.721033886274654e-5,5.715386275501771e-5,5.728200178956275e-5,2.1593589130445965e-7,1.5425892979309223e-7,3.2278712521567237e-7
adjustb/DeBruijn.Lazy.Par.B/adjustb/18,6.691217235693394e-5,6.68430928096198e-5,6.701208865366456e-5,2.605525697553475e-7,1.8842614820595916e-7,3.6691611697100956e-7
adjustb/DeBruijn.Lazy.Par.B/adjustb/19,7.692944302632447e-5,7.670054690429957e-5,7.732125858562301e-5,1.0193489125369586e-6,6.058799418557157e-7,1.5881948539478133e-6
adjustb/DeBruijn.Lazy.Par.B/adjustb/20,8.807203914617886e-5,8.799275307209662e-5,8.820605476107902e-5,3.554379335617633e-7,2.428855887289849e-7,5.84540551627159e-7
