Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
con/DeBruijn.Lazy.Par.B/con/1,3.8006990179099605e-8,3.7931991294160254e-8,3.810819675023047e-8,3.031583621199081e-10,2.2284295458052915e-10,4.608082207213255e-10
con/DeBruijn.Lazy.Par.B/con/2,6.762817500086675e-8,6.754348993020547e-8,6.780981605844169e-8,3.951457024767071e-10,2.016721068869789e-10,7.251585298161729e-10
con/DeBruijn.Lazy.Par.B/con/3,1.1774334544679824e-7,1.174717413358224e-7,1.1807992564398754e-7,9.37469252658444e-10,7.749645203370959e-10,1.2014227564503898e-9
con/DeBruijn.Lazy.Par.B/con/4,1.7765145650912468e-7,1.7735298502470346e-7,1.781002011990835e-7,1.235172172265396e-9,9.770652407007292e-10,1.7237101414451543e-9
con/DeBruijn.Lazy.Par.B/con/5,2.4906341889157396e-7,2.4883307416598703e-7,2.4932758824460094e-7,8.896433518765021e-10,7.509921091298905e-10,1.0302935241583572e-9
con/DeBruijn.Lazy.Par.B/con/6,3.642388934204789e-7,3.634716182057179e-7,3.6516951923428035e-7,2.8256821722992085e-9,2.4310630307568886e-9,3.736360985980492e-9
con/DeBruijn.Lazy.Par.B/con/7,4.5703562083379304e-7,4.5597008995824565e-7,4.5891578696777124e-7,4.498993725128258e-9,3.107428873854851e-9,6.928089202232135e-9
con/DeBruijn.Lazy.Par.B/con/8,5.421858399724236e-7,5.414681390404094e-7,5.44731071255168e-7,4.104066019834821e-9,1.4054943667937298e-9,8.307772588466398e-9
con/DeBruijn.Lazy.Par.B/con/9,6.582098411826986e-7,6.566784452532271e-7,6.600606248421431e-7,5.641395868385288e-9,4.36382753126067e-9,7.729004475244778e-9
con/DeBruijn.Lazy.Par.B/con/10,7.769324090781436e-7,7.757422265339354e-7,7.785733996361428e-7,4.643038241311756e-9,3.2567406516479343e-9,7.64813384295942e-9
con/DeBruijn.Lazy.Par.B/con/11,9.028640391321881e-7,9.016096215325067e-7,9.043715180766253e-7,4.616812432236409e-9,3.748199974270775e-9,5.4545719457167206e-9
con/DeBruijn.Lazy.Par.B/con/12,1.0444330457452626e-6,1.0420535660953516e-6,1.047196631573619e-6,8.545448711632064e-9,6.45538645931076e-9,1.1839609340769097e-8
con/DeBruijn.Lazy.Par.B/con/13,1.186697456510402e-6,1.1831580028762527e-6,1.1919643080334422e-6,1.4684468169804609e-8,1.0129369494000126e-8,2.132838759511089e-8
con/DeBruijn.Lazy.Par.B/con/14,1.321226983744138e-6,1.3207436238307115e-6,1.3219035606815094e-6,2.0431688630886754e-9,1.4604871153970521e-9,3.370428805530791e-9
con/DeBruijn.Lazy.Par.B/con/15,1.4932876064212787e-6,1.4912956836370528e-6,1.495748906298758e-6,7.413824263237226e-9,5.9313310032441006e-9,9.115153842275931e-9
con/DeBruijn.Lazy.Par.B/con/16,1.673304485472386e-6,1.6705395407049391e-6,1.676852417753353e-6,9.833174088137047e-9,6.991307800635283e-9,1.3142017252831281e-8
con/DeBruijn.Lazy.Par.B/con/17,1.8412912766725083e-6,1.8394765828715589e-6,1.8438415165780304e-6,7.369768101059428e-9,5.572700092120538e-9,1.0463528471950253e-8
con/DeBruijn.Lazy.Par.B/con/18,2.030258752034194e-6,2.026993527684154e-6,2.0342243002057435e-6,1.1751293209749744e-8,9.277231279271271e-9,1.4729803921045054e-8
con/DeBruijn.Lazy.Par.B/con/19,2.227400137261557e-6,2.2154905906002395e-6,2.2513216013220303e-6,5.769447767225971e-8,2.6104719362689126e-8,1.0549499990146935e-7
con/DeBruijn.Lazy.Par.B/con/20,2.393224150424486e-6,2.3912921289878493e-6,2.3971229259956694e-6,8.058013685965674e-9,5.492679177769012e-9,1.3405194456117432e-8
