Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/DeBruijn.Lazy.Par.B/ids/1,3.7620867383702554e-8,3.756661361038536e-8,3.771458804615777e-8,2.330211428800673e-10,1.5478347996545872e-10,3.8716227511993006e-10
ids/DeBruijn.Lazy.Par.B/ids/2,5.069227563748457e-8,5.0584104068748064e-8,5.0847712481126255e-8,4.4195021954135116e-10,3.1129885657648746e-10,6.006662747893536e-10
ids/DeBruijn.Lazy.Par.B/ids/3,6.283159815820631e-8,6.274721982108172e-8,6.294944822727656e-8,3.472989631504082e-10,2.5765312556490573e-10,5.119258297901432e-10
ids/DeBruijn.Lazy.Par.B/ids/4,8.289154626035049e-8,8.2717264442112e-8,8.314884527227734e-8,7.273628363946699e-10,5.713924987934025e-10,9.462044052385704e-10
ids/DeBruijn.Lazy.Par.B/ids/5,9.270675059523327e-8,9.252789889905618e-8,9.290108340035514e-8,6.593533467077198e-10,5.359037008673081e-10,8.514572983929654e-10
ids/DeBruijn.Lazy.Par.B/ids/6,1.0513496390008522e-7,1.0497887004224268e-7,1.0534929324073463e-7,5.817907723622039e-10,4.539816951713568e-10,7.583046199734779e-10
ids/DeBruijn.Lazy.Par.B/ids/7,1.1673044127269712e-7,1.1650895061751716e-7,1.1707315147229967e-7,9.285662191704528e-10,6.733683222734824e-10,1.4200028325261627e-9
ids/DeBruijn.Lazy.Par.B/ids/8,1.3096641498565458e-7,1.3077953902088434e-7,1.3119704357865276e-7,6.801287058932859e-10,4.900555275227121e-10,1.0882042658292904e-9
ids/DeBruijn.Lazy.Par.B/ids/9,1.4202525767827252e-7,1.4191473593583064e-7,1.4216638313897327e-7,4.442223194144395e-10,3.262783334113239e-10,6.771084067768294e-10
ids/DeBruijn.Lazy.Par.B/ids/10,1.572122236710608e-7,1.5692206036668987e-7,1.5752626085944115e-7,9.776687364777938e-10,8.206903768831467e-10,1.2614882607757956e-9
