Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/DeBruijn.Lazy.Par.FB/adjust/1,5.3373179854465415e-8,5.3325127317935094e-8,5.3459058421735125e-8,2.1170942084754483e-10,1.266018329505278e-10,3.565122425618438e-10
adjust/DeBruijn.Lazy.Par.FB/adjust/2,1.662274755919111e-7,1.6612544502893233e-7,1.6635298768227671e-7,3.7707160308227293e-10,3.087990187648943e-10,4.850163245418368e-10
adjust/DeBruijn.Lazy.Par.FB/adjust/3,4.026901166520271e-7,4.024188831092923e-7,4.0307222844537824e-7,1.1087966941758467e-9,8.034534672667386e-10,1.4392791437357231e-9
adjust/DeBruijn.Lazy.Par.FB/adjust/4,7.842316437082219e-7,7.836405417019928e-7,7.849337707839087e-7,2.2217582479141605e-9,1.910167280381635e-9,2.563391980574658e-9
adjust/DeBruijn.Lazy.Par.FB/adjust/5,1.397977763601301e-6,1.396419226534756e-6,1.4025298942803306e-6,8.024346798891806e-9,3.197647028589404e-9,1.56692453685512e-8
adjust/DeBruijn.Lazy.Par.FB/adjust/6,2.3427039959655136e-6,2.3408813848262177e-6,2.3449998414794276e-6,7.196595980318057e-9,5.379363402116741e-9,9.276868136397398e-9
adjust/DeBruijn.Lazy.Par.FB/adjust/7,3.618169301153588e-6,3.614879647407961e-6,3.6231931895640075e-6,1.3740314803707783e-8,1.0759836475377244e-8,1.7956759660451983e-8
adjust/DeBruijn.Lazy.Par.FB/adjust/8,5.263009898322312e-6,5.258813392192199e-6,5.267732951498349e-6,1.521448688110951e-8,1.218758447084829e-8,1.9467378148199604e-8
adjust/DeBruijn.Lazy.Par.FB/adjust/9,7.265343346094623e-6,7.245795530841857e-6,7.305507786079342e-6,8.921747411680522e-8,5.366606959806343e-8,1.4876474082959577e-7
adjust/DeBruijn.Lazy.Par.FB/adjust/10,1.0082502888716847e-5,1.007419766027581e-5,1.0091914531467949e-5,2.992515135779412e-8,2.3141861986713132e-8,3.7304306959442577e-8
adjust/DeBruijn.Lazy.Par.FB/adjust/11,1.3142440951229039e-5,1.3131612484399133e-5,1.3155660998253953e-5,3.995903161488088e-8,3.335129653937203e-8,4.919717606483869e-8
adjust/DeBruijn.Lazy.Par.FB/adjust/12,1.648446830828525e-5,1.6472838085873715e-5,1.6501245607161e-5,4.6610353380838654e-8,3.7432240946556054e-8,5.9236854178555084e-8
adjust/DeBruijn.Lazy.Par.FB/adjust/13,2.1160227425181884e-5,2.1148514046073433e-5,2.1173774965670976e-5,4.5082041907609504e-8,3.73754071696738e-8,5.674476141506321e-8
adjust/DeBruijn.Lazy.Par.FB/adjust/14,2.629157833897084e-5,2.6275838934587772e-5,2.63125643872625e-5,6.002306592660789e-8,4.610304163069722e-8,8.24372149396892e-8
adjust/DeBruijn.Lazy.Par.FB/adjust/15,3.2066993036798266e-5,3.204869217519518e-5,3.209691756775477e-5,7.865635008159114e-8,6.179707200377469e-8,1.1266214372162739e-7
