Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
con/DeBruijn.Lazy.Par.FB/con/1,3.255157121234148e-8,3.250142424869317e-8,3.2618645824886965e-8,1.8593123377975256e-10,1.4792155959059113e-10,2.408124605062675e-10
con/DeBruijn.Lazy.Par.FB/con/2,6.574454590213498e-8,6.562729129233289e-8,6.588718019181011e-8,4.322243738943646e-10,3.5870020409212946e-10,5.284347467553642e-10
con/DeBruijn.Lazy.Par.FB/con/3,9.904820964800611e-8,9.893806606024581e-8,9.919123206211991e-8,4.34849881092322e-10,3.2530513668764343e-10,6.612507679327858e-10
con/DeBruijn.Lazy.Par.FB/con/4,1.3344727043187702e-7,1.3299406748210168e-7,1.3435239383469137e-7,2.042042927046038e-9,1.198932880103033e-9,3.734346436807399e-9
con/DeBruijn.Lazy.Par.FB/con/5,1.916730957593682e-7,1.914208479194114e-7,1.920559763417527e-7,1.055316317550096e-9,6.907445389213391e-10,1.5357133092259313e-9
con/DeBruijn.Lazy.Par.FB/con/6,2.137599469398878e-7,2.1357277306151121e-7,2.13999020531216e-7,7.158887771216353e-10,5.719849314795119e-10,9.154197268714686e-10
con/DeBruijn.Lazy.Par.FB/con/7,2.6715059650979853e-7,2.6670645498550895e-7,2.6782355146803164e-7,1.7910123515922202e-9,1.2373816614344444e-9,2.8247414321078393e-9
con/DeBruijn.Lazy.Par.FB/con/8,2.9483588869615735e-7,2.9438818376454756e-7,2.956027431239317e-7,1.859007930457609e-9,1.339096939781652e-9,2.7816232379489206e-9
con/DeBruijn.Lazy.Par.FB/con/9,3.295688561315235e-7,3.2910866330468e-7,3.3034697124074287e-7,1.9879326385652945e-9,1.3422295353088321e-9,2.9793063557287735e-9
con/DeBruijn.Lazy.Par.FB/con/10,3.6454024384037266e-7,3.625572400724823e-7,3.6818743714439353e-7,8.880531053899504e-9,5.143518650512971e-9,1.5476442171190505e-8
con/DeBruijn.Lazy.Par.FB/con/11,3.962780830206635e-7,3.9566213131454e-7,3.972510517769233e-7,2.526813501839227e-9,2.0392298047213366e-9,3.4901680776975497e-9
con/DeBruijn.Lazy.Par.FB/con/12,4.3664742059056216e-7,4.3617039368036573e-7,4.373490740137562e-7,1.9045688229350766e-9,1.4916000788256774e-9,2.6354479807127775e-9
con/DeBruijn.Lazy.Par.FB/con/13,4.7180942553775567e-7,4.711770329077793e-7,4.727320719718172e-7,2.6384773272685322e-9,2.055292003207596e-9,3.5088409572226937e-9
con/DeBruijn.Lazy.Par.FB/con/14,5.05500225256167e-7,5.044256270234314e-7,5.066143769164685e-7,3.759247490722804e-9,2.9370737088788533e-9,4.930145271469303e-9
con/DeBruijn.Lazy.Par.FB/con/15,5.402387918055534e-7,5.396040002100177e-7,5.41407213020064e-7,2.702186952626817e-9,1.961225171246022e-9,4.302943124511232e-9
con/DeBruijn.Lazy.Par.FB/con/16,5.850370665690198e-7,5.837699705780192e-7,5.879181223751689e-7,5.918763134801059e-9,3.4649475280034537e-9,1.0476910385989906e-8
con/DeBruijn.Lazy.Par.FB/con/17,6.216169142604665e-7,6.206382343973924e-7,6.227983841843214e-7,3.6042087669101893e-9,2.9854090460150926e-9,5.0086955183838675e-9
con/DeBruijn.Lazy.Par.FB/con/18,6.606616137081427e-7,6.599461731282855e-7,6.618462554579388e-7,3.1613114578829417e-9,2.215292302046041e-9,4.815132768080024e-9
con/DeBruijn.Lazy.Par.FB/con/19,6.941249408427557e-7,6.931709114272161e-7,6.952964068153708e-7,3.6061330813153056e-9,2.930721830950573e-9,4.669737214996239e-9
con/DeBruijn.Lazy.Par.FB/con/20,7.30035088496463e-7,7.285754615021123e-7,7.316223677761266e-7,5.366819364197296e-9,4.357391640981008e-9,6.7537503509941945e-9
