Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/DeBruijn.Lazy.Par.FB/ids/1,3.254958434417147e-8,3.2502784716406677e-8,3.262822143648163e-8,1.8670268843263835e-10,1.44415867902053e-10,2.575970518107556e-10
ids/DeBruijn.Lazy.Par.FB/ids/2,4.789030930548966e-8,4.779622100753566e-8,4.802252561993341e-8,3.7098102657541005e-10,2.664714449009746e-10,5.83906034965839e-10
ids/DeBruijn.Lazy.Par.FB/ids/3,6.289593785795482e-8,6.267080225457124e-8,6.328696937454507e-8,9.53243230956602e-10,6.23556226924462e-10,1.3109888775246354e-9
ids/DeBruijn.Lazy.Par.FB/ids/4,8.556395011742848e-8,8.54204120181014e-8,8.581432146759173e-8,6.337263384238457e-10,4.0093102291873965e-10,1.1098395022223026e-9
ids/DeBruijn.Lazy.Par.FB/ids/5,9.806860987258793e-8,9.79161034769298e-8,9.824993580944217e-8,5.755257095578742e-10,4.584739357778526e-10,7.210713991089016e-10
ids/DeBruijn.Lazy.Par.FB/ids/6,1.1253384034971377e-7,1.1231968078694785e-7,1.1276230682344058e-7,7.566403644045199e-10,5.763521130565291e-10,9.541460986207035e-10
ids/DeBruijn.Lazy.Par.FB/ids/7,1.2692146512191064e-7,1.267513371530349e-7,1.2712701208620698e-7,6.16439953572969e-10,5.059968513639779e-10,7.802731880094584e-10
ids/DeBruijn.Lazy.Par.FB/ids/8,1.4172060435540112e-7,1.4137468513997733e-7,1.422458158731368e-7,1.4278891212373223e-9,1.049912157381237e-9,2.1361912183141814e-9
ids/DeBruijn.Lazy.Par.FB/ids/9,1.546393303077605e-7,1.5445964576590763e-7,1.5489822761162724e-7,6.83373893473965e-10,4.995750559346889e-10,1.0834248885192955e-9
ids/DeBruijn.Lazy.Par.FB/ids/10,1.695109768997375e-7,1.6925949520089847e-7,1.6985028499533134e-7,1.0091107141215311e-9,7.509326103091273e-10,1.4794943066523661e-9
