Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/DeBruijn.Lazy.Par.Fun/adjust/1,2.478128713399279e-8,2.4730333349445412e-8,2.493445481808299e-8,2.770160061644255e-10,1.1023631977818761e-10,5.762303443448471e-10
adjust/DeBruijn.Lazy.Par.Fun/adjust/2,1.092020713555641e-7,1.0901252368389652e-7,1.0963539513310283e-7,8.753933537448043e-10,5.146500274395024e-10,1.6083832669692688e-9
adjust/DeBruijn.Lazy.Par.Fun/adjust/3,2.968962247074599e-7,2.9648529034436055e-7,2.9785795322977784e-7,1.987852681741451e-9,1.288984439988406e-9,3.5318939887380145e-9
adjust/DeBruijn.Lazy.Par.Fun/adjust/4,6.29210599100294e-7,6.279581041126931e-7,6.308749625405539e-7,4.79377093685737e-9,3.994425794051965e-9,5.60711433116535e-9
adjust/DeBruijn.Lazy.Par.Fun/adjust/5,1.1794438253137649e-6,1.1778911316251974e-6,1.1819019751817156e-6,6.610846606452613e-9,4.803374036383086e-9,9.939864499222434e-9
adjust/DeBruijn.Lazy.Par.Fun/adjust/6,2.0352798354110986e-6,2.0326310936454356e-6,2.039551925761717e-6,1.1520033566613368e-8,8.819372611630868e-9,1.6517108259751808e-8
adjust/DeBruijn.Lazy.Par.Fun/adjust/7,3.1882409718592136e-6,3.1848511912921047e-6,3.1945894968351193e-6,1.5107409651571633e-8,7.828858172493094e-9,2.4929615847702287e-8
adjust/DeBruijn.Lazy.Par.Fun/adjust/8,4.723423957708441e-6,4.7169063111869895e-6,4.7325354955498215e-6,2.4960936727608446e-8,1.7716556576279564e-8,3.282330444450747e-8
adjust/DeBruijn.Lazy.Par.Fun/adjust/9,6.873805020236227e-6,6.864316747092699e-6,6.883977741173321e-6,3.291703329140816e-8,2.7168695698126354e-8,4.1995507630138335e-8
adjust/DeBruijn.Lazy.Par.Fun/adjust/10,9.234543600805718e-6,9.22259986401996e-6,9.252806656828238e-6,5.0335992493951875e-8,2.7154854850082326e-8,7.860806128342065e-8
adjust/DeBruijn.Lazy.Par.Fun/adjust/11,1.218234674915531e-5,1.2168056344336217e-5,1.2203368905066617e-5,5.68401802135407e-8,3.849545524348651e-8,8.424759884304038e-8
adjust/DeBruijn.Lazy.Par.Fun/adjust/12,1.5837129994164146e-5,1.582185157153812e-5,1.586249624389396e-5,6.677802820504389e-8,4.962591201902364e-8,9.42590580350865e-8
adjust/DeBruijn.Lazy.Par.Fun/adjust/13,2.0121738632431195e-5,2.010227875502434e-5,2.015095907986279e-5,8.108308808610917e-8,5.438712087648169e-8,1.1582124978589827e-7
adjust/DeBruijn.Lazy.Par.Fun/adjust/14,2.4704248121560586e-5,2.4665380410782185e-5,2.4767022043888435e-5,1.598324596668927e-7,1.0209276895948356e-7,2.4956284482035073e-7
adjust/DeBruijn.Lazy.Par.Fun/adjust/15,3.073870605226632e-5,3.069763415602129e-5,3.080222189464379e-5,1.6672496479771584e-7,1.236825013781073e-7,2.3477783981910753e-7
adjust/DeBruijn.Lazy.Par.Fun/adjust/16,3.739563637817168e-5,3.734518941846738e-5,3.75317843683736e-5,2.5984791522749044e-7,1.2420268243616082e-7,5.04197162802616e-7
adjust/DeBruijn.Lazy.Par.Fun/adjust/17,4.447167699682536e-5,4.442702297906216e-5,4.456592190575085e-5,2.1335269343380058e-7,1.3861093805336147e-7,3.61612083444464e-7
adjust/DeBruijn.Lazy.Par.Fun/adjust/18,5.311452940691545e-5,5.3039277395274995e-5,5.3193552224915776e-5,2.6014987600147716e-7,2.091334147924612e-7,3.1794379102457056e-7
adjust/DeBruijn.Lazy.Par.Fun/adjust/19,6.277038652703347e-5,6.26708617168585e-5,6.297751020169361e-5,4.486853811618212e-7,2.7243351078903796e-7,7.537947617843119e-7
adjust/DeBruijn.Lazy.Par.Fun/adjust/20,7.336791468811749e-5,7.324516269090039e-5,7.35632095502403e-5,4.931217885644792e-7,3.232772256909583e-7,7.625969446684447e-7
