Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjustb/DeBruijn.Lazy.Par.Fun/adjustb/1,4.376849768268806e-8,4.3725074990385974e-8,4.384079847793232e-8,1.815607310467974e-10,1.086660358901968e-10,2.9061743776320405e-10
adjustb/DeBruijn.Lazy.Par.Fun/adjustb/2,1.8181909743205102e-7,1.8101037921281306e-7,1.8374489510943141e-7,4.110603032669409e-9,2.0797089591942003e-9,8.181577284058919e-9
adjustb/DeBruijn.Lazy.Par.Fun/adjustb/3,4.872072292905676e-7,4.858239978370604e-7,4.888635141747914e-7,5.276005893523785e-9,3.835100180191366e-9,7.993334695369352e-9
adjustb/DeBruijn.Lazy.Par.Fun/adjustb/4,1.0894843808788947e-6,1.0875819776923428e-6,1.091760360432564e-6,7.015777406268616e-9,5.907765394511251e-9,8.214221029147978e-9
adjustb/DeBruijn.Lazy.Par.Fun/adjustb/5,2.0103408623030348e-6,2.0071197058935122e-6,2.0163747281529886e-6,1.4566259023425286e-8,8.95665807671291e-9,2.9060381683543494e-8
adjustb/DeBruijn.Lazy.Par.Fun/adjustb/6,3.353977458398663e-6,3.3477933744014647e-6,3.363430183252595e-6,2.514030891586057e-8,1.9908605021417406e-8,3.2768983555565275e-8
adjustb/DeBruijn.Lazy.Par.Fun/adjustb/7,5.270769903516556e-6,5.263416134276556e-6,5.286297357819109e-6,3.434383431524048e-8,1.9579898050641467e-8,5.904067657270662e-8
adjustb/DeBruijn.Lazy.Par.Fun/adjustb/8,7.71925160872651e-6,7.692503091660028e-6,7.764556359710583e-6,1.1541141712953018e-7,7.746289406594608e-8,1.875235933111167e-7
adjustb/DeBruijn.Lazy.Par.Fun/adjustb/9,1.081376193423584e-5,1.0802778885852819e-5,1.0827662354212959e-5,4.25303302619417e-8,3.511988647334535e-8,5.4306353626001606e-8
adjustb/DeBruijn.Lazy.Par.Fun/adjustb/10,1.4679267207829344e-5,1.4662112056320421e-5,1.470654562696743e-5,7.053041046105421e-8,4.778365911147998e-8,1.0299174212390269e-7
adjustb/DeBruijn.Lazy.Par.Fun/adjustb/11,1.9452960631165122e-5,1.9426965815583884e-5,1.9495884974882064e-5,1.1106454668606497e-7,7.493351154353293e-8,1.8381348272640615e-7
adjustb/DeBruijn.Lazy.Par.Fun/adjustb/12,2.485526801453121e-5,2.482178478035581e-5,2.4897530131710725e-5,1.2461476129297574e-7,9.794147875757722e-8,1.6502877075170805e-7
adjustb/DeBruijn.Lazy.Par.Fun/adjustb/13,3.154504620594294e-5,3.1518565469867456e-5,3.159590480226541e-5,1.2250183006378575e-7,7.544857931100769e-8,2.269507373265384e-7
adjustb/DeBruijn.Lazy.Par.Fun/adjustb/14,3.899666747470102e-5,3.885053416498648e-5,3.9264709991042374e-5,6.929560087366377e-7,4.4908901711816675e-7,1.1504640367659014e-6
adjustb/DeBruijn.Lazy.Par.Fun/adjustb/15,4.738830335159787e-5,4.733806893597405e-5,4.7458587348772055e-5,1.8828347538295825e-7,1.4510269208151244e-7,2.3616883744772255e-7
adjustb/DeBruijn.Lazy.Par.Fun/adjustb/16,5.793049812206958e-5,5.773694426758863e-5,5.859450656001498e-5,1.0919430489794023e-6,2.1218734102836543e-7,2.2769368917818502e-6
adjustb/DeBruijn.Lazy.Par.Fun/adjustb/17,6.928676563556734e-5,6.921127600150843e-5,6.943188385081148e-5,3.507906485204615e-7,2.0694959978789209e-7,5.854732996630414e-7
adjustb/DeBruijn.Lazy.Par.Fun/adjustb/18,8.16927746303059e-5,8.159944961361393e-5,8.184250909688851e-5,3.8394262226171896e-7,2.864179109024741e-7,5.143464407808168e-7
adjustb/DeBruijn.Lazy.Par.Fun/adjustb/19,9.548681145675273e-5,9.538755563233653e-5,9.570455383300465e-5,5.091308142081221e-7,1.808095005713732e-7,8.904064842722912e-7
adjustb/DeBruijn.Lazy.Par.Fun/adjustb/20,1.1163403223859125e-4,1.1151994127154854e-4,1.118717142158014e-4,5.410902772411719e-7,3.312695677279993e-7,9.170806936821802e-7
