Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
con/DeBruijn.Lazy.Par.Fun/con/1,2.4008617159547844e-8,2.3954591794538743e-8,2.407386781866032e-8,1.934462043016954e-10,1.6074003475288567e-10,2.510603058306393e-10
con/DeBruijn.Lazy.Par.Fun/con/2,4.559200477568917e-8,4.551647815331094e-8,4.569102678331079e-8,2.789602506623773e-10,2.1571892333619684e-10,3.804634540169674e-10
con/DeBruijn.Lazy.Par.Fun/con/3,6.824529754258998e-8,6.813339940941741e-8,6.840902164701486e-8,4.918890000150893e-10,3.37347003898558e-10,7.912383176147624e-10
con/DeBruijn.Lazy.Par.Fun/con/4,9.003833062749233e-8,8.991735814537331e-8,9.022832618860393e-8,5.104373950440288e-10,3.4544487934461314e-10,7.643755000271835e-10
con/DeBruijn.Lazy.Par.Fun/con/5,1.1276135396598928e-7,1.125152361974534e-7,1.1331926290075552e-7,1.1819347420325696e-9,6.859116436437481e-10,2.1322670081690616e-9
con/DeBruijn.Lazy.Par.Fun/con/6,1.4640075457564533e-7,1.4625205637200276e-7,1.4666627725869754e-7,6.513800715868357e-10,4.450173280686933e-10,1.0771561112719454e-9
con/DeBruijn.Lazy.Par.Fun/con/7,1.779473235636075e-7,1.7759537015278417e-7,1.7851254812498726e-7,1.4312693824728561e-9,9.663371492121606e-10,1.9349298564241216e-9
con/DeBruijn.Lazy.Par.Fun/con/8,1.97154041672301e-7,1.9681356786623102e-7,1.9756128775758223e-7,1.3121778732817313e-9,1.072447012500942e-9,1.5910483903800042e-9
con/DeBruijn.Lazy.Par.Fun/con/9,2.2054062143672965e-7,2.2012598911926042e-7,2.2110033225308627e-7,1.5886762272680235e-9,1.2015905571548984e-9,2.2173629805248985e-9
con/DeBruijn.Lazy.Par.Fun/con/10,2.537744264909225e-7,2.534132453070128e-7,2.5422157833719594e-7,1.3318429488215426e-9,1.0604676887447214e-9,1.697011127202289e-9
con/DeBruijn.Lazy.Par.Fun/con/11,2.746464075546143e-7,2.7339971846421305e-7,2.7684947407923844e-7,5.764115038949322e-9,3.3731437158908097e-9,9.05611733515158e-9
con/DeBruijn.Lazy.Par.Fun/con/12,2.949425847994802e-7,2.9412643464475103e-7,2.9615385077982724e-7,3.1085571612839696e-9,2.039506641552547e-9,4.275581016330519e-9
con/DeBruijn.Lazy.Par.Fun/con/13,3.1948220900171526e-7,3.190324458744998e-7,3.200262949208217e-7,1.7200419825760844e-9,1.337101151158554e-9,2.16394800072646e-9
con/DeBruijn.Lazy.Par.Fun/con/14,3.4364407767430053e-7,3.4305910274264564e-7,3.4472695359277547e-7,2.6348264038174495e-9,1.6246626027369639e-9,4.590653252014392e-9
con/DeBruijn.Lazy.Par.Fun/con/15,3.690534608128611e-7,3.682136976956995e-7,3.699386948113856e-7,2.8832025124063995e-9,2.442769617896873e-9,3.5457503182229293e-9
con/DeBruijn.Lazy.Par.Fun/con/16,3.9065168134766e-7,3.903947069954904e-7,3.909595403675329e-7,9.670547383846992e-10,8.070356164102792e-10,1.1717341542881098e-9
con/DeBruijn.Lazy.Par.Fun/con/17,4.1326861998815e-7,4.1226612173082975e-7,4.143527809784642e-7,3.4945445962621003e-9,2.7844891462191013e-9,4.2540436551943785e-9
con/DeBruijn.Lazy.Par.Fun/con/18,4.372393085842089e-7,4.3665668726984595e-7,4.382357507504626e-7,2.481495689465105e-9,1.7752298714086916e-9,3.827131467252887e-9
con/DeBruijn.Lazy.Par.Fun/con/19,4.6403030357735496e-7,4.6326582075230536e-7,4.652229658862598e-7,3.2940739990549296e-9,2.139734464629142e-9,5.358477069666069e-9
con/DeBruijn.Lazy.Par.Fun/con/20,4.862633878618307e-7,4.854595072003743e-7,4.875599818054018e-7,3.4570012233422394e-9,2.4421807942501896e-9,5.3031439733029045e-9
