Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/DeBruijn.Lazy.Par.Fun/ids/1,2.506021834496961e-8,2.5018127621394418e-8,2.510826030509684e-8,1.5450929928995305e-10,1.2196998026646624e-10,2.1338377622922366e-10
ids/DeBruijn.Lazy.Par.Fun/ids/2,3.49930015939028e-8,3.4944123683578724e-8,3.5091062277637905e-8,2.2941448309800376e-10,1.565982031933935e-10,3.6503683276333943e-10
ids/DeBruijn.Lazy.Par.Fun/ids/3,4.485490914314334e-8,4.480760494027611e-8,4.49267612202543e-8,1.9510385430567122e-10,1.3136897808064926e-10,3.022557196235302e-10
ids/DeBruijn.Lazy.Par.Fun/ids/4,6.412879675826602e-8,6.405927805637943e-8,6.423668558615698e-8,2.9586722978214746e-10,1.9632014588103664e-10,4.1187875054152247e-10
ids/DeBruijn.Lazy.Par.Fun/ids/5,6.907942250311959e-8,6.895777535266687e-8,6.927757931453863e-8,5.223436192067157e-10,3.45118946328691e-10,7.510197077609764e-10
ids/DeBruijn.Lazy.Par.Fun/ids/6,7.754522287218794e-8,7.746452883139355e-8,7.767324950127312e-8,3.3182659703920195e-10,2.0338003705853486e-10,5.684476423577517e-10
ids/DeBruijn.Lazy.Par.Fun/ids/7,8.747383945006726e-8,8.738632913522819e-8,8.756526683962779e-8,3.190832152026985e-10,2.507871335199123e-10,4.3006153424028447e-10
ids/DeBruijn.Lazy.Par.Fun/ids/8,9.715850303029865e-8,9.70623603302614e-8,9.733792223933676e-8,4.3394536521611377e-10,2.609608161892672e-10,7.926887833286118e-10
ids/DeBruijn.Lazy.Par.Fun/ids/9,1.0637598619775346e-7,1.0626373780423743e-7,1.0661102228413794e-7,5.49348612434296e-10,3.5078418583573943e-10,9.154610045683837e-10
ids/DeBruijn.Lazy.Par.Fun/ids/10,1.1576137365574726e-7,1.156428831475502e-7,1.1601308605465973e-7,5.551551707646549e-10,2.8099745826580956e-10,9.047540267046239e-10
