Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/DeBruijn.Lazy.Par.GB/adjust/1,7.782908750088601e-8,7.770780062635381e-8,7.79961374848315e-8,4.869119424821699e-10,3.5401540937695413e-10,6.595728639130315e-10
adjust/DeBruijn.Lazy.Par.GB/adjust/2,1.9897790884478286e-7,1.9876253599328298e-7,1.9928293635493415e-7,9.006369470341388e-10,6.764133877664277e-10,1.2418287280085029e-9
adjust/DeBruijn.Lazy.Par.GB/adjust/3,4.4326099707553785e-7,4.4232348934128933e-7,4.445901475283822e-7,3.869752197142955e-9,2.9209378396892757e-9,5.882153682100779e-9
adjust/DeBruijn.Lazy.Par.GB/adjust/4,8.684674909108175e-7,8.672325042722287e-7,8.697623816002024e-7,4.327905960394791e-9,3.6051853393231884e-9,5.279723714181219e-9
adjust/DeBruijn.Lazy.Par.GB/adjust/5,1.5691657616640397e-6,1.566979886581568e-6,1.571668983187234e-6,8.289734247064972e-9,6.479555136460426e-9,1.1199345793943667e-8
adjust/DeBruijn.Lazy.Par.GB/adjust/6,2.587646697768243e-6,2.5840953738356433e-6,2.5948783789942346e-6,1.70215933067979e-8,1.0145694481629075e-8,3.1421202993032634e-8
adjust/DeBruijn.Lazy.Par.GB/adjust/7,3.990860567542535e-6,3.98525739555761e-6,4.0004733179196895e-6,2.4191640189087675e-8,1.4557620892623063e-8,4.199081872339732e-8
adjust/DeBruijn.Lazy.Par.GB/adjust/8,5.7303978221275345e-6,5.72682807185459e-6,5.7347772312331465e-6,1.3240027652674198e-8,1.1387316801819656e-8,1.5555969500328585e-8
adjust/DeBruijn.Lazy.Par.GB/adjust/9,8.027258154682528e-6,8.01925597887162e-6,8.036752148498534e-6,2.8247041491586623e-8,2.3506950561402817e-8,3.616208891008252e-8
adjust/DeBruijn.Lazy.Par.GB/adjust/10,1.0787133196662078e-5,1.077726131957307e-5,1.0800568627156781e-5,3.7118748462235675e-8,2.8553407319551876e-8,5.432876555310997e-8
adjust/DeBruijn.Lazy.Par.GB/adjust/11,1.3929123932697238e-5,1.3914150749272123e-5,1.395502552514112e-5,6.296203298480513e-8,3.956538285819534e-8,9.874409738122204e-8
adjust/DeBruijn.Lazy.Par.GB/adjust/12,1.8033598899807814e-5,1.8006845891261225e-5,1.8085173817927063e-5,1.2413321164485896e-7,7.512101801372322e-8,2.141856782744677e-7
adjust/DeBruijn.Lazy.Par.GB/adjust/13,2.2730714933188657e-5,2.27052156841729e-5,2.2774038457567455e-5,1.0799840979666004e-7,7.546479132239255e-8,1.5842759546161631e-7
adjust/DeBruijn.Lazy.Par.GB/adjust/14,2.8039571873325953e-5,2.8020883963586417e-5,2.8071559712401433e-5,8.066034004238624e-8,5.6124926481200513e-8,1.324760272663963e-7
adjust/DeBruijn.Lazy.Par.GB/adjust/15,3.4372394641046664e-5,3.4321390142344726e-5,3.4461590931941754e-5,2.2801628800543674e-7,1.6442402085162673e-7,3.1858593902230146e-7
adjust/DeBruijn.Lazy.Par.GB/adjust/16,4.1017744431095595e-5,4.0975215437794543e-5,4.108615776131319e-5,1.737553835482738e-7,1.2682398379599491e-7,2.683611503144343e-7
adjust/DeBruijn.Lazy.Par.GB/adjust/17,4.936316149948675e-5,4.931785316945841e-5,4.942016485516377e-5,1.6766076450499832e-7,1.2326352368150458e-7,2.6169868811736676e-7
adjust/DeBruijn.Lazy.Par.GB/adjust/18,5.88610710073078e-5,5.8688457503631216e-5,5.910843766511657e-5,6.70833440682512e-7,4.894920408818417e-7,9.793777552072827e-7
adjust/DeBruijn.Lazy.Par.GB/adjust/19,6.907903870093264e-5,6.893487665244968e-5,6.927175090692528e-5,5.370818617460268e-7,4.430858501486408e-7,6.403706922674004e-7
adjust/DeBruijn.Lazy.Par.GB/adjust/20,8.030478126918224e-5,8.024631488018081e-5,8.039134889042578e-5,2.350939406478966e-7,1.8505847396480487e-7,3.4883619925782653e-7
