Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjustb/DeBruijn.Lazy.Par.GB/adjustb/1,1.3964732944585766e-7,1.3950129189216964e-7,1.3989911502766886e-7,6.333546183504729e-10,4.5434479244366016e-10,1.023656038482149e-9
adjustb/DeBruijn.Lazy.Par.GB/adjustb/2,3.7401481096093387e-7,3.736559426930298e-7,3.745782714419925e-7,1.456359589548382e-9,1.0965742763993385e-9,2.0123209385351343e-9
adjustb/DeBruijn.Lazy.Par.GB/adjustb/3,7.797279049723294e-7,7.788185662801155e-7,7.812512076273913e-7,4.069137818996797e-9,2.390309957265004e-9,6.9023052775588754e-9
adjustb/DeBruijn.Lazy.Par.GB/adjustb/4,1.4008935304726616e-6,1.3959649703253088e-6,1.4150306728141968e-6,2.583419843271044e-8,1.1958280445489817e-8,5.18975461460612e-8
adjustb/DeBruijn.Lazy.Par.GB/adjustb/5,2.308121189981265e-6,2.305393593598557e-6,2.3120573039889365e-6,1.1877530449538897e-8,7.30774484415579e-9,1.9510514058954088e-8
adjustb/DeBruijn.Lazy.Par.GB/adjustb/6,3.5176988552862624e-6,3.5087363298196432e-6,3.5400146157013604e-6,4.6213289050875506e-8,1.771580333133262e-8,8.218378193105753e-8
adjustb/DeBruijn.Lazy.Par.GB/adjustb/7,5.212931141538138e-6,5.206016163765315e-6,5.225539110454738e-6,3.10200882834738e-8,2.210180901458588e-8,4.7564970425552555e-8
adjustb/DeBruijn.Lazy.Par.GB/adjustb/8,7.185338400154111e-6,7.174717100386686e-6,7.200426916138507e-6,4.295353247066366e-8,3.068827234632993e-8,6.319689193844838e-8
adjustb/DeBruijn.Lazy.Par.GB/adjustb/9,9.776230143763418e-6,9.750774954533846e-6,9.864220917046225e-6,1.5023260764191372e-7,3.4163880722191e-8,3.146343722627685e-7
adjustb/DeBruijn.Lazy.Par.GB/adjustb/10,1.310726510885375e-5,1.3086063540313627e-5,1.313707008071568e-5,8.367271949193359e-8,6.572003404469466e-8,1.0909939284338251e-7
adjustb/DeBruijn.Lazy.Par.GB/adjustb/11,1.6832508692871057e-5,1.6822978624428414e-5,1.6847784854859858e-5,4.17281203513166e-8,2.6831105440379785e-8,6.124556652905408e-8
adjustb/DeBruijn.Lazy.Par.GB/adjustb/12,2.1166849764604264e-5,2.1144944880375717e-5,2.1202810929861955e-5,9.528170806433789e-8,6.366305415237163e-8,1.561959129130065e-7
adjustb/DeBruijn.Lazy.Par.GB/adjustb/13,2.6525009827714178e-5,2.6497497671488537e-5,2.656501139051076e-5,1.121845931931834e-7,7.512228029815397e-8,1.9294204564630397e-7
adjustb/DeBruijn.Lazy.Par.GB/adjustb/14,3.240167356257658e-5,3.230519247554545e-5,3.2671105447555174e-5,4.565368370007424e-7,2.444550728879046e-7,8.655651311012532e-7
adjustb/DeBruijn.Lazy.Par.GB/adjustb/15,3.875969022045969e-5,3.8689623219939775e-5,3.885169335413318e-5,2.712525286318315e-7,1.9481959226071054e-7,3.6266461105000056e-7
adjustb/DeBruijn.Lazy.Par.GB/adjustb/16,4.564494252435802e-5,4.559219963286512e-5,4.570285315235612e-5,1.8591062308443562e-7,1.358308462668734e-7,2.4514180618457713e-7
adjustb/DeBruijn.Lazy.Par.GB/adjustb/17,5.3542681664336255e-5,5.348160024690237e-5,5.3620638695659564e-5,2.2214358993230388e-7,1.661409683784806e-7,3.09587792710677e-7
adjustb/DeBruijn.Lazy.Par.GB/adjustb/18,6.311369703745554e-5,6.303500522949858e-5,6.320962873216939e-5,3.0367072517494846e-7,2.2233346504195069e-7,4.082769811856113e-7
adjustb/DeBruijn.Lazy.Par.GB/adjustb/19,7.28874853247541e-5,7.280646483297934e-5,7.3022511413526e-5,3.392613528927578e-7,2.5202168238483165e-7,5.057480787295497e-7
adjustb/DeBruijn.Lazy.Par.GB/adjustb/20,8.380382712840202e-5,8.367882169801499e-5,8.403067420393776e-5,5.805734006858802e-7,3.859900025197986e-7,1.0102833454095567e-6
