Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/DeBruijn.Lazy.Par.GB/ids/1,4.199038644801915e-8,4.192845453424913e-8,4.2148929169999165e-8,3.3595681477164053e-10,1.513186928079441e-10,6.748661214465884e-10
ids/DeBruijn.Lazy.Par.GB/ids/2,5.7519754465618944e-8,5.746195178095135e-8,5.7626108275863845e-8,2.6317030438396184e-10,1.7673924660068659e-10,3.8320660760323607e-10
ids/DeBruijn.Lazy.Par.GB/ids/3,8.372749336532673e-8,8.35992740794559e-8,8.394865768863526e-8,5.380255980427209e-10,3.8812392646305385e-10,8.706979534430119e-10
ids/DeBruijn.Lazy.Par.GB/ids/4,9.449577484222238e-8,9.437068801444576e-8,9.465149687377483e-8,4.57369067572359e-10,3.425324271721582e-10,7.381887544993652e-10
ids/DeBruijn.Lazy.Par.GB/ids/5,1.0887498700881713e-7,1.0879239674262033e-7,1.089960439045729e-7,3.218565295442023e-10,2.473860494585732e-10,4.6366421401789186e-10
ids/DeBruijn.Lazy.Par.GB/ids/6,1.2472866283578583e-7,1.2459375873172464e-7,1.2494532635314572e-7,5.479093271937049e-10,3.2682886862420185e-10,8.432010090541867e-10
ids/DeBruijn.Lazy.Par.GB/ids/7,1.402438441072021e-7,1.399274505832642e-7,1.4080486279249154e-7,1.4445603475842758e-9,7.464272521506494e-10,2.5739244524105593e-9
ids/DeBruijn.Lazy.Par.GB/ids/8,1.5356311696106987e-7,1.5348978270405994e-7,1.5368258841277186e-7,3.0991804950538637e-10,2.219319125944344e-10,4.847707267375204e-10
ids/DeBruijn.Lazy.Par.GB/ids/9,1.7082359115712773e-7,1.7050739254535179e-7,1.7145337212558565e-7,1.5274449795393591e-9,1.0347533925310128e-9,2.686257676202201e-9
ids/DeBruijn.Lazy.Par.GB/ids/10,1.85272284538178e-7,1.8510706194309408e-7,1.8551436745234705e-7,6.911204297310693e-10,4.650122317095165e-10,9.598685756533905e-10
