Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/DeBruijn.Lazy.Par.L/adjust/1,2.9511315142591187e-8,2.947307353341361e-8,2.957948620513458e-8,1.688320009396023e-10,1.1216905361132182e-10,3.242624164691418e-10
adjust/DeBruijn.Lazy.Par.L/adjust/2,1.2575269235459708e-7,1.2558258040167777e-7,1.260546893692151e-7,7.069971153092935e-10,4.654666502102577e-10,1.13823570579506e-9
adjust/DeBruijn.Lazy.Par.L/adjust/3,3.0623306653377985e-7,3.060911307189269e-7,3.0650408866681065e-7,6.287252231663385e-10,4.2000961001333146e-10,9.999119616587792e-10
adjust/DeBruijn.Lazy.Par.L/adjust/4,5.684339470491585e-7,5.677597492269437e-7,5.693639761314691e-7,2.6539918016106687e-9,2.186008912444658e-9,3.412122155147431e-9
adjust/DeBruijn.Lazy.Par.L/adjust/5,9.80847762102404e-7,9.792504163325183e-7,9.826975134444762e-7,5.6448171352098434e-9,4.617233946994579e-9,7.534102186488385e-9
adjust/DeBruijn.Lazy.Par.L/adjust/6,1.4645813281401225e-6,1.4638043619867852e-6,1.4653252253308105e-6,2.6283534612545737e-9,2.021140778051597e-9,3.438238618851127e-9
adjust/DeBruijn.Lazy.Par.L/adjust/7,2.078644956893619e-6,2.07494798139742e-6,2.084483115628597e-6,1.612812422142979e-8,1.2526721918662997e-8,2.17076489075093e-8
adjust/DeBruijn.Lazy.Par.L/adjust/8,2.896693172605797e-6,2.8925380092391068e-6,2.909755535031655e-6,1.9122448130424106e-8,9.977303795195609e-9,3.858309712403158e-8
adjust/DeBruijn.Lazy.Par.L/adjust/9,3.824680018383612e-6,3.821484560185634e-6,3.832978403666285e-6,1.609804839484168e-8,8.443237661599266e-9,3.1385503991610385e-8
adjust/DeBruijn.Lazy.Par.L/adjust/10,4.9102828870392385e-6,4.904270878065871e-6,4.916793301414178e-6,2.129340785286644e-8,1.8851993464790844e-8,2.4524964994844946e-8
adjust/DeBruijn.Lazy.Par.L/adjust/11,6.242602308083817e-6,6.233855902212016e-6,6.254656965172478e-6,3.3339367637941474e-8,2.434965284954702e-8,4.899435500995569e-8
adjust/DeBruijn.Lazy.Par.L/adjust/12,7.71083253902172e-6,7.706909704052033e-6,7.715639178112641e-6,1.4440015939068052e-8,1.1622330890586079e-8,1.8734779149729575e-8
adjust/DeBruijn.Lazy.Par.L/adjust/13,9.313367989535181e-6,9.301305394282374e-6,9.333444870830258e-6,5.425778389787811e-8,3.576681420569994e-8,8.501649487597075e-8
adjust/DeBruijn.Lazy.Par.L/adjust/14,1.1120674704560375e-5,1.1099746173766499e-5,1.1160756293557907e-5,9.703327710980707e-8,5.861361947228205e-8,1.5527575641332075e-7
adjust/DeBruijn.Lazy.Par.L/adjust/15,1.3053799989085071e-5,1.3046978573391119e-5,1.3063599415210694e-5,2.6922992467030094e-8,2.170763507579937e-8,3.4438756428843957e-8
adjust/DeBruijn.Lazy.Par.L/adjust/16,1.5325553828995373e-5,1.5306511406582594e-5,1.5351920627664488e-5,7.491162591857526e-8,5.6729565856478e-8,9.94849233006311e-8
adjust/DeBruijn.Lazy.Par.L/adjust/17,1.7669797244870672e-5,1.765464571067105e-5,1.769003014218456e-5,5.8235912047540026e-8,4.2014441893524415e-8,8.908266945141751e-8
adjust/DeBruijn.Lazy.Par.L/adjust/18,2.039726360859595e-5,2.0375968613876485e-5,2.045291329541016e-5,1.0296382244845771e-7,5.4491737211617426e-8,1.8938012693192052e-7
adjust/DeBruijn.Lazy.Par.L/adjust/19,2.3481790486644442e-5,2.3464772769664256e-5,2.3505552433172598e-5,6.87690135469812e-8,5.4247251264801624e-8,9.595531452423662e-8
adjust/DeBruijn.Lazy.Par.L/adjust/20,2.6745080694284214e-5,2.667302462811847e-5,2.6926316253604318e-5,3.708444340323409e-7,1.403498299268853e-7,7.012629919829947e-7
