Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjustb/DeBruijn.Lazy.Par.L/adjustb/1,4.774358261164457e-8,4.758035643570953e-8,4.8259879618810773e-8,9.208465933285274e-10,2.1103820557550088e-10,1.9149896818917857e-9
adjustb/DeBruijn.Lazy.Par.L/adjustb/2,2.0276145918621884e-7,2.024924102834855e-7,2.032023382468752e-7,1.1305922925730545e-9,7.151429387136224e-10,1.717135747992533e-9
adjustb/DeBruijn.Lazy.Par.L/adjustb/3,4.616440011149754e-7,4.6136396910162494e-7,4.6194550338653594e-7,9.34930653167797e-10,7.624253560760427e-10,1.1667119069330908e-9
adjustb/DeBruijn.Lazy.Par.L/adjustb/4,8.233363948339938e-7,8.22202781905041e-7,8.253850911703719e-7,4.957731421045337e-9,3.3437017672764485e-9,7.666740149340903e-9
adjustb/DeBruijn.Lazy.Par.L/adjustb/5,1.3015687230427801e-6,1.2990816110635835e-6,1.3093388887904341e-6,1.3044528500707468e-8,5.037328404128589e-9,2.5432288438039867e-8
adjustb/DeBruijn.Lazy.Par.L/adjustb/6,1.8868362969823499e-6,1.8852894772718783e-6,1.8885529536788858e-6,5.471385646977536e-9,4.425664593338744e-9,7.136859582762938e-9
adjustb/DeBruijn.Lazy.Par.L/adjustb/7,2.614361707049172e-6,2.611345254050564e-6,2.619202063048777e-6,1.2800542255563323e-8,1.0012246923402619e-8,1.7079917319466637e-8
adjustb/DeBruijn.Lazy.Par.L/adjustb/8,3.5232728202536757e-6,3.518514821238054e-6,3.532527378334193e-6,2.080842039884934e-8,1.1075137908226453e-8,3.248227346303243e-8
adjustb/DeBruijn.Lazy.Par.L/adjustb/9,4.6279534997556055e-6,4.625001048064921e-6,4.630857749462266e-6,9.402564387743582e-9,7.4079082159179855e-9,1.2781724189694795e-8
adjustb/DeBruijn.Lazy.Par.L/adjustb/10,5.971545534935956e-6,5.9637128345477135e-6,5.982937174232669e-6,3.1989438959345754e-8,2.3458994304066617e-8,4.309096052887239e-8
adjustb/DeBruijn.Lazy.Par.L/adjustb/11,7.521282732303836e-6,7.506665353944031e-6,7.555522744841748e-6,7.312240667348608e-8,3.616593849426693e-8,1.3485636401789823e-7
adjustb/DeBruijn.Lazy.Par.L/adjustb/12,9.131527062074226e-6,9.122583526985924e-6,9.148585858254057e-6,4.151506535514606e-8,2.615565786441176e-8,7.153544583953144e-8
adjustb/DeBruijn.Lazy.Par.L/adjustb/13,1.1176518199540254e-5,1.115734796304702e-5,1.1199571558500831e-5,7.352686816562547e-8,5.726533448991353e-8,1.0762016126241031e-7
adjustb/DeBruijn.Lazy.Par.L/adjustb/14,1.3392800435730324e-5,1.3373972450899278e-5,1.3423142837095645e-5,7.732269241333558e-8,5.266771499085376e-8,1.229429017328475e-7
adjustb/DeBruijn.Lazy.Par.L/adjustb/15,1.5740391411235402e-5,1.5728542657614214e-5,1.5755322745642326e-5,4.686474136030145e-8,3.284686549084814e-8,6.529611148099284e-8
adjustb/DeBruijn.Lazy.Par.L/adjustb/16,1.8354679573394036e-5,1.8323534374646584e-5,1.8395384066303794e-5,1.1609935842910418e-7,7.410713988587203e-8,1.790325321379324e-7
adjustb/DeBruijn.Lazy.Par.L/adjustb/17,2.1160318089055737e-5,2.1121885740164556e-5,2.12335899866778e-5,1.7849616409203995e-7,1.0864832613802787e-7,2.645648768571229e-7
adjustb/DeBruijn.Lazy.Par.L/adjustb/18,2.430670446350133e-5,2.4295704692619135e-5,2.431965169583656e-5,4.103234631481237e-8,3.30832981746543e-8,5.175289180189515e-8
adjustb/DeBruijn.Lazy.Par.L/adjustb/19,2.7811939684901484e-5,2.7780149955469623e-5,2.7865390495348044e-5,1.4001072793615724e-7,8.320185069269349e-8,2.7161445735571975e-7
adjustb/DeBruijn.Lazy.Par.L/adjustb/20,3.1758122199152594e-5,3.171920846974658e-5,3.181195696799061e-5,1.5336852912382882e-7,1.1403536497527262e-7,2.2114077928201973e-7
