Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
con/DeBruijn.Lazy.Par.L/con/1,2.7118845755512466e-8,2.7059353817803247e-8,2.7189897835146485e-8,2.1910604547899027e-10,1.9112285116041488e-10,2.5744158816299134e-10
con/DeBruijn.Lazy.Par.L/con/2,5.692661495797228e-8,5.6835026629878066e-8,5.70762868464297e-8,3.8812324310339643e-10,2.6105728341944027e-10,6.42314552159211e-10
con/DeBruijn.Lazy.Par.L/con/3,9.138592932539695e-8,9.118514060503142e-8,9.16531560418962e-8,7.458037643016956e-10,5.937453580038738e-10,9.52535088307826e-10
con/DeBruijn.Lazy.Par.L/con/4,1.450951462057064e-7,1.4474480710043066e-7,1.4551550642540565e-7,1.2928156815411935e-9,1.0923671781413929e-9,1.5499097107124846e-9
con/DeBruijn.Lazy.Par.L/con/5,1.930970295592456e-7,1.9232262850620822e-7,1.9386384538405455e-7,2.559169293563518e-9,2.2898301952085437e-9,2.89694089707339e-9
con/DeBruijn.Lazy.Par.L/con/6,2.4329121037148234e-7,2.4297897236522287e-7,2.4367949336081855e-7,1.151205488066004e-9,9.241260856080471e-10,1.5003382942689452e-9
con/DeBruijn.Lazy.Par.L/con/7,3.035340256594673e-7,3.030532432346394e-7,3.0406808007005446e-7,1.6504862342971835e-9,1.396861345877758e-9,2.018071942424676e-9
con/DeBruijn.Lazy.Par.L/con/8,3.8313336372677406e-7,3.8220227671998776e-7,3.851255075862985e-7,4.406881800254396e-9,2.5466551509036287e-9,7.892817772487339e-9
con/DeBruijn.Lazy.Par.L/con/9,4.5656168274177457e-7,4.554311612357233e-7,4.5852176399425404e-7,4.8776524991259596e-9,3.2896854343594752e-9,7.845791091173784e-9
con/DeBruijn.Lazy.Par.L/con/10,5.438817950432779e-7,5.428243340661452e-7,5.458036224678575e-7,4.663353162035529e-9,3.4630910984139534e-9,8.141868440888408e-9
con/DeBruijn.Lazy.Par.L/con/11,6.230272595359352e-7,6.221438044106755e-7,6.242366616445206e-7,3.4614720565763616e-9,2.7252846535968954e-9,4.532167202253228e-9
con/DeBruijn.Lazy.Par.L/con/12,7.092754656167583e-7,7.085463412125464e-7,7.100735132177656e-7,2.528827914338545e-9,2.062962132409162e-9,3.1895386942210587e-9
con/DeBruijn.Lazy.Par.L/con/13,8.080081313525961e-7,8.066111196982311e-7,8.095292525925119e-7,5.022138426170339e-9,4.2585713264396985e-9,6.250214401035098e-9
con/DeBruijn.Lazy.Par.L/con/14,9.152465109665332e-7,9.128797075031408e-7,9.190027498627433e-7,9.401036226423187e-9,6.022281170390747e-9,1.5730350339120564e-8
con/DeBruijn.Lazy.Par.L/con/15,1.0088956592191867e-6,1.0072299694856604e-6,1.0152652407088765e-6,9.90997695190424e-9,2.4340458830748476e-9,2.051560973511693e-8
con/DeBruijn.Lazy.Par.L/con/16,1.1267582961235892e-6,1.124262441717911e-6,1.1299905804002677e-6,9.494453990972045e-9,7.3784174508118354e-9,1.212454607472327e-8
con/DeBruijn.Lazy.Par.L/con/17,1.2397911657552842e-6,1.2378493091569417e-6,1.2425796893025266e-6,8.34154135285568e-9,6.209065391071393e-9,1.2088964458311848e-8
con/DeBruijn.Lazy.Par.L/con/18,1.354029548906843e-6,1.352603810781157e-6,1.3554648888700581e-6,5.0981532174144155e-9,4.0394007132748635e-9,6.868998970721107e-9
con/DeBruijn.Lazy.Par.L/con/19,1.4996405831139341e-6,1.4961655630397588e-6,1.5043040224541218e-6,1.3267022940603793e-8,1.0352529078200144e-8,1.757822981568688e-8
con/DeBruijn.Lazy.Par.L/con/20,1.6215475224027522e-6,1.6169202564381785e-6,1.6278076197893107e-6,1.728087429020936e-8,1.0837116239994494e-8,2.561571916608422e-8
