Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/DeBruijn.Lazy.Par.L/ids/1,2.8726008579112573e-8,2.868708229146453e-8,2.8775687922560627e-8,1.5149155909923183e-10,1.1429064609910427e-10,2.1094886248722978e-10
ids/DeBruijn.Lazy.Par.L/ids/2,4.184810812493835e-8,4.1815786362573485e-8,4.1913845476958814e-8,1.4644051103310052e-10,8.808774064862744e-11,2.749502820774069e-10
ids/DeBruijn.Lazy.Par.L/ids/3,5.561029742855184e-8,5.5441005021951314e-8,5.6114323653418556e-8,8.338406485033097e-10,3.8668066280748475e-10,1.6413298308780336e-9
ids/DeBruijn.Lazy.Par.L/ids/4,7.705984018634768e-8,7.697058236616324e-8,7.721714900388257e-8,3.9479044361914036e-10,2.50108964212559e-10,6.936125360558725e-10
ids/DeBruijn.Lazy.Par.L/ids/5,8.678013910779179e-8,8.667349368483833e-8,8.69822100812391e-8,4.646072685204082e-10,3.063257170298814e-10,6.96970595870334e-10
ids/DeBruijn.Lazy.Par.L/ids/6,9.990994863852385e-8,9.98465817644401e-8,1.0006273630550417e-7,3.0648639454228334e-10,1.5345573695631434e-10,5.553328802051896e-10
ids/DeBruijn.Lazy.Par.L/ids/7,1.128285864664898e-7,1.127114796276682e-7,1.1301366223253709e-7,5.004710600472115e-10,3.5214324182168145e-10,6.832464418014659e-10
ids/DeBruijn.Lazy.Par.L/ids/8,1.2552953198748663e-7,1.2539948613266065e-7,1.257401507530411e-7,5.774423560733246e-10,3.9661319112810073e-10,8.961766157371027e-10
ids/DeBruijn.Lazy.Par.L/ids/9,1.3789068272335972e-7,1.377938055666033e-7,1.3803589944779118e-7,4.147154270525194e-10,2.992126312574815e-10,5.922663472713916e-10
ids/DeBruijn.Lazy.Par.L/ids/10,1.506455698217231e-7,1.5044679563432796e-7,1.5092542957771642e-7,8.180546480449099e-10,5.833759132621404e-10,1.3142530332879519e-9
