Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/DeBruijn.Lazy.Par.P/adjust/1,2.8485178700155906e-8,2.844235739990255e-8,2.857906544481874e-8,1.9785143129504405e-10,1.2215256445985247e-10,3.41191311672169e-10
adjust/DeBruijn.Lazy.Par.P/adjust/2,1.2267668297771294e-7,1.2251233269940034e-7,1.2291765464064096e-7,6.578313524820185e-10,4.705719998450233e-10,9.593128253259482e-10
adjust/DeBruijn.Lazy.Par.P/adjust/3,3.3937209019257486e-7,3.3824870668461255e-7,3.417142963612779e-7,5.034406056820269e-9,3.3011496428307547e-9,7.682742919006884e-9
adjust/DeBruijn.Lazy.Par.P/adjust/4,6.90198039695124e-7,6.886827369604323e-7,6.937503368938549e-7,7.104524624368991e-9,4.1774014778218565e-9,1.2815719220895357e-8
adjust/DeBruijn.Lazy.Par.P/adjust/5,1.3098821888992772e-6,1.3071842349716437e-6,1.3131703432053884e-6,9.982885848676628e-9,8.260448788985033e-9,1.2912982478861423e-8
adjust/DeBruijn.Lazy.Par.P/adjust/6,2.222283233423142e-6,2.2207642648501123e-6,2.2240012008684675e-6,5.704718438094553e-9,4.447559756478578e-9,8.114660443922589e-9
adjust/DeBruijn.Lazy.Par.P/adjust/7,3.5020492909738045e-6,3.4957514128968787e-6,3.5086707341421155e-6,2.166595851990041e-8,1.75912617157454e-8,2.7220255042439663e-8
adjust/DeBruijn.Lazy.Par.P/adjust/8,5.29504901806308e-6,5.285052418775618e-6,5.306897128332873e-6,3.767686279977e-8,3.1234336918633445e-8,4.5470300488669705e-8
adjust/DeBruijn.Lazy.Par.P/adjust/9,7.563272828791818e-6,7.535428588537588e-6,7.626386695175825e-6,1.3323398744244805e-7,6.842300132948048e-8,2.372098320229131e-7
adjust/DeBruijn.Lazy.Par.P/adjust/10,1.0226107472433202e-5,1.0212459965944171e-5,1.0247900778781701e-5,5.5925569550387344e-8,3.702603985084378e-8,8.759393893739793e-8
adjust/DeBruijn.Lazy.Par.P/adjust/11,1.3526234732329237e-5,1.349842832657793e-5,1.3556587450741923e-5,9.469770985844371e-8,7.676872970496766e-8,1.3193485951900288e-7
adjust/DeBruijn.Lazy.Par.P/adjust/12,1.7635612844277655e-5,1.7611953745281124e-5,1.7672167000114458e-5,9.677391069252409e-8,7.48293474697125e-8,1.3619016442221013e-7
adjust/DeBruijn.Lazy.Par.P/adjust/13,2.2556696282450268e-5,2.252157238972873e-5,2.2601511051370577e-5,1.3750334178739156e-7,1.1608886522021617e-7,1.6306225784371103e-7
adjust/DeBruijn.Lazy.Par.P/adjust/14,2.7782788700495554e-5,2.7735595632146864e-5,2.7836661802186663e-5,1.6982673874194507e-7,1.3421296584014177e-7,2.1455253664185485e-7
adjust/DeBruijn.Lazy.Par.P/adjust/15,3.4063242767519346e-5,3.388940997690368e-5,3.430054340737919e-5,6.837263021931108e-7,5.657254445585126e-7,7.73605719728687e-7
adjust/DeBruijn.Lazy.Par.P/adjust/16,4.311018577698879e-5,4.302856658295984e-5,4.320135130350019e-5,2.8811127557746786e-7,2.3501183538980197e-7,3.5906292035580433e-7
adjust/DeBruijn.Lazy.Par.P/adjust/17,5.1293918286065486e-5,5.0986646595355786e-5,5.1537833671572766e-5,1.0161176657813082e-6,8.470180067291446e-7,1.203548506663237e-6
adjust/DeBruijn.Lazy.Par.P/adjust/18,5.898386075789183e-5,5.8686924302349096e-5,5.943823365711165e-5,1.24660053702681e-6,8.674106524917585e-7,1.5566079965241006e-6
adjust/DeBruijn.Lazy.Par.P/adjust/19,7.251604086077559e-5,7.236010679169551e-5,7.273991277701141e-5,6.232435283938632e-7,4.980496955361204e-7,8.050619429463188e-7
adjust/DeBruijn.Lazy.Par.P/adjust/20,8.20484666343627e-5,8.166500699368951e-5,8.261854835484141e-5,1.6229753935775341e-6,1.3806905948586442e-6,1.8991351176828629e-6
